mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:31:24 2008 

Input data from the file: ex00.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 7354

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             25
Thetaw:                5
No_rec_males:          0
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
0.0419438	-2.61038	0.018556	0.0301836	-0.0548365	-0.0271349	0.786667	0.0952381	0.136364	0.180033	na	0.56	0.92	0.125214	22	0	0	5.82634	5.89333	5.10667	0.0164762	0.215724	0.24	0.24	3	6	5.5	-0.172529	0.1168	na	0.169683	
0.484537	-2.521	0.441979	0.532573	0.44164	0.551814	-2.48667	0.210526	0.4	0.294553	na	0.56	0.91	0.143344	20	0	0	5.29667	6.00667	8.49333	0.192064	-0.741051	0.28	0.32	4	4	7.25	1.11449	0.1264	na	0.166482	
-0.0668374	-2.54178	0.34763	0.256984	0.332471	0.240325	0.376667	0.0909091	0.173913	0.232663	na	0.56	0.95	0.123773	23	0	0	6.09117	5.98	5.60333	-0.0261503	0.0993323	0.16	0.24	1	5	5.79167	-0.152756	0.088	na	0.167224	
0.649338	-1.60852	0.658934	0.7658	0.682335	0.807414	0.186667	0.166667	0.307692	0.26058	na	0.44	0.926667	0.152715	13	0	0	3.44283	4.09333	3.90667	0.270721	0.0800849	0.16	0.24	3	2	4	0.442447	0.1104	na	0.2443	
-1.03932	-5.6492	-1.42918	-1.53122	-1.7123	-1.79929	1.00333	0.0714286	0.133333	0.084696	na	0.52	0.94	0.0826455	15	0	0	3.9725	2.79333	1.79	-0.425308	0.382225	0.16	0.24	1	8	2.29167	-1.199	0.0976	na	0.357995	
-0.175547	-5.04498	-0.689054	-0.622516	-0.861995	-0.76948	1.79667	0.0714286	0.133333	0.154491	na	0.56	0.94	0.114967	15	0	0	3.9725	3.77333	1.97667	-0.071837	0.684449	0.16	0.2	2	6	2.875	-0.782887	0.0976	na	0.265018	
0.615682	-1.75731	0.377645	0.527382	0.365887	0.542691	0.953333	0.111111	0.210526	0.31501	na	0.52	0.88	0.14793	19	0	0	5.03184	5.89333	4.94	0.245313	0.297001	0.32	0.36	3	4	5.41667	0.228659	0.1552	na	0.169683	
-0.355533	-1.02323	-0.171854	-0.265446	-0.263491	-0.352279	-0.66	0.166667	0.230769	0.217152	na	0.36	0.886667	0.112213	13	0	0	3.44283	3.08667	3.74667	-0.148228	-0.283157	0.24	0.28	0	4	3.41667	-0.0207802	0.1488	na	0.323974	
-0.104714	-2.55714	-0.713231	-0.614001	-0.930081	-0.788801	0.996667	0.185185	0.25	0.267094	na	0.6	0.93	0.115689	28	0	0	7.41534	7.20667	6.21	-0.04032	0.220629	0.24	0.24	3	11	6.70833	-0.306753	0.1072	na	0.13876	
0.480225	-1.08382	-0.123101	0.066578	0.370243	0.484283	-0.433333	0	0	0.153349	na	0.36	0.83	0.143397	10	0	0	2.64833	3.03333	3.46667	0.208295	-0.229751	0.36	0.36	1	2	3.25	0.577784	0.2032	na	0.32967	
