mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:31:52 2008 

Input data from the file: ex02.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          100
Seed1:                 5685

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             55
Thetaw:                5
No_rec_males:          0
Recombination:         10

Npop:                  10
Mig_rate:              5

Npop_sampled:          3
Factor_pop:            1 0.1 1 0.132 5.13 0.268 6.63 8.2 2.88 0.17
Ran_factorpop:         0
Same_factorpop:        0
Ssize_pop:             20 10 25 0 0 0 0 0 0 0



Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
0.16691	2.70096	0.468957	0.422211	0.561711	0.482252	-13.099	0.177419	0.256684	0.265851	0.291078	1.55	0.963158	0.10817	187	31.8453	44.9207	40.8705	42.7838	55.8828	0.0561591	-0.550471	0.127273	0.127273	20	32	49.3333	0.684853	0.0512397	0.239137	0.14024	
0.239808	1.45948	0.0333416	0.134471	-0.0921923	0.0558449	-5.81145	0.102362	0.171875	0.184821	0.437272	1.45	0.605263	0.113481	128	18.4822	32.844	27.9755	29.8721	35.6835	0.0813235	-0.353377	0.218182	0.218182	15	29	32.7778	0.558453	0.0783471	0.321217	0.0669522	
-0.375047	-1.96644	-0.302039	-0.395227	-0.500935	-0.546231	-1.59057	0.0986842	0.163399	0.174424	0.304128	1.8	0.973684	0.0898895	153	21.8207	31.3573	33.4395	29.9084	31.499	-0.126671	-0.0813164	0.0909091	0.127273	17	40	30.7037	-0.268425	0.0373554	0.204279	0.0668708	
0.141106	-1.04146	0.493484	0.429317	0.82149	0.655974	-3.1037	0.125	0.217054	0.211659	0.102756	1.7	0.965789	0.109218	129	26.824	29.896	28.1941	29.3185	32.4222	0.0478425	-0.187308	0.109091	0.109091	15	19	30.8704	0.308936	0.0446281	0.0958644	0.0682163	
-0.254643	0.0471268	-0.37378	-0.392939	-0.383519	-0.402049	-16.5084	0.0964912	0.173913	0.192074	0.327354	1.45	0.936842	0.0935751	115	15.7704	23.4453	25.1342	23.3199	39.8283	-0.0865953	-1.11351	0.218182	0.254545	12	29	31.5741	0.828731	0.0763636	0.170224	0.0857638	
0.540953	1.2588	0.00319056	0.250942	0.106039	0.350594	-0.594613	0.115646	0.189189	0.240001	0.542375	1.6	0.860526	0.121181	148	20.3466	44.4613	32.3467	37.2768	37.8714	0.182834	-0.0313989	0.127273	0.145455	18	31	37.5741	0.529439	0.052562	0.451364	0.0268264	
0.297205	3.7452	1.16438	0.995673	1.6741	1.33897	-9.14007	0.164384	0.258503	0.253621	0.504268	1.35	0.947368	0.117221	147	20.2543	40.8573	32.1281	34.8189	43.9589	0.100465	-0.485844	0.127273	0.181818	14	11	39.3889	0.740158	0.0591736	0.401855	0.0861602	
0.0810903	2.23593	0.883922	0.691097	0.934826	0.707599	-6.34882	0.163793	0.247863	0.222476	0.207272	1.3	0.9	0.108956	117	20.8044	26.244	25.5714	26.1589	32.5077	0.0275631	-0.421156	0.127273	0.181818	14	16	29.3333	0.476307	0.0558678	0.116631	0.114684	
-0.543515	0.384904	-0.440071	-0.574255	-0.492982	-0.626184	-9.26801	0.105263	0.179104	0.172609	0.10862	1.45	0.886842	0.0844372	134	22.5359	25.282	29.2869	24.7919	34.0599	-0.184112	-0.539056	0.0909091	0.145455	14	35	29.4259	0.0154833	0.048595	0.0804039	0.0403357	
1.00155	0.468198	0.545512	0.86279	0.760876	1.04966	3.43502	0.100671	0.16	0.238837	0.111375	1.75	0.939474	0.138158	150	38.0912	42.8653	32.7838	42.0323	38.5973	0.338411	0.179033	0.0727273	0.0909091	18	23	40.3148	0.753038	0.0360331	0.0820751	0.0237912	
0.617843	-1.09988	0.752446	0.839075	0.775865	0.865163	3.82761	0.160714	0.283186	0.232326	0.381872	1.7	0.9	0.123131	113	20.0265	32.3987	24.6971	29.0249	25.1973	0.210209	0.262592	0.0909091	0.163636	11	17	27.1111	0.315833	0.0406612	0.309747	0.0344532	
0.902025	0.905658	1.30238	1.37621	1.54847	1.56107	7.61145	0.112245	0.20202	0.223774	0.400289	1.45	0.942105	0.135879	99	18.2832	30.4867	21.6373	27.1946	19.5832	0.308101	0.593187	0.109091	0.127273	13	8	23.3889	0.259473	0.0479339	0.320914	0.110316	
0.932288	3.59109	0.953417	1.13194	1.02327	1.20051	4.31717	0.144654	0.23125	0.232881	0.570363	1.5	0.952632	0.137033	160	23.1133	53.7973	34.9694	44.1401	39.8229	0.31459	0.211291	0.181818	0.181818	20	21	41.9815	0.659169	0.0704132	0.467361	0.0453103	
0.737154	3.05641	0.725923	0.873874	1.05105	1.12177	-3.84916	0.209091	0.333333	0.284011	0.321922	1.3	0.915789	0.127872	111	21.5855	31.8333	24.26	29.3347	33.1838	0.250927	-0.268664	0.109091	0.181818	13	14	31.2593	0.931281	0.0571901	0.257156	0.136357	
0.0594927	1.23162	0.259857	0.218757	0.245373	0.203844	3.84646	0.0883978	0.164835	0.151801	0.39583	1.65	0.963158	0.108707	182	25.587	42.3507	39.7777	40.4418	36.5953	0.0200266	0.165988	0.163636	0.181818	20	36	38.5185	-0.104592	0.0558678	0.260108	0.0494538	
-0.0816703	-0.848815	-0.292421	-0.253341	-0.324338	-0.271792	-10.1737	0.120567	0.197183	0.207385	0.0921528	1.7	0.834211	0.101324	142	27.5628	30.3607	31.0353	30.3205	40.4943	-0.0276284	-0.55931	0.145455	0.181818	16	35	35.4074	0.460644	0.0505785	0.0503571	0.0329809	
-0.0694201	1.39068	-0.0314601	-0.0551175	0.0609554	0.00787346	6.13737	0.0671141	0.113333	0.165315	0.346983	1.5	0.931579	0.102726	150	21.7028	33.2347	32.7838	32.1428	26.0054	-0.0234562	0.319879	0.145455	0.2	16	32	29.0741	-0.370941	0.0578512	0.201344	0.0311112	
-0.467942	-2.21392	0.331097	0.0303884	0.35775	0.0175944	-6.93199	0.0787402	0.132812	0.135485	0.321561	1.7	0.973684	0.089485	128	16.98	25.028	27.9755	24.2747	31.2067	-0.158688	-0.421514	0.127273	0.127273	13	24	27.7407	-0.0273012	0.0459504	0.213158	0.0823901	
0.895626	7.71071	0.354738	0.673168	0.61716	0.89359	14.235	0.104167	0.172414	0.195449	0.521578	1.2	0.852632	0.132952	145	22.0068	45.9987	31.691	39.6916	25.4566	0.302842	0.766825	0.181818	0.181818	15	24	32.5741	0.0912038	0.077686	0.416726	0.0755828	
0.909404	8.50445	1.22591	1.32214	1.35679	1.42447	2.81145	0.17033	0.262295	0.267616	0.321852	1.3	0.613158	0.135093	183	35.1443	51.824	39.9962	50.202	47.3906	0.306097	0.120675	0.2	0.236364	14	19	48.7963	0.727128	0.073719	0.19511	0.159356	
0.168742	2.76232	0.660701	0.564434	0.804411	0.655194	-11.7946	0.133721	0.196532	0.203712	0.361028	1.5	0.744737	0.110565	173	27.4136	42.9027	37.8107	39.6027	51.3973	0.0568546	-0.534857	0.163636	0.2	18	26	45.5	0.670639	0.0571901	0.254057	0.0757524	
0.528365	2.19936	0.476844	0.593882	0.914553	0.920039	-1.99596	0.117021	0.189474	0.205934	0.342711	1.25	0.897368	0.122613	95	17.0882	25.998	20.7631	23.8909	25.8869	0.180711	-0.161841	0.145455	0.145455	10	13	24.8889	0.635192	0.0618182	0.28818	0.0837139	
0.616405	1.27997	0.641824	0.756843	0.865788	0.927778	7.51717	0.107595	0.188679	0.187651	0.289571	1.65	0.936842	0.126407	159	31.0249	43.6707	34.7508	40.7771	33.2599	0.208025	0.370162	0.145455	0.145455	22	23	37.0185	0.214457	0.0505785	0.232314	0.0980943	
0.77945	2.97968	0.715176	0.885557	1.26824	1.29722	-2.07811	0.1875	0.255814	0.299214	0.266222	1.4	0.605263	0.131123	129	24.4436	33.312	28.1941	34.4054	36.4835	0.264276	-0.125414	0.2	0.2	16	14	35.4444	0.83694	0.0730579	0.096776	0.0290652	
