mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:32:31 2008 

Input data from the file: ex03.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 7864

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             20
Thetaw:                5
No_rec_males:          0
Recombination:         10
Nintn:                 3
Iflogistic:            1
Ts:                    0.025
Nrec:                  1 0.1 2
Npast:                 0.1 0.1 2
Tpast:                 0.05 0.01 1


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-0.23472	5.10747	-0.0188419	-0.0970743	0.226604	0.0882856	-8.46316	0.564103	0.7	0.655471	na	0.35	0.731579	0.127425	40	0	0	11.2748	10.6105	19.0737	-0.0913097	-1.30265	0.5	0.55	2	10	14.8421	1.12838	0.305	na	1.03671	
0.402426	1.85052	0.174445	0.273665	0.128067	0.241756	-1.22105	0.666667	0.75	0.719298	na	0.15	0.415789	0.157736	4	0	0	1.12748	1.28421	2.50526	0.215446	-1.23219	0.75	0.75	0	1	1.89474	1.33302	0.605	na	1.55738	
1.29448	-1.07991	0.515801	0.865757	1.16281	1.46128	-1.30526	0.368421	0.5	0.560976	na	0.6	0.9	0.182132	20	0	0	5.63739	7.55789	8.86316	0.527989	-0.375119	0.3	0.35	2	2	8.21053	1.4518	0.145	na	0.132312	
-1.42384	1.52658	-2.24786	-2.33188	-2.09325	-2.2812	-7.50526	0.307692	0.37037	0.408676	na	0.35	0.810526	0.127702	27	0	0	7.61048	4.82632	12.3316	-0.566984	-1.65375	0.3	0.6	2	16	8.57895	0.428099	0.23	na	1.24318	
2.42767	8.59763	1.54701	2.10864	1.81637	2.4702	1.61053	0.684211	0.794872	0.781277	na	0.35	0.805263	0.22571	39	0	0	10.9929	17.7	16.0895	0.945604	0.25377	0.35	0.4	2	1	16.8947	1.90839	0.235	na	0.169492	
-0.534443	0.574857	0.748868	0.429704	0.810852	0.452146	-8.27368	0.375	0.44	0.467966	na	0.45	0.789474	0.114596	25	0	0	7.04674	6.07368	14.3474	-0.214012	-1.95306	0.45	0.5	1	4	10.2105	1.49032	0.25	na	0.823224	
0.99865	5.10747	1.09779	1.24374	1.47314	1.60495	-2.14737	0.448276	0.533333	0.552332	na	0.35	0.868421	0.172576	30	0	0	8.45609	10.6105	12.7579	0.394869	-0.430256	0.25	0.4	0	2	11.6842	1.3066	0.175	na	0.848214	
-1.85145	6.57419	-2.31485	-2.53436	-0.751931	-1.35591	-16.3368	0.962963	1	0.974009	na	0.15	0.278947	0.160328	28	0	0	7.89235	4.14737	20.4842	-0.735413	-3.4839	0.85	0.85	0	11	12.3158	1.89701	0.735	na	2.8934	
1.24808	0.666767	1.18636	1.38849	1.22946	1.46054	0.284211	0	0	0.109687	na	0.25	0.821053	0.198421	5	0	0	1.40935	1.98421	1.7	0.63217	0.245524	0.25	0.5	0	0	1.84211	0.654407	0.22	na	0.503979	
1.75286	0.0710596	1.2105	1.58978	1.33991	1.77705	0.536842	0.466667	0.625	0.639993	na	0.5	0.878947	0.20473	16	0	0	4.50991	6.63684	6.1	0.730925	0.186943	0.3	0.5	2	1	6.36842	1.24845	0.165	na	0.150674	
