mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:32:43 2008 

Input data from the file: ex04.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 659

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Thetaw:                5
No_rec_males:          0
Recombination:         10

Npop:                  2
Mig_rate:              5
Refugia:               1
Time_split:            0.014000
Time_scoal:            0.016500
Factor_anc:            0.100000
Freq_refugia:          0.5 0.5
Factor_pop:            0.1 0.05

Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
0.796522	0.765922	0.80615	0.92776	0.7996	0.930069	0.505747	0	0	0.821429	na	0.1	0.383908	0.175287	2	0	0	0.50484	0.701149	0.195402	0.528416	0.838612	0.766667	0.8	0	0	0.448276	-0.149835	0.628889	na	1.42623	
-1.53889	-2.7159	-1.47512	-1.72941	-1.56601	-1.82404	0.248276	0	0	0.00182606	na	0.133333	0.250575	0.0858716	3	0	0	0.75726	0.262069	0.0137931	-0.888617	0.319546	0.866667	0.933333	0	2	0.137931	-1.2999	0.757778	na	3.81579	
-0.919373	-2.19656	-1.48449	-1.53202	-1.61663	-1.66034	0.432184	0	0	0.0245619	na	0.2	0.662069	0.0874923	5	0	0	1.2621	0.836782	0.404598	-0.457938	0.394552	0.466667	0.833333	0	3	0.62069	-0.986866	0.36	na	1.19505	
-0.408855	0.0374711	0.59448	0.365285	0.581076	0.361235	0.165517	na	na	na	na	0.0666667	0.186207	0.0931034	1	0	0	0.25242	0.186207	0.0206897	-0.356457	0.410627	0.9	1	0	0	0.103448	-0.576189	0.82	na	5.37037	
0.939675	1.23718	0.59448	0.793705	0.581076	0.784905	0.257471	na	na	na	na	0.0666667	0.404598	0.202299	1	0	0	0.25242	0.404598	0.147126	0.819248	0.638753	0.733333	1	0	0	0.275862	0.0906694	0.608889	na	2.47159	
-0.360118	0.572614	-0.262655	-0.336605	-0.305884	-0.376389	0.524138	0	0	0.172414	na	0.1	0.296552	0.112938	3	0	0	0.75726	0.641379	0.117241	-0.207947	0.674598	0.833333	0.833333	0	1	0.37931	-0.793272	0.713333	na	1.55914	
-0.167228	-2.75511	0.949814	0.727922	0.954244	0.738301	0.57931	0	0	0.163771	na	0.2	0.462069	0.117241	3	0	0	0.75726	0.703448	0.124138	-0.096564	0.745608	0.733333	0.8	2	0	0.413793	-0.720897	0.553333	na	1.42157	
-0.170764	-0.785503	0.0450721	-0.0207895	0.0103059	-0.0507147	0.505747	0	0	0.0857551	na	0.166667	0.678161	0.118323	4	0	0	1.00968	0.942529	0.436782	-0.0903761	0.538398	0.5	0.766667	0	1	0.689655	-0.56546	0.344444	na	1.06098	
-0.167228	0.773154	0.949814	0.727922	0.954244	0.738301	-3.97241	0.5	0.666667	0.507143	na	0.1	0.393103	0.117241	3	0	0	0.75726	0.703448	4.67586	-0.096564	-5.11274	0.766667	0.833333	0	0	2.68966	4.05588	0.62	na	1.42157	
-0.705696	-1.85018	-1.48449	-1.45862	-1.61663	-1.58447	0.147126	0	0	0.065063	na	0.2	0.68046	0.0949292	5	0	0	1.2621	0.935632	0.788506	-0.351506	0.134316	0.5	0.766667	0	3	0.862069	-0.615482	0.342222	na	1.0688	
