mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:32:46 2008 

Input data from the file: ex05.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 586

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Thetaw:                5
No_rec_males:          0
Recombination:         10

Pop_size:              1.00E+06
Ifselection:           1
Pop_sel:               20000
Sel_nt:                -10000
Sinit:                 -5E-05

Recombination parameter value for the studied region and all the region until the selective position.


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	0	na	1	na	na	
-2.07048	0.173865	-2.9065	-3.09579	1.32946	0.32574	-12.8736	0.833333	0.857143	0.913793	na	0.1	0.131034	0.154136	7	0	0	1.76694	0.528736	13.4023	-0.952265	-9.21653	0.933333	0.966667	0	0	6.96552	6.43252	0.873333	na	9.45652	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	6.96552	na	1	na	na	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	6.96552	na	1	na	na	
-1.5919	-0.359862	-1.54191	-1.81979	-1.10142	-1.4995	-4.54253	0	0	0.30156	na	0.166667	0.482759	0.0776931	9	0	0	2.27178	1.10805	5.65057	-0.696104	-2.68738	0.7	0.9	0	4	3.37931	1.15523	0.533333	na	0.90249	
-1.53889	-1.14218	-1.47512	-1.72941	-1.56601	-1.82404	-1.54483	0	0	0.241974	na	0.1	0.131034	0.0858716	3	0	0	0.75726	0.262069	1.8069	-0.888617	-1.98829	0.933333	0.933333	0	2	1.03448	0.58186	0.873333	na	7.63158	
-1.50738	-0.395629	-2.28108	-2.38176	-0.78427	-1.14963	-1.8023	1	1	1	na	0.0666667	0.0666667	0.179505	2	0	0	0.50484	0.133333	1.93563	-1	-2.98851	0.966667	0.966667	0	1	1.03448	1.403	0.935556	na	15	
-1.25553	-1.66859	-0.737466	-1.02054	-0.78427	-1.06729	-1.6092	0	0	0.482759	na	0.1	0.131034	0.0953486	2	0	0	0.50484	0.195402	1.8046	-0.832926	-2.66831	0.933333	0.966667	0	1	1	1.31166	0.873333	na	5.11765	
-2.09995	-0.366747	-3.43598	-3.53709	-2.06377	-2.45652	-3.47586	0.6	0.666667	0.600476	na	0.1	0.131034	0.151535	6	0	0	1.51452	0.4	3.87586	-1	-2.78643	0.933333	0.966667	0	4	2.13793	0.853609	0.873333	na	10	
-1.73178	0.135027	-2.68759	-2.79394	0.954244	0.209909	-5.6	1	1	1	na	0.0666667	0.0666667	0.179505	3	0	0	0.75726	0.2	5.8	-1	-7.20755	0.966667	0.966667	0	0	3	4.70726	0.935556	na	15	
-1.50738	-2.35488	-2.28108	-2.38176	-2.36814	-2.47612	0.128736	0	0	0.00118906	na	0.1	0.131034	0.124722	2	0	0	0.50484	0.133333	0.0045977	-1	0.213465	0.933333	0.966667	0	2	0.0689655	-1.15461	0.873333	na	7.5	
-2.09995	1.21663	-3.43598	-3.53709	-0.40311	-1.09179	-7.33793	1	1	1	na	0.0666667	0.0666667	0.179505	6	0	0	1.51452	0.4	7.73793	-1	-5.88247	0.966667	0.966667	0	2	4.06897	3.49768	0.935556	na	15	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	4.06897	na	1	na	na	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	4.06897	na	1	na	na	
-2.17427	1.50384	-3.60315	-3.69996	-2.43258	-2.79286	-3.41149	1	1	1	na	0.0666667	0.0666667	0.179505	7	0	0	1.76694	0.466667	3.87816	-1	-2.44238	0.966667	0.966667	0	5	2.17241	0.501719	0.935556	na	15	
-1.8629	0.610624	-1.51321	-1.88745	-0.927766	-1.446	-6.69425	0.333333	0.571429	0.574911	na	0.1	0.131034	0.0848582	7	0	0	1.76694	0.652874	7.34713	-0.856794	-4.7926	0.933333	0.933333	0	3	4	2.76311	0.873333	na	3.06338	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	4	na	1	na	na	
-1.346	-0.756632	-0.262655	-0.664883	0.954244	0.340198	-5.21379	0	0	0.482759	na	0.1	0.131034	0.073632	3	0	0	0.75726	0.324138	5.53793	-0.777235	-6.71048	0.933333	0.933333	0	0	2.93103	4.56251	0.873333	na	3.08511	
-1.147	-1.21145	-1.68214	-1.76554	-1.72095	-1.81063	0.0643678	na	na	na	na	0.0666667	0.0666667	0.179505	1	0	0	0.25242	0.0666667	0.00229885	-1	0.159688	0.966667	1	0	1	0.0344828	-0.842932	0.935556	na	15	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	0.0344828	na	1	na	na	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	0.0344828	na	1	na	na	
-2.09995	1.21663	-3.43598	-3.53709	-1.23344	-1.77415	-5.4069	1	1	1	na	0.0666667	0.0666667	0.179505	6	0	0	1.51452	0.4	5.8069	-1	-4.33445	0.966667	0.966667	0	3	3.10345	2.17565	0.935556	na	15	
-2.17427	1.50384	-3.60315	-3.69996	-1.68017	-2.17679	-5.34253	1	1	1	na	0.0666667	0.0666667	0.179505	7	0	0	1.76694	0.466667	5.8092	-1	-3.82486	0.966667	0.966667	0	4	3.13793	1.69641	0.935556	na	15	
-2.2355	0.191233	-3.74588	-3.83805	-3.43401	-3.63854	-1.41609	0.285714	0.375	0.286564	na	0.1	0.131034	0.12883	8	0	0	2.01936	0.533333	1.94943	-1	-0.917005	0.933333	0.933333	0	7	1.24138	-0.879916	0.873333	na	5.625	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	1.24138	na	1	na	na	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	1.24138	na	1	na	na	
-1.74923	-1.43572	-2.36062	-2.53487	-2.54685	-2.72254	-1.23218	0.5	0.6	0.577883	na	0.133333	0.193103	0.113881	5	0	0	1.2621	0.452874	1.68506	-0.871291	-1.12489	0.9	0.933333	0	4	1.06897	-0.297153	0.813333	na	2.20812	
-1.88948	0.550195	-2.99378	-3.10061	0.0103059	-0.647119	-5.53563	1	1	1	na	0.0666667	0.0666667	0.179505	4	0	0	1.00968	0.266667	5.8023	-1	-5.89301	0.966667	0.966667	0	1	3.03448	3.57768	0.935556	na	15	
-1.147	-1.21145	-1.68214	-1.76554	-1.72095	-1.81063	0.0643678	na	na	na	na	0.0666667	0.0666667	0.179505	1	0	0	0.25242	0.0666667	0.00229885	-1	0.159688	0.966667	1	0	1	0.0344828	-0.842932	0.935556	na	15	
-1.66123	2.0318	-0.143225	-0.72529	-0.217988	-0.836481	-5.0023	0.230769	0.285714	0.393243	na	0.133333	0.250575	0.0671621	14	0	0	3.53388	1.77471	6.77701	-0.67646	-2.07698	0.866667	0.866667	0	4	4.27586	0.562747	0.757778	na	1.69041	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	4.27586	na	1	na	na	
-2.30521	0.382045	-3.35292	-3.54692	-2.3281	-2.78549	-6.63908	0.666667	0.769231	0.707194	na	0.133333	0.193103	0.113631	13	0	0	3.28146	0.990805	7.62989	-0.948593	-2.92995	0.9	0.933333	0	8	4.31034	0.824576	0.813333	na	5.0464	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	4.31034	na	1	na	na	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	4.31034	na	1	na	na	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	4.31034	na	1	na	na	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	4.31034	na	1	na	na	
-1.50738	-0.395629	-2.28108	-2.38176	-2.36814	-2.47612	0.128736	1	1	1	na	0.0666667	0.0666667	0.179505	2	0	0	0.50484	0.133333	0.0045977	-1	0.213465	0.966667	0.966667	0	2	0.0689655	-1.15461	0.935556	na	15	
