mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:33:00 2008 

Input data from the file: ex07.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 759

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Mutations:             32
No_rec_males:          0
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-0.118497	-4.58155	-0.134459	-0.152363	-0.226705	-0.22913	-0.855172	0.0322581	0.0625	0.103943	na	0.633333	0.942529	0.114193	32	0	0	8.07743	7.81379	8.66897	-0.0443535	-0.173062	0.2	0.2	6	9	8.24138	0.0642366	0.0888889	na	0.127979	
-0.525595	-1.02692	-0.343236	-0.474283	-0.472437	-0.597247	0.367816	0.16129	0.25	0.257163	na	0.466667	0.889655	0.100912	32	0	0	8.07743	6.90805	6.54023	-0.196731	0.0744352	0.3	0.4	3	10	6.72414	-0.530247	0.14	na	0.144759	
-0.700214	-5.8936	0.0743177	-0.208684	0.0190283	-0.285968	2.97011	0	0	0.0873459	na	0.633333	0.963218	0.0948935	32	0	0	8.07743	6.51954	3.54943	-0.262091	0.601064	0.1	0.1	2	8	5.03448	-1.19229	0.0688889	na	0.153385	
0.305134	-1.38814	-0.343236	-0.156513	-0.472437	-0.240231	4.2023	0.0322581	0.0625	0.121476	na	0.533333	0.947126	0.128276	32	0	0	8.07743	8.75632	4.55402	0.114212	0.850422	0.133333	0.166667	3	10	6.65517	-0.557269	0.0844444	na	0.114203	
-0.467734	-5.31971	-1.38712	-1.28313	-1.7011	-1.53819	0.763218	0.0645161	0.125	0.164102	na	0.633333	0.96092	0.0999382	32	0	0	8.07743	7.03678	6.27356	-0.175073	0.154453	0.133333	0.233333	2	15	6.65517	-0.557269	0.0711111	na	0.14211	
0.259671	-1.43954	0.491871	0.490883	0.510494	0.512878	1.10345	0.129032	0.21875	0.231678	na	0.533333	0.94023	0.129591	32	0	0	8.07743	8.65517	7.55172	0.0971951	0.223306	0.2	0.3	2	6	8.10345	0.0101926	0.0911111	na	0.231076	
-0.954392	-6.61521	-1.17834	-1.30309	-1.45537	-1.55418	-0.229885	0.0322581	0.0625	0.0747072	na	0.633333	0.967816	0.0843406	32	0	0	8.07743	5.95402	6.18391	-0.35723	-0.046522	0.1	0.166667	1	14	6.06897	-0.786956	0.0644444	na	0.167954	
0.998441	-0.69605	0.700648	0.939673	0.756227	1.02354	-1.6092	0.16129	0.25	0.310297	na	0.533333	0.908046	0.156146	32	0	0	8.07743	10.2989	11.908	0.373718	-0.325654	0.233333	0.233333	5	5	11.1034	1.18565	0.122222	na	0.194196	
-0.98229	-2.48924	0.700648	0.182006	0.756227	0.172291	1.64598	0.0645161	0.125	0.0998512	na	0.5	0.947126	0.0876308	32	0	0	8.07743	5.89195	4.24598	-0.367672	0.333097	0.133333	0.233333	2	5	5.06897	-1.17878	0.0844444	na	0.169723	
0.0096256	-2.50678	0.700648	0.561432	0.756227	0.59858	1.92184	0.0967742	0.125	0.177551	na	0.566667	0.96092	0.122161	32	0	0	8.07743	8.09885	6.17701	0.00360287	0.388924	0.1	0.133333	3	5	7.13793	-0.368115	0.0711111	na	0.123474	
0.291702	2.84652	-0.76079	-0.494044	0.264761	0.333482	-14.1333	0.451613	0.5625	0.535466	na	0.333333	0.834483	0.134582	32	0	0	8.07743	8.72644	22.8598	0.109184	-2.86017	0.366667	0.366667	2	7	15.7931	3.02314	0.193333	na	0.343783	
1.12553	0.0539414	0.700648	0.988287	0.756227	1.07815	0.68046	0.16129	0.25	0.296307	na	0.5	0.935632	0.160552	32	0	0	8.07743	10.5816	9.90115	0.421287	0.137705	0.166667	0.3	4	5	10.2414	0.847874	0.0955556	na	0.0945036	
-0.876899	-5.17041	-0.343236	-0.608663	-0.472437	-0.748224	-2.43678	0.16129	0.25	0.174089	na	0.6	0.963218	0.0891648	32	0	0	8.07743	6.12644	8.56322	-0.328224	-0.493133	0.133333	0.2	1	10	7.34483	-0.287049	0.0688889	na	0.163227	
1.03151	-1.3328	0.0743177	0.45373	0.0190283	0.45826	1.02069	0.225806	0.34375	0.371912	na	0.566667	0.956322	0.154987	32	0	0	8.07743	10.3724	9.35172	0.386094	0.206558	0.133333	0.133333	3	8	9.86207	0.699253	0.0755556	na	0.0964096	
0.54898	-0.468709	0.0743177	0.269155	0.0190283	0.250888	-2.57471	0.193548	0.25	0.276531	na	0.5	0.935632	0.138129	32	0	0	8.07743	9.29885	11.8736	0.205484	-0.521046	0.166667	0.166667	4	8	10.5862	0.982984	0.0955556	na	0.10754	
0.573778	-1.80175	0.700648	0.777231	0.756227	0.841031	1.3977	0.193548	0.28125	0.280639	na	0.566667	0.958621	0.141429	32	0	0	8.07743	9.35402	7.95632	0.214766	0.282854	0.133333	0.2	4	5	8.65517	0.226369	0.0733333	na	0.106906	
0.910615	1.17626	0.491871	0.739881	0.510494	0.792629	-1.65517	0.225806	0.375	0.369214	na	0.433333	0.857471	0.152558	32	0	0	8.07743	10.1034	11.7586	0.340844	-0.334958	0.333333	0.466667	4	6	10.931	1.11809	0.171111	na	0.0989761	
0.603742	-1.07087	0.491871	0.622496	0.756227	0.853908	2.28966	0.0645161	0.09375	0.161295	na	0.533333	0.949425	0.141731	32	0	0	8.07743	9.42069	7.13103	0.225981	0.463359	0.166667	0.233333	3	5	8.27586	0.0777476	0.0822222	na	0.106149	
-0.188757	-5.87573	0.491871	0.31935	0.510494	0.32016	-2.4092	0.225806	0.25	0.277749	na	0.666667	0.965517	0.114085	32	0	0	8.07743	7.65747	10.0667	-0.0706521	-0.48755	0.133333	0.133333	2	6	8.86207	0.307435	0.0666667	na	0.261183	
0.680202	0.297036	0.491871	0.651743	0.510494	0.693606	3.87126	0	0	0.108276	na	0.466667	0.873563	0.144149	32	0	0	8.07743	9.5908	5.71954	0.2546	0.78343	0.333333	0.366667	2	6	7.65517	-0.16545	0.155556	na	0.104267	
0.910615	-0.77572	1.1182	1.23847	1.24769	1.37211	2.06897	0.258065	0.46875	0.392612	na	0.533333	0.924138	0.155025	32	0	0	8.07743	10.1034	8.03448	0.340844	0.418698	0.233333	0.266667	4	3	9.06897	0.388501	0.106667	na	0.0989761	
-0.283816	-1.40005	-0.134459	-0.215601	-0.226705	-0.300178	4.89195	0.0967742	0.15625	0.183251	na	0.5	0.944828	0.10942	32	0	0	8.07743	7.44598	2.55402	-0.106233	0.989988	0.133333	0.233333	3	9	5	-1.2058	0.0866667	na	0.134301	
-0.986423	-2.49703	-1.38712	-1.48154	-1.7011	-1.7611	3.28276	0.0322581	0.0625	0.0501244	na	0.5	0.917241	0.0869608	32	0	0	8.07743	5.88276	2.6	-0.369219	0.664334	0.2	0.266667	1	15	4.24138	-1.50304	0.113333	na	0.169988	
-0.270384	-2.92954	0.491871	0.288127	0.510494	0.28508	2.26207	0	0	0.0786369	na	0.566667	0.956322	0.111557	32	0	0	8.07743	7.47586	5.21379	-0.101205	0.457776	0.133333	0.166667	3	6	6.34483	-0.678868	0.0755556	na	0.133764	
0.3103	-0.0626435	0.909425	0.842642	1.00196	0.92096	0.983908	0.0967742	0.15625	0.196013	na	0.466667	0.926437	0.133255	32	0	0	8.07743	8.76782	7.78391	0.116146	0.199114	0.2	0.2	3	4	8.27586	0.0777476	0.104444	na	0.114053	
-0.113331	-1.89886	-0.76079	-0.648977	-0.963903	-0.806395	0.478161	0.0645161	0.125	0.156174	na	0.533333	0.926437	0.11287	32	0	0	8.07743	7.82529	7.34713	-0.0424198	0.0967657	0.2	0.233333	3	12	7.58621	-0.192472	0.104444	na	0.127791	
-0.16086	-2.75722	-0.969567	-0.833354	-1.20964	-1.01998	4.26667	0	0	0.0975378	na	0.566667	0.935632	0.110571	32	0	0	8.07743	7.71954	3.45287	-0.06021	0.863448	0.2	0.2	2	13	5.58621	-0.97611	0.0955556	na	0.129541	
0.339231	-3.78854	0.0743177	0.188923	0.0190283	0.160746	1.25057	0.225806	0.28125	0.335859	na	0.633333	0.967816	0.130404	32	0	0	8.07743	8.83218	7.58161	0.126974	0.25308	0.1	0.166667	1	8	8.2069	0.0507256	0.0644444	na	0.226445	
-0.268317	-2.9262	0.700648	0.455114	0.756227	0.47913	5.58161	0.0967742	0.1875	0.167332	na	0.566667	0.944828	0.112279	32	0	0	8.07743	7.48046	1.89885	-0.100431	1.12955	0.2	0.266667	1	5	4.68966	-1.3274	0.0866667	na	0.133682	
0.0437227	-3.31303	-0.343236	-0.256508	-0.472437	-0.352576	1.17701	0.16129	0.21875	0.211015	na	0.6	0.96092	0.119058	32	0	0	8.07743	8.17471	6.9977	0.0163655	0.238193	0.133333	0.2	1	10	7.58621	-0.192472	0.0711111	na	0.122328	
0.198709	-2.25131	0.909425	0.799957	1.00196	0.873003	0.211494	0.0322581	0.0625	0.142797	na	0.566667	0.933333	0.129388	32	0	0	8.07743	8.51954	8.30805	0.0743772	0.0428002	0.233333	0.266667	3	4	8.41379	0.131792	0.0977778	na	0.117377	
0.419824	0.0469555	0.700648	0.718341	0.756227	0.774867	1.88506	0.225806	0.28125	0.278306	na	0.466667	0.908046	0.136334	32	0	0	8.07743	9.01149	7.12644	0.157141	0.38148	0.266667	0.266667	1	5	8.06897	-0.0033184	0.122222	na	0.110969	
0.3072	-1.38583	-0.134459	0.0104737	-0.226705	-0.0461812	3.52184	0.129032	0.25	0.343693	na	0.533333	0.937931	0.129075	32	0	0	8.07743	8.76092	5.23908	0.114985	0.712717	0.166667	0.3	3	9	7	-0.422159	0.0933333	na	0.114143	
-0.203223	-4.74862	-0.969567	-0.849559	-1.20964	-1.03819	2.90575	0.0967742	0.1875	0.182579	na	0.633333	0.954023	0.110037	32	0	0	8.07743	7.62529	4.71954	-0.0760666	0.588038	0.133333	0.166667	1	13	6.17241	-0.746423	0.0777778	na	0.131143	
0.974677	-0.0762004	0.700648	0.930582	0.756227	1.01332	-1.37011	0.0967742	0.15625	0.257441	na	0.5	0.944828	0.155532	32	0	0	8.07743	10.246	11.6161	0.364823	-0.277271	0.166667	0.266667	4	5	10.931	1.11809	0.0866667	na	0.195199	
0.62854	0.90538	1.1182	1.13057	1.24769	1.25089	-1.18621	0.419355	0.5625	0.515301	na	0.433333	0.933333	0.145238	32	0	0	8.07743	9.47586	10.6621	0.235263	-0.240053	0.133333	0.2	2	3	10.069	0.780319	0.0977778	na	0.105531	
-0.35511	-3.06963	-0.552013	-0.575265	-0.71817	-0.717141	1.1954	0.0645161	0.09375	0.153566	na	0.566667	0.901149	0.104758	32	0	0	8.07743	7.28736	6.09195	-0.132918	0.241914	0.3	0.333333	3	11	6.68966	-0.543758	0.128889	na	0.137224	
1.0656	2.89847	1.32698	1.46395	1.49343	1.63188	1.10345	0.225806	0.3125	0.32491	na	0.366667	0.873563	0.161359	32	0	0	8.07743	10.4483	9.34483	0.398856	0.223306	0.3	0.3	0	2	9.89655	0.712764	0.155556	na	0.0957096	
-0.666117	-1.22083	0.0743177	-0.195642	0.0190283	-0.271315	-0.809195	0.0322581	0.0625	0.146064	na	0.466667	0.889655	0.0960621	32	0	0	8.07743	6.5954	7.4046	-0.249328	-0.163757	0.3	0.4	5	8	7	-0.422159	0.14	na	0.151621	
-0.391274	-2.29472	0.700648	0.408081	0.756227	0.426288	-6.48276	0.225806	0.25	0.320735	na	0.533333	0.954023	0.108029	32	0	0	8.07743	7.2069	13.6897	-0.146454	-1.31192	0.133333	0.2	4	5	10.4483	0.92894	0.0777778	na	0.69378	
0.15428	-4.08855	0.909425	0.782962	1.00196	0.853908	1.87586	0.0645161	0.09375	0.158904	na	0.633333	0.951724	0.127849	32	0	0	8.07743	8.42069	6.54483	0.0577472	0.379619	0.2	0.2	4	4	7.48276	-0.233005	0.08	na	0.118755	
-0.476	-4.24577	0.0743177	-0.122918	0.0190283	-0.189609	2.93333	0.193548	0.3125	0.26374	na	0.6	0.958621	0.102902	32	0	0	8.07743	7.01839	4.08506	-0.178167	0.59362	0.133333	0.166667	1	8	5.55172	-0.989621	0.0733333	na	0.142483	
