mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:33:13 2008 

Input data from the file: ex08.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 4653

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Ifgamma:               1
Alpha_gamma:           1
P_gamma:               1
Correct_gamma:         5
No_rec_males:          0
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
0.167878	-1.70161	1.05569	0.912839	1.12566	0.972959	1.7931	0.0833333	0.153846	0.195362	na	0.366667	0.910345	0.130793	13	0	0	3.28146	3.44828	1.65517	0.0690817	0.791331	0.2	0.3	1	1	2.55172	-0.584827	0.12	na	0.29	
-0.362819	-0.392974	-0.608366	-0.623049	-0.68641	-0.69519	-0.156322	0	0	0.129379	na	0.166667	0.452874	0.119955	5	0	0	1.2621	1.09425	1.25057	-0.18072	-0.14271	0.733333	0.733333	1	2	1.17241	-0.137989	0.562222	na	0.913866	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	1.17241	na	1	na	na	
1.09143	-0.50321	0.688841	0.95563	0.717337	1.01104	1.65517	0.153846	0.214286	0.258653	na	0.366667	0.894253	0.163698	14	0	0	3.53388	4.68966	3.03448	0.444437	0.687235	0.2	0.266667	2	2	3.86207	0.248912	0.135556	na	0.213235	
0.620781	-1.25275	0.697227	0.791891	0.74607	0.851907	-3.69655	0.16	0.230769	0.282025	na	0.5	0.924138	0.143611	26	0	0	6.56292	7.70345	11.4	0.236156	-0.901407	0.166667	0.2	5	4	9.55172	1.39287	0.106667	na	0.259624	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	9.55172	na	1	na	na	
0.0876298	0.16514	0.80615	0.696581	0.7996	0.698314	0.432184	0	0	0.0307692	na	0.1	0.48046	0.131609	2	0	0	0.50484	0.526437	0.0942529	0.0581339	0.716632	0.7	0.866667	0	0	0.310345	-0.515207	0.535556	na	1.89956	
0.423421	0.463823	0.80615	0.806087	0.7996	0.808092	0.45977	0	0	0.0468227	na	0.1	0.544828	0.152299	2	0	0	0.50484	0.609195	0.149425	0.280899	0.762375	0.633333	0.866667	0	0	0.37931	-0.332521	0.473333	na	1.64151	
-0.441008	-0.916464	-0.335794	-0.427643	0.427222	0.191376	-4.68046	0	0	0.150072	na	0.2	0.542529	0.104243	6	0	0	1.51452	1.28046	5.96092	-0.210009	-3.7521	0.666667	0.7	0	1	3.62069	2.88388	0.475556	na	0.780969	
-0.0873831	-2.69027	0.00162343	-0.0316507	-0.0623767	-0.0859868	0.358621	0	0	0.184914	na	0.5	0.914943	0.115707	23	0	0	5.80566	5.66207	5.30345	-0.0336087	0.0974601	0.233333	0.333333	3	6	5.48276	-0.166325	0.115556	na	0.176614	
