mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:33:23 2008 

Input data from the file: ex09.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 9871

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Range_thetant:         1
Thetant_min:           0.000500
Thetant_max:           0.050000
Mutations:             32
Sfix_allthetas:        1
Method_samp:           1
No_rec_males:          0
Recombination:         10

REJECTION ALGORITHM OF TAVARE et al. 1997. Fix S and screening all probable thetas.  Rejection algorithm n. 2.

Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
0.117083	-2.35893	0.283095	0.270144	0.264761	0.258437	3.77931	0.0967742	0.1875	0.178399	na	0.566667	0.951724	0.125266	32	0	0	8.07743	8.33793	4.55862	0.0438243	0.764821	0.133333	0.166667	4	7	6.44828	-0.638335	0.08	na	0.119934	
-0.127796	-5.74024	-0.969567	-0.820707	-1.20964	-1.00577	-3.17241	0.193548	0.28125	0.247596	na	0.666667	0.94023	0.110217	32	0	0	8.07743	7.7931	10.9655	-0.0478342	-0.642003	0.233333	0.266667	2	13	9.37931	0.510099	0.0911111	na	0.128319	
-1.32016	-5.26821	-0.969567	-1.27681	-1.20964	-1.51821	-2.82299	0.0645161	0.125	0.120356	na	0.566667	0.914943	0.0717938	32	0	0	8.07743	5.14023	7.96322	-0.494138	-0.57129	0.266667	0.3	3	13	6.55172	-0.597802	0.115556	na	0.194544	
0.414658	-1.26786	0.700648	0.716364	0.756227	0.772647	0.827586	0.129032	0.21875	0.27755	na	0.533333	0.937931	0.136156	32	0	0	8.07743	9	8.17241	0.155207	0.167479	0.2	0.2	5	5	8.58621	0.199347	0.0933333	na	0.111111	
-0.193924	-2.80825	0.700648	0.483571	0.756227	0.511102	-0.0183908	0.16129	0.25	0.213528	na	0.566667	0.956322	0.115135	32	0	0	8.07743	7.64598	7.66437	-0.0725859	-0.00372176	0.133333	0.133333	2	5	7.65517	-0.16545	0.0755556	na	0.261575	
0.97881	-0.0725795	1.32698	1.43075	1.49343	1.59458	2.64828	0.290323	0.40625	0.373965	na	0.5	0.947126	0.158346	32	0	0	8.07743	10.2552	7.6069	0.36637	0.535933	0.133333	0.2	4	2	8.93103	0.334457	0.0844444	na	0.0975118	
-0.277617	-0.711487	1.32698	0.950146	1.49343	1.05462	-1.01149	0.322581	0.40625	0.428576	na	0.466667	0.891954	0.115024	32	0	0	8.07743	7.45977	8.47126	-0.103912	-0.204697	0.3	0.3	2	2	7.96552	-0.0438514	0.137778	na	0.268105	
1.41691	2.4164	0.491871	0.933546	0.510494	1.01021	1.97701	0.322581	0.375	0.417991	na	0.4	0.822989	0.16987	32	0	0	8.07743	11.2299	9.25287	0.530349	0.400089	0.4	0.433333	3	6	10.2414	0.847874	0.204444	na	0.267144	
-1.06598	-1.12509	0.0743177	-0.348598	0.0190283	-0.443162	-2.24368	0.16129	0.1875	0.198278	na	0.433333	0.898851	0.0827822	32	0	0	8.07743	5.70575	7.94943	-0.398999	-0.454055	0.266667	0.3	3	8	6.82759	-0.489714	0.131111	na	1.22683	
1.0625	0.642731	0.491871	0.797981	0.510494	0.857905	2.67586	0.16129	0.28125	0.263137	na	0.466667	0.91954	0.1576	32	0	0	8.07743	10.4414	7.76552	0.397696	0.541516	0.2	0.233333	4	6	9.10345	0.402012	0.111111	na	0.0957728	
0.334065	-2.88655	-0.134459	0.0207499	-0.226705	-0.0346359	0.606897	0.129032	0.21875	0.212023	na	0.6	0.937931	0.129496	32	0	0	8.07743	8.82069	8.21379	0.125041	0.122818	0.233333	0.233333	3	9	8.51724	0.172325	0.0933333	na	0.11337	
