mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:35:15 2008 

Input data from the file: ex10.txt

Print_neuttest:        1
Print_matrixpol:       0
Mhits:                 1
Dist_out:              8.000000
Mhratio_sv:            0.5
Seed2:                 546
N_iterations:          1000
Seed1:                 539

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Thetaw:                10
No_rec_males:          0
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-0.550776	-1.8041	-0.229815	-0.392537	-0.334526	-0.497598	1.3977	0.0384615	0.0740741	0.136516	na	0.466667	0.882759	0.0992347	27	0	0	6.81534	5.76782	4.37011	-0.208863	0.32956	0.3	0.466667	2	8	5.06897	-0.78888	0.146667	na	0.173376	
-0.220556	-0.929385	0.330809	0.17591	0.476852	0.272043	-2.84138	0.163636	0.25	0.255616	na	0.6	0.958621	0.113676	56	0	0	14.1355	13.3034	16.1448	-0.0799893	-0.342636	0.166667	0.166667	4	11	14.7241	0.141414	0.0733333	na	0.150337	
-0.245632	-2.31508	-0.0735256	-0.151239	-0.148494	-0.220152	2.26207	0.047619	0.0909091	0.0865956	na	0.466667	0.949425	0.111688	22	0	0	5.55324	5.16552	2.90345	-0.0948764	0.63917	0.1	0.2	1	6	4.03448	-0.810882	0.0822222	na	0.193591	
0.258943	-0.945074	0.158556	0.225862	0.312962	0.357898	-4.13793	0.097561	0.166667	0.185111	na	0.566667	0.956322	0.128501	42	0	0	10.6016	11.3448	15.4828	0.0952614	-0.652756	0.133333	0.166667	3	9	13.4138	0.871954	0.0755556	na	0.0881459	
0.896434	-1.17851	0.418772	0.678238	0.427163	0.725475	3.38391	0.153846	0.25	0.246286	na	0.6	0.935632	0.150665	40	0	0	10.0968	12.554	9.17011	0.330712	0.558415	0.2	0.233333	4	8	10.8621	0.247594	0.0955556	na	0.318623	
-0.0654211	2.15941	0.197136	0.131126	0.355041	0.248487	-13.5724	0.214286	0.302326	0.385123	na	0.4	0.885057	0.117664	43	0	0	10.8541	10.6621	24.2345	-0.0240359	-2.09489	0.233333	0.333333	3	9	17.4483	2.00297	0.144444	na	0.281371	
0.32394	1.54754	0.371756	0.419927	0.369706	0.430039	3.17241	0.181818	0.294118	0.278683	na	0.4	0.91954	0.132247	34	0	0	8.58227	9.34483	6.17241	0.120741	0.607599	0.166667	0.266667	3	7	7.75862	-0.306517	0.111111	na	0.214022	
-0.595643	-0.846729	0.585274	0.239537	0.618215	0.23313	-4.46897	0.214286	0.310345	0.249486	na	0.433333	0.885057	0.100823	29	0	0	7.32018	6.11034	10.5793	-0.22459	-0.988403	0.3	0.366667	2	5	8.34483	0.436145	0.144444	na	0.327314	
-0.723749	-8.07402	-0.638977	-0.784228	-0.807921	-0.943928	-5.18621	0	0	0.0332784	na	0.633333	0.963218	0.091601	25	0	0	6.3105	5.02759	10.2138	-0.276261	-1.30946	0.133333	0.233333	3	9	7.62069	0.630578	0.0688889	na	0.198903	
0.785087	2.05737	0.336528	0.571125	0.330493	0.603886	4.53333	0.130435	0.212766	0.221285	na	0.466667	0.903448	0.146641	47	0	0	11.8637	14.3701	9.83678	0.287087	0.644198	0.2	0.2	5	10	12.1034	0.0673295	0.126667	na	0.139178	
