mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:35:31 2008 

Input data from the file: ex11.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 1296

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Thetaw:                5
Heter_theta_alphag:    1.000000
No_rec_males:          0
Invar_mut_sites:       630
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-0.710983	-5.02182	-0.565113	-0.714267	-0.679395	-0.825412	0.395402	0.2	0.272727	0.216543	na	0.4	0.885057	0.0915786	11	0	0	2.77662	2.16322	1.76782	-0.300203	0.199751	0.233333	0.4	2	4	1.96552	-0.734216	0.144444	na	0.462274	
0.129686	-1.27217	-0.87537	-0.659802	-0.507215	-0.358683	-1.56322	0.0909091	0.166667	0.194831	na	0.333333	0.875862	0.139148	12	0	0	3.02904	3.14943	4.71264	0.0540086	-0.736334	0.266667	0.366667	2	4	3.93103	0.766647	0.153333	na	0.635036	
-0.0761611	-1.33329	-0.0526883	-0.0709333	-0.127236	-0.13273	-0.257471	0.04	0.0769231	0.122212	na	0.466667	0.912644	0.116119	26	0	0	6.56292	6.42299	6.68046	-0.0289729	-0.0627845	0.233333	0.366667	3	7	6.55172	-0.00521558	0.117778	na	0.155691	
-1.01479	-3.18115	-0.912415	-1.10948	-1.09741	-1.28947	-1.06667	0.125	0.235294	0.238041	na	0.4	0.825287	0.0833285	17	0	0	4.29114	3.01839	4.08506	-0.403048	-0.376379	0.4	0.433333	2	7	3.55172	-0.483795	0.202222	na	0.331302	
-0.24638	-3.43703	-0.617896	-0.585988	0.369706	0.18382	-7.51264	0.0606061	0.117647	0.144003	na	0.6	0.963218	0.112414	34	0	0	8.58227	8.0023	15.5149	-0.0918321	-1.43887	0.1	0.166667	3	7	11.7586	1.18206	0.0688889	na	0.124964	
-0.0302295	-0.2586	0.381243	0.294096	0.375274	0.286167	0.147126	0.0526316	0.1	0.0935769	na	0.366667	0.804598	0.119662	20	0	0	5.0484	5.0046	4.85747	-0.0117896	0.0451651	0.366667	0.4	2	4	4.93103	-0.0676162	0.222222	na	0.199816	
0.294309	-2.56294	0.136512	0.220419	0.0932723	0.197744	2.76782	0.0416667	0.08	0.113606	na	0.533333	0.942529	0.130455	25	0	0	6.3105	6.83218	4.06437	0.11234	0.698846	0.166667	0.266667	2	6	5.44828	-0.414975	0.0888889	na	0.146366	
-0.510491	-4.11713	-0.463813	-0.563467	-0.602633	-0.691465	2.37241	0.0434783	0.0833333	0.105326	na	0.533333	0.933333	0.0992553	24	0	0	6.05808	5.18621	2.81379	-0.195571	0.621025	0.2	0.233333	3	8	4	-1.02411	0.0977778	na	0.192819	
1.3258	-0.86801	0.062604	0.532796	0.015169	0.531239	0.588506	0.0909091	0.166667	0.245252	na	0.366667	0.889655	0.170995	12	0	0	3.02904	4.25977	3.67126	0.552136	0.277208	0.2	0.266667	2	3	3.96552	0.795955	0.14	na	0.234754	
0.743032	0.0313695	0.912001	1.00956	0.994466	1.09961	2.56552	0.125	0.24	0.242093	na	0.433333	0.903448	0.149036	25	0	0	6.3105	7.62759	5.06207	0.283622	0.647767	0.266667	0.3	2	3	6.34483	0.0165234	0.126667	na	0.131103	
-0.422753	-3.9951	0.156449	-0.0313009	0.117945	-0.0774276	2.0046	0.0625	0.117647	0.15587	na	0.466667	0.937931	0.104699	17	0	0	4.29114	3.76092	1.75632	-0.167907	0.707333	0.133333	0.266667	1	4	2.75862	-1.00272	0.0933333	na	0.265892	
0.38547	-1.9322	0.0693824	0.199926	0.0173236	0.172879	-0.441379	0.105263	0.15	0.227745	na	0.466667	0.917241	0.134395	20	0	0	5.0484	5.6069	6.04828	0.150334	-0.135495	0.2	0.233333	3	5	5.82759	0.448916	0.113333	na	0.178352	
0.449788	0.0764539	0.909425	0.895999	1.00196	0.980907	2.63908	0.0322581	0.0625	0.142638	na	0.466667	0.905747	0.138794	32	0	0	8.07743	9.07816	6.43908	0.168356	0.534072	0.266667	0.4	7	4	7.75862	-0.124917	0.124444	na	0.110154	
-0.0952817	-5.59798	-0.554338	-0.479763	-0.698577	-0.595254	1.26897	0	0	0.0637374	na	0.566667	0.956322	0.113821	20	0	0	5.0484	4.91034	3.64138	-0.03716	0.389549	0.133333	0.166667	3	7	4.27586	-0.445082	0.0755556	na	0.203652	
-0.184783	-4.98054	0.638137	0.442598	0.668722	0.457037	-0.229885	0	0	0.0362009	na	0.533333	0.947126	0.116101	19	0	0	4.79598	4.54023	4.77011	-0.0724637	-0.0737631	0.133333	0.2	2	3	4.65517	-0.0844752	0.0844444	na	0.440506	
0.434406	-3.46274	0.0714512	0.221217	0.32835	0.442334	0.634483	0.0434783	0.0833333	0.155354	na	0.566667	0.94023	0.134371	24	0	0	6.05808	6.8	6.16552	0.166422	0.166088	0.166667	0.233333	1	5	6.48276	0.211324	0.0911111	na	0.147059	
-0.568029	-2.65452	-0.68169	-0.758144	-0.831403	-0.89506	0.588506	0	0	0.0703697	na	0.4	0.903448	0.0985936	16	0	0	4.03872	3.36322	2.77471	-0.227284	0.218577	0.2	0.366667	2	6	3.06897	-0.664788	0.126667	na	0.297334	
-0.285284	-7.33608	0.156449	0.0197332	0.117945	-0.0215904	1.03908	0.0625	0.117647	0.101606	na	0.566667	0.942529	0.110728	17	0	0	4.29114	3.93333	2.89425	-0.113308	0.366645	0.2	0.233333	2	4	3.41379	-0.574043	0.0888889	na	0.254237	
0.42103	-1.30192	0.496181	0.55575	0.512614	0.583179	-0.285057	0.115385	0.185185	0.225449	na	0.5	0.933333	0.135907	27	0	0	6.81534	7.61609	7.90115	0.159662	-0.0672129	0.2	0.233333	3	5	7.75862	0.426106	0.0977778	na	0.131301	
-0.376365	-1.80442	-0.0327523	-0.165094	-0.0950212	-0.227141	-0.790805	0.0714286	0.133333	0.183581	na	0.366667	0.825287	0.10707	15	0	0	3.7863	3.36322	4.15402	-0.151843	-0.310046	0.3	0.333333	1	4	3.75862	-0.0199285	0.202222	na	0.297334	
-0.67435	-1.16884	0.0665908	-0.195973	0.0164126	-0.259076	1.92184	0	0	0.0868832	na	0.333333	0.855172	0.0965745	16	0	0	4.03872	3.23678	1.31494	-0.269826	0.71379	0.333333	0.433333	1	4	2.27586	-1.20848	0.173333	na	0.308949	
0.420034	-2.29036	1.06774	1.0109	1.18503	1.11261	-6.47356	0.137931	0.233333	0.249819	na	0.566667	0.958621	0.137911	30	0	0	7.5726	8.45287	14.9264	0.157966	-1.38874	0.133333	0.133333	4	3	11.6897	1.70336	0.0733333	na	0.118303	
0.565977	-4.70204	0.312782	0.462138	0.296377	0.468633	3.08966	0	0	0.0858458	na	0.566667	0.951724	0.140947	19	0	0	4.79598	5.57931	2.48966	0.221951	0.991376	0.166667	0.166667	4	4	4.03448	-0.456856	0.08	na	0.179234	
-0.860041	-7.62151	-0.866198	-1.01597	-1.05653	-1.19575	-1.22299	0.0526316	0.1	0.124281	na	0.566667	0.947126	0.0856411	20	0	0	5.0484	3.8023	5.02529	-0.335418	-0.375435	0.166667	0.233333	2	8	4.41379	-0.365616	0.0844444	na	0.262999	
0.68076	-0.377939	0.0665908	0.305403	0.0164126	0.287949	1.35172	0.0666667	0.125	0.199794	na	0.366667	0.871264	0.14564	16	0	0	4.03872	4.84828	3.49655	0.272391	0.502043	0.266667	0.333333	2	4	4.17241	0.091652	0.157778	na	0.206259	
1.34449	4.27041	1.70617	1.87178	1.92451	2.0893	-1.6	0.307692	0.37037	0.411101	na	0.3	0.878161	0.173563	27	0	0	6.81534	9.37241	10.9724	0.509852	-0.377259	0.266667	0.333333	2	0	10.1724	1.51648	0.151111	na	0.320088	
-0.202154	-1.66899	1.00058	0.734565	1.05994	0.776501	1.26897	0	0	0.0623942	na	0.333333	0.871264	0.116577	12	0	0	3.02904	2.84138	1.57241	-0.0841882	0.59773	0.3	0.466667	2	1	2.2069	-0.698774	0.157778	na	0.351942	
-0.385533	-3.68416	-0.454102	-0.508247	-0.585659	-0.625299	-1.87586	0.05	0.0952381	0.138121	na	0.5	0.933333	0.103919	21	0	0	5.30082	4.71724	6.5931	-0.149603	-0.55199	0.166667	0.2	3	7	5.65517	0.196382	0.0977778	na	0.211988	
-0.551859	-2.6689	-0.337928	-0.477025	-0.448311	-0.583916	-0.0735632	0.0555556	0.105263	0.180964	na	0.433333	0.905747	0.0988137	19	0	0	4.79598	4.03218	4.10575	-0.216414	-0.0236042	0.233333	0.4	2	6	4.06897	-0.436168	0.124444	na	0.248005	
-0.0190258	-2.68841	-0.68169	-0.555019	-0.831403	-0.673441	0.790805	0	0	0.143812	na	0.433333	0.873563	0.116855	16	0	0	4.03872	4.01609	3.22529	-0.00761273	0.293712	0.3	0.366667	1	6	3.62069	-0.286568	0.155556	na	0.248998	
0.139257	-5.27891	-1.10817	-0.833467	-1.34622	-1.00903	-0.827586	0.0454545	0.0869565	0.127605	na	0.6	0.94023	0.120063	23	0	0	5.80566	6.03448	6.86207	0.0535602	-0.224908	0.2	0.2	4	10	6.44828	0.331015	0.0911111	na	0.165714	
0.124158	-1.70949	-0.0125732	0.0362887	-0.0759668	-0.00955002	1.03908	0.111111	0.210526	0.193252	na	0.433333	0.903448	0.124273	19	0	0	4.79598	4.96782	3.92874	0.0486892	0.333409	0.233333	0.233333	3	5	4.44828	-0.208602	0.126667	na	0.201296	
-0.28924	-6.17186	-0.143225	-0.221572	-0.217988	-0.290349	1.62759	0	0	0.0415711	na	0.5	0.944828	0.110055	14	0	0	3.53388	3.22759	1.6	-0.11778	0.675781	0.133333	0.233333	3	4	2.41379	-0.849512	0.0866667	na	0.309829	
0.780243	-2.50289	0.963492	1.06385	1.04107	1.1501	-1.07586	0.111111	0.157895	0.345228	na	0.5	0.912644	0.151688	19	0	0	4.79598	5.87586	6.95172	0.305976	-0.345211	0.266667	0.333333	5	2	6.41379	0.970603	0.117778	na	0.170188	
-0.203287	-4.35555	-0.454102	-0.439835	-0.585659	-0.549735	3.22759	0	0	0.0982955	na	0.533333	0.924138	0.111008	21	0	0	5.30082	4.9931	1.76552	-0.0788843	0.949748	0.233333	0.233333	2	7	3.37931	-1.06489	0.106667	na	0.200276	
