mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:35:57 2008 

Input data from the file: ex13.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 213

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Thetaw:                10
No_rec_males:          0
Ifgammar:              1
Alpha_gammar:          0.5
P_gammar:              0.5
Correct_gammar:        5


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
0.386794	1.38558	0.882753	0.850235	0.977145	0.933297	-0.312644	0.27027	0.315789	0.321958	na	0.433333	0.873563	0.135644	38	0	0	9.59195	10.6023	10.9149	0.143136	-0.0540867	0.333333	0.433333	0	5	10.7586	0.39462	0.155556	na	0.377277	
-0.571442	-2.60532	-1.38562	-1.32326	-1.66718	-1.56063	2.21609	0.0454545	0.0869565	0.0837917	na	0.466667	0.875862	0.094958	23	0	0	5.80566	4.86667	2.65057	-0.219784	0.602254	0.3	0.366667	1	11	3.75862	-1.05443	0.153333	na	0.205479	
-1.18708	-2.74431	-1.56862	-1.70238	-1.90067	-2.00386	-2.6023	0.111111	0.178571	0.150178	na	0.466667	0.891954	0.0737038	28	0	0	7.06776	4.73333	7.33563	-0.448833	-0.593958	0.233333	0.366667	1	14	6.03448	-0.452876	0.137778	na	0.211268	
-0.724611	-2.04315	-1.05583	-1.11683	-1.25531	-1.29772	1.66437	0.0666667	0.125	0.143118	na	0.366667	0.887356	0.0916156	16	0	0	4.03872	3.17701	1.51264	-0.289936	0.618162	0.233333	0.333333	1	7	2.34483	-1.1612	0.142222	na	0.314761	
-0.379139	-1.56017	-0.955811	-0.906508	-1.18167	-1.09359	2.6023	0.115385	0.185185	0.143883	na	0.466667	0.901149	0.103552	27	0	0	6.81534	6.09425	3.49195	-0.143776	0.613589	0.233333	0.233333	0	11	4.7931	-0.913494	0.128889	na	0.164089	
0.687156	1.23621	0.780725	0.885299	0.86248	0.97524	6.94253	0.108696	0.191489	0.198747	na	0.5	0.94023	0.145486	47	0	0	11.8637	14.0575	7.11494	0.251276	0.986551	0.166667	0.166667	2	7	10.5862	-0.358821	0.0911111	na	0.0711365	
-0.0477662	0.197259	-0.0802537	-0.0821413	-0.167753	-0.151892	2.54713	0.0697674	0.136364	0.204402	na	0.5	0.933333	0.117355	44	0	0	11.1065	10.9632	8.41609	-0.0175275	0.384854	0.2	0.3	5	12	9.68966	-0.421761	0.0977778	na	0.182428	
0.938687	0.405978	0.664349	0.88767	0.712648	0.963053	1.36092	0.2	0.290323	0.273182	na	0.466667	0.921839	0.154011	31	0	0	7.82501	9.85287	8.49195	0.35216	0.283438	0.233333	0.266667	2	5	9.17241	0.54229	0.108889	na	0.101493	
-0.838981	-8.54359	-1.23475	-1.30376	-1.5134	-1.55034	3.02529	0.0714286	0.137931	0.140747	na	0.666667	0.96092	0.0850601	29	0	0	7.32018	5.61609	2.5908	-0.316342	0.669104	0.166667	0.2	2	13	4.10345	-1.3692	0.0711111	na	0.17806	
0.205255	-0.199706	-0.231257	-0.103431	-0.351172	-0.182221	2.88736	0.12	0.196078	0.216853	na	0.566667	0.937931	0.124461	51	0	0	12.8734	13.5816	10.6943	0.0747563	0.38015	0.2	0.266667	2	15	12.1379	-0.192126	0.0933333	na	0.073629	
