mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:36:18 2008 

Input data from the file: ex14.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 4432

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Thetaw:                10
No_rec_males:          0
Range_rnt:             1
Recnt_min:             0.000500
Recnt_max:             0.050000
Rm:                    2
Nhapl:                 0
Rmfix:                 1
Method_samp:           1

REJECTION ALGORITHM. Fix Rm (and optionally nhapl) and screening all probable R.

Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-1.35793	-3.78002	-0.380481	-0.817856	0.0932723	-0.498184	-6.53793	0.208333	0.32	0.256589	na	0.466667	0.921839	0.0734118	25	0	0	6.3105	3.90345	10.4414	-0.518333	-1.65076	0.233333	0.3	2	6	7.17241	0.414829	0.108889	na	0.512367	
0.644012	-2.94339	1.59856	1.52248	1.76293	1.67014	0.855172	0.294118	0.5	0.406472	na	0.5	0.937931	0.149808	18	0	0	4.54356	5.3931	4.53793	0.254085	0.287417	0.2	0.266667	2	0	4.96552	0.264104	0.0933333	na	0.185422	
-0.305738	-2.81952	-0.0778101	-0.179009	-0.160526	-0.25779	-0.947126	0.03125	0.0606061	0.108952	na	0.566667	0.951724	0.109391	33	0	0	8.32985	7.62989	8.57701	-0.11419	-0.186393	0.133333	0.133333	2	9	8.10345	-0.0864247	0.08	na	0.131064	
0.0597173	-1.11599	0.449686	0.380924	0.460384	0.387776	3.63218	0.0666667	0.129032	0.187649	na	0.5	0.910345	0.123085	31	0	0	7.82501	7.95402	4.32184	0.0224037	0.756474	0.233333	0.233333	2	6	6.13793	-0.679004	0.12	na	0.125723	
0.105716	-0.179476	0.731716	0.621241	0.80263	0.67254	5.84828	0.159091	0.244444	0.232379	na	0.533333	0.942529	0.125109	45	0	0	11.3589	11.6828	5.83448	0.0387451	0.865383	0.166667	0.2	2	7	8.75862	-0.758909	0.0888889	na	0.0855962	
-1.07357	-3.17256	-1.63659	-1.71355	-1.40634	-1.5685	-6.10575	0.153846	0.2	0.263214	na	0.566667	0.951724	0.0854851	40	0	0	10.0968	7.15402	13.2598	-0.396059	-1.00758	0.133333	0.166667	2	17	10.2069	0.0356223	0.08	na	0.139781	
0.294719	-2.77497	0.125398	0.212657	0.0790129	0.189017	2.07816	0.0625	0.121212	0.158705	na	0.6	0.956322	0.129995	33	0	0	8.32985	9.0046	6.92644	0.110075	0.408978	0.133333	0.133333	2	8	7.96552	-0.139076	0.0755556	na	0.111054	
0.511765	-0.451487	0.165463	0.328473	0.125965	0.321311	1.16782	0.108108	0.210526	0.224849	na	0.533333	0.931034	0.136945	38	0	0	9.59195	10.9287	9.76092	0.189383	0.20203	0.2	0.2	2	9	10.3448	0.254656	0.1	na	0.0915019	
-0.243391	-1.52925	-0.112811	-0.183198	-0.203326	-0.26489	1.93103	0.0857143	0.138889	0.191769	na	0.533333	0.94023	0.110978	36	0	0	9.08711	8.48276	6.55172	-0.0903761	0.351041	0.133333	0.166667	2	10	7.51724	-0.556323	0.0911111	na	0.117886	
0.0385862	-2.01399	-0.719338	-0.556143	-0.92771	-0.708165	-0.395402	0.075	0.097561	0.172573	na	0.6	0.96092	0.117844	41	0	0	10.3492	10.4575	10.8529	0.0142148	-0.0637795	0.133333	0.2	2	15	10.6552	0.0968838	0.0711111	na	0.191251	
0.501275	0.310561	1.36065	1.27308	1.55579	1.43376	-6.81379	0.377778	0.434783	0.462405	na	0.533333	0.931034	0.14123	46	0	0	11.6113	13.1793	19.9931	0.183506	-0.987849	0.233333	0.3	2	3	16.5862	1.42411	0.1	na	0.22763	
0.550494	0.628136	0.978216	0.988996	1.09457	1.09615	-1.63678	0.219512	0.309524	0.328157	na	0.5	0.947126	0.141463	42	0	0	10.6016	12.1816	13.8184	0.202519	-0.258201	0.133333	0.266667	2	5	13	0.743651	0.0844444	na	0.246273	
-0.816366	-10.8556	-0.796689	-0.947122	-0.796689	-0.978677	-1.48046	0.138889	0.27027	0.213994	na	0.766667	0.977011	0.0884965	37	0	0	9.33953	7.25977	8.74023	-0.302605	-0.262462	0.133333	0.166667	2	13	8	-0.463639	0.0555556	na	0.137745	
-0.415092	-0.0783892	1.25867	0.83976	1.42471	0.933763	-2.18851	0.184211	0.230769	0.241918	na	0.466667	0.937931	0.109672	39	0	0	9.84437	8.73333	10.9218	-0.153366	-0.369671	0.133333	0.233333	2	3	9.82759	-0.00555201	0.0933333	na	0.687023	
0.590543	-1.26912	0.48642	0.614158	0.508363	0.655796	-0.717241	0.170732	0.261905	0.22922	na	0.6	0.956322	0.140568	42	0	0	10.6016	12.2966	13.0138	0.217252	-0.113144	0.133333	0.233333	2	8	12.6552	0.636732	0.0755556	na	0.0813236	
1.30259	0.943789	-0.0384176	0.47381	-0.118051	0.481046	1.8023	0.227273	0.311111	0.344299	na	0.533333	0.928736	0.162736	45	0	0	11.3589	15.3494	13.5471	0.4774	0.26669	0.2	0.233333	2	12	14.4483	0.90166	0.102222	na	0.195447	
-0.911516	-6.13955	-0.318207	-0.603965	-0.448711	-0.748433	-9.53563	0.105263	0.153846	0.23136	na	0.666667	0.970115	0.0873748	39	0	0	9.84437	7.4046	16.9402	-0.336782	-1.61071	0.1	0.2	2	12	12.1724	0.769942	0.0622222	na	0.135051	
0.419357	-0.543136	0.344785	0.435366	0.33876	0.447691	-3.10805	0.243243	0.368421	0.351347	na	0.533333	0.931034	0.134969	38	0	0	9.59195	10.6874	13.7954	0.155186	-0.537686	0.2	0.333333	2	8	12.2414	0.896156	0.1	na	0.0935685	
0.00103293	-1.23558	-0.825036	-0.65438	-1.05485	-0.823517	0.588506	0.219512	0.333333	0.249976	na	0.566667	0.944828	0.116136	42	0	0	10.6016	10.6046	10.0161	0.000379999	0.0928364	0.166667	0.2	2	16	10.3103	-0.0903185	0.0866667	na	0.0942987	
-0.914605	-11.5536	-0.112811	-0.441098	-0.203326	-0.555868	0.873563	0.0857143	0.166667	0.147996	na	0.766667	0.97931	0.087	36	0	0	9.08711	6.81609	5.94253	-0.339612	0.158804	0.1	0.133333	2	10	6.37931	-0.959577	0.0533333	na	0.146712	
1.35341	1.61591	0.48313	0.908843	0.507465	0.995219	1.48966	0.196078	0.269231	0.290309	na	0.533333	0.942529	0.166233	52	0	0	13.1258	17.8828	16.3931	0.492478	0.192591	0.166667	0.233333	2	10	17.1379	1.03006	0.0888889	na	0.11184	
0.624488	1.55931	0.197314	0.399806	0.163815	0.40629	-5.15862	0.40678	0.483333	0.465166	na	0.533333	0.933333	0.140711	60	0	0	15.1452	17.6621	22.8207	0.225826	-0.582865	0.166667	0.2	2	14	20.2414	1.15047	0.0977778	na	0.679422	
-0.556639	-5.91336	-0.802604	-0.851675	-1.00054	-1.02588	-0.367816	0.04	0.0769231	0.135832	na	0.6	0.956322	0.0985106	26	0	0	6.56292	5.54023	5.90805	-0.211755	-0.0896922	0.166667	0.233333	2	10	5.72414	-0.390893	0.0755556	na	0.180498	
