mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:41:45 2008 

Input data from the file: ex15.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 9098

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Thetaw:                10
No_rec_males:          0
Ifgammar:              1
Alpha_gammar:          1
P_gammar:              1
Correct_gammar:        5
Rm:                    2
Nhapl:                 13
Rmfix:                 1
Method_samp:           1

REJECTION ALGORITHM. Fix Rm (and optionally nhapl) and screening all probable R.

Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
0.229016	3.20601	-0.014385	0.0778781	0.0580795	0.147221	1.08506	0.125	0.210526	0.234907	na	0.433333	0.894253	0.127883	57	0	0	14.3879	15.2667	14.1816	0.0829941	0.128681	0.266667	0.266667	2	14	14.7241	0.0794954	0.135556	na	0.0655022	
-0.462305	-0.815093	0.0730476	-0.117628	0.0185771	-0.181943	-0.165517	0.148148	0.178571	0.184143	na	0.433333	0.921839	0.103992	28	0	0	7.06776	6.15862	6.32414	-0.174797	-0.0377782	0.166667	0.2	2	7	6.24138	-0.362195	0.108889	na	0.324748	
-0.00931338	1.16259	0.761332	0.600937	0.834608	0.648569	1.31494	0.128205	0.225	0.279277	na	0.433333	0.928736	0.121818	40	0	0	10.0968	10.0713	8.75632	-0.00343588	0.216993	0.166667	0.266667	2	6	9.41379	-0.220975	0.102222	na	0.0992924	
1.78425	2.68386	0.672399	1.2206	0.726839	1.34436	-0.367816	0.277778	0.351351	0.394352	na	0.433333	0.857471	0.182551	37	0	0	9.33953	13.8851	14.2529	0.661372	-0.065208	0.333333	0.366667	2	6	14.069	1.63695	0.171111	na	0.14404	
1.20573	5.5099	0.8759	1.16393	0.98641	1.30523	2.2069	0.3125	0.384615	0.398213	na	0.433333	0.926437	0.162457	65	0	0	16.4073	21.6552	19.4483	0.434645	0.231149	0.166667	0.266667	2	9	20.5517	0.870052	0.104444	na	0.138535	
-1.39354	-1.30397	-1.32358	-1.58741	-1.17799	-1.52688	-1.96782	0.205882	0.285714	0.257649	na	0.433333	0.891954	0.0795421	35	0	0	8.83469	5.46437	7.43218	-0.518403	-0.367056	0.266667	0.266667	2	14	6.44828	-0.866362	0.137778	na	0.183004	
0.202745	4.1477	1.33448	1.13407	1.54369	1.28612	-2.97931	0.181818	0.223881	0.291348	na	0.433333	0.917241	0.130678	67	0	0	16.9121	17.8207	20.8	0.0730034	-0.303199	0.2	0.2	2	5	19.3103	0.489744	0.113333	na	0.168344	
-0.511594	-1.18524	-0.0526883	-0.236049	0.163866	-0.0867242	0.625287	0.16	0.269231	0.248305	na	0.433333	0.910345	0.101947	26	0	0	6.56292	5.62299	4.9977	-0.194619	0.152477	0.233333	0.3	2	6	5.31034	-0.583732	0.12	na	0.177841	
1.28918	3.59595	0.803838	1.13719	0.890786	1.2633	-3.02529	0.382979	0.479167	0.45953	na	0.433333	0.889655	0.165409	48	0	0	12.1162	16.3149	19.3402	0.47092	-0.421542	0.266667	0.3	2	7	17.8276	1.57456	0.14	na	0.306468	
-0.784092	-2.13304	-0.275826	-0.516169	-0.383337	-0.63174	3.44828	0.136364	0.217391	0.247994	na	0.433333	0.928736	0.0927152	23	0	0	5.80566	4.51724	1.06897	-0.301572	0.937117	0.133333	0.266667	2	7	2.7931	-1.55177	0.102222	na	0.442748	
