mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:57:54 2008 

Input data from the file: ex16.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 7787

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Thetaw:                5
No_rec_males:          0
Recombination:         10
Heter_rec_alphag:      0.500000


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
0.318252	-1.52939	0.173969	0.256643	0.13887	0.23753	1.47126	0.0833333	0.153846	0.304692	na	0.366667	0.88046	0.134181	13	0	0	3.28146	3.5977	2.12644	0.130961	0.649297	0.266667	0.366667	3	3	2.86207	-0.336109	0.148889	na	0.277955	
0.317304	-1.21789	1.14198	1.03234	1.25933	1.13041	-1.48966	0.130435	0.208333	0.221883	na	0.466667	0.910345	0.135123	24	0	0	6.05808	6.6	8.08966	0.12156	-0.389946	0.266667	0.333333	4	2	7.34483	0.640295	0.12	na	0.151515	
-0.565408	-1.31374	0.918354	0.526313	0.986916	0.556712	-3.02529	0.352941	0.388889	0.411832	na	0.366667	0.905747	0.102727	18	0	0	4.54356	3.7977	6.82299	-0.223073	-1.01677	0.2	0.4	1	2	5.31034	0.47993	0.124444	na	1.05327	
0.252808	-2.6185	0.395008	0.411137	0.39367	0.417885	-1.51724	0.166667	0.28	0.253956	na	0.533333	0.935632	0.129367	25	0	0	6.3105	6.75862	8.27586	0.096499	-0.383088	0.2	0.2	3	5	7.51724	0.58079	0.0955556	na	0.147959	
0.43431	-1.30165	-0.613053	-0.320161	-0.796689	-0.435447	2.96092	0.111111	0.162162	0.213838	na	0.566667	0.951724	0.131444	37	0	0	9.33953	10.446	7.48506	0.160987	0.524924	0.133333	0.2	2	13	8.96552	-0.129455	0.08	na	0.0957306	
0.442482	0.929255	0.606716	0.651954	0.638678	0.691465	-0.165517	0.0869565	0.166667	0.239495	na	0.366667	0.871264	0.137132	24	0	0	6.05808	6.81379	6.97931	0.169516	-0.0433274	0.266667	0.3	4	4	6.89655	0.41723	0.157778	na	0.146761	
0.412284	-0.898624	1.2143	1.13536	1.25755	1.18277	0.845977	0	0	0.0673045	na	0.233333	0.82069	0.144444	6	0	0	1.51452	1.73333	0.887356	0.196331	0.678179	0.333333	0.533333	1	0	1.31034	-0.279566	0.206667	na	0.576923	
1.29316	2.56931	1.40961	1.61488	1.56966	1.78572	1.08506	0.217391	0.291667	0.376875	na	0.333333	0.882759	0.170997	24	0	0	6.05808	8.26667	7.18161	0.495413	0.284035	0.233333	0.233333	1	1	7.72414	0.829042	0.146667	na	0.120968	
-0.585427	-1.82999	-1.42997	-1.36609	-0.831403	-0.902083	-2.41839	0.2	0.25	0.292185	na	0.366667	0.850575	0.111251	16	0	0	4.03872	3.34253	5.76092	-0.234245	-0.898214	0.333333	0.433333	1	6	4.55172	0.351678	0.177778	na	0.299175	
-0.571864	-8.79532	-0.937608	-0.965247	-1.14563	-1.14746	-0.698851	0.0952381	0.181818	0.159663	na	0.633333	0.951724	0.0958339	22	0	0	5.55324	4.65057	5.34943	-0.220885	-0.197467	0.166667	0.3	2	9	5	-0.29538	0.08	na	0.215027	
