mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:58:05 2008 

Input data from the file: ex17.txt

Print_neuttest:        1
Print_matrixpol:       0
Mhits:                 1
Dist_out:              8.000000
Mhratio_sv:            2
Seed2:                 2871
N_iterations:          100
Seed1:                 1121

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Range_thetant:         1
Thetant_min:           0.000500
Thetant_max:           0.010000
Mutations:             20
Sfix_allthetas:        1
Method_samp:           1
No_rec_males:          0
Ifgammar:              1
Alpha_gammar:          1
P_gammar:              1
Correct_gammar:        10
Rm:                    2
Nhapl:                 0
Rmfix:                 1
Method_samp:           1

REJECTION ALGORITHM OF TAVARE et al. 1997. Fix S and screening all probable thetas.  Rejection algorithm n. 2.
REJECTION ALGORITHM. Fix Rm (and optionally nhapl) and screening all probable R.

Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
0.54096	0.320106	0.693103	0.757818	0.733224	0.806769	-1.92184	0.368421	0.45	0.471287	na	0.366667	0.896552	0.141601	20	0	0	5.0484	5.83218	7.75402	0.210975	-0.58997	0.2	0.3	2	3	6.7931	1.00518	0.133333	na	0.857312	
-0.583966	-6.79396	-0.554338	-0.662756	-0.698577	-0.796946	-0.285057	0.0526316	0.1	0.138644	na	0.566667	0.951724	0.0991753	20	0	0	5.0484	4.2023	4.48736	-0.227748	-0.0875075	0.133333	0.233333	2	7	4.34483	-0.405349	0.08	na	0.237965	
-0.0603757	-3.3976	-1.17806	-0.966359	-1.41448	-1.15056	-0.56092	0.105263	0.2	0.152994	na	0.5	0.935632	0.112891	20	0	0	5.0484	4.96092	5.52184	-0.0235466	-0.172192	0.133333	0.266667	2	9	5.24138	0.111184	0.0955556	na	0.201576	
-1.03774	-4.34785	-0.866198	-1.08251	-0.340627	-0.699374	-6.28966	0.105263	0.2	0.141946	na	0.466667	0.889655	0.0805631	20	0	0	5.0484	3.54483	9.83448	-0.404722	-1.93081	0.266667	0.466667	2	6	6.68966	0.945582	0.14	na	0.282101	
-0.125428	-1.06223	0.693103	0.508282	0.733224	0.531734	-1.92184	0.0526316	0.1	0.1001	na	0.4	0.921839	0.118333	20	0	0	5.0484	4.86667	6.78851	-0.0489171	-0.58997	0.166667	0.3	2	3	5.82759	0.448916	0.108889	na	0.205479	
-0.423716	-3.08042	-1.17806	-1.10242	-1.41448	-1.30052	1.21379	0.105263	0.2	0.132582	na	0.466667	0.908046	0.100239	20	0	0	5.0484	4.43448	3.22069	-0.16525	0.372612	0.2	0.3	2	9	3.82759	-0.703349	0.122222	na	0.225505	
0.372777	-0.519579	1.31682	1.19451	1.80707	1.59193	0.901149	0.0526316	0.1	0.279098	na	0.4	0.896552	0.138337	20	0	0	5.0484	5.58851	4.68736	0.145384	0.276636	0.266667	0.266667	2	0	5.13793	0.0515836	0.133333	na	0.178939	
-0.146054	-4.56022	-0.242478	-0.248942	0.375274	0.238364	-0.947126	0.105263	0.2	0.241854	na	0.533333	0.954023	0.11706	20	0	0	5.0484	4.83678	5.78391	-0.0569614	-0.290751	0.133333	0.2	2	4	5.31034	0.150917	0.0777778	na	0.206749	
0.198246	-9.03384	0.381243	0.379652	0.375274	0.380465	3.29195	0.0526316	0.1	0.157988	na	0.666667	0.967816	0.127859	20	0	0	5.0484	5.33563	2.04368	0.0773164	1.01057	0.133333	0.166667	2	4	3.68966	-0.782815	0.0644444	na	0.187419	
0.759916	-1.52086	0.381243	0.589975	0.375274	0.61228	1.74713	0.105263	0.15	0.193465	na	0.466667	0.905747	0.148048	20	0	0	5.0484	6.14943	4.4023	0.296369	0.536336	0.266667	0.3	2	4	5.27586	0.13105	0.124444	na	0.162617	
