mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 02:01:05 2008 

Input data from the file: ex18.txt

Print_neuttest:        2
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 670

N_loci:                4
Factorn_chr:           1.000000 1.000000 1.000000 1.000000
N_sites:               1050 560 2456 1000
N_samples:             30 10 24 12
Thetaw:                10 5 35 8.5
No_rec_males:          0
Recombination:         10 0 30 56

Pop_size:              1.00E+06
Ifselection:           0 0 1 0
Pop_sel:               0 0 20000 0
Sel_nt:                0 0 200 0
Sinit:                 0 0 -0.01 0

Recombination parameter value for the studied region and all the region until the selective position.


Neutral tests (excluding multiple hits positions)
avg(TD)	var(TD)	avg(Fs)	var(Fs)	avg(FD*)	var(FD*)	avg(FF*)	var(FF*)	avg(FD)	var(FD) 	avg(FF)	var(FF)	avg(H)	var(H)	avg(B)	var(B)	avg(Q)	var(Q)	avg(ZA)	var(ZA)	avg(Fst)	var(Fst)	avg(Kw)	var(Kw) 	avg(Hw)	var(Hw)	avg(R2)	var(R2)	avg(S)	var(S)	avg(pi_w)	var(pi_w)	avg(pi_b)	var(pi_b)	avg(ThetaWatt)	var(thetaWatt)	avg(ThetaTaj)	var(ThetaTaj)	avg(ThetaFW)	var(ThetaFW)	avg(D/Dmin)	var(D/Dmin)	avg(Hnorm)	var(Hnorm)	avg(maxhap)	var(maxhap)	avg(maxhap1)	var(maxhap1)	avg(Rm)	var(Rm)	avg(theta_fl)	var(theta_fl)	avg(theta_l)	var(theta_l)	avg(zeng_E)	var(zeng_E)	avg(EW-test)	var(EW-test)	avg(Fstw)	var(Fstw)	avg(Pwh)	var(Pwh)
-0.259395	0.698193	-0.718201	4.88206	-0.0397076	1.14055	-0.111406	1.28737	0.0706477	1.1831	-0.052493	1.4406	2.36619	8.07956	0.174479	0.00675724	0.264883	0.0100534	0.267957	0.00508575	na	na	0.7	0.0244444	0.950104	0.00180774	0.137673	0.000615948	57.5	3387.67	0	0	0	0	15.9081	225.778	16.1084	261.089	13.7422	187.573	-0.140891	0.131319	0.196385	0.0726981	0.170833	0.00858796	0.241667	0.0167593	5.5	41.6667	11.75	40.9167	14.9253	222.311	-0.397703	0.218481	0.110556	0.00408354	na	na	0.242089	0.0317888	
0.342772	0.296481	-0.982304	1.41442	0.390546	0.328958	0.440881	0.4167	0.547608	0.355905	0.581206	0.479115	-2.0093	11.0824	0.215324	0.0161354	0.280288	0.0209253	0.322895	0.0101844	na	na	0.69375	0.0353414	0.934151	0.0041114	0.148447	0.000619166	46	1763.33	0	0	0	0	12.7482	117.276	14.3801	178.79	16.3894	180.123	0.136896	0.0530317	-0.236798	0.429753	0.1875	0.00803241	0.21875	0.00557292	3.75	10.9167	8	22	15.3848	176.686	0.539741	0.520432	0.125243	0.00649185	na	na	0.231493	0.072324	
0.0417022	0.157872	-2.38914	6.81505	0.157084	0.0110714	0.131234	0.0440116	0.096839	0.00866237	0.0842582	0.0466829	0.370185	10.1489	0.232799	0.0101	0.301124	0.00652023	0.308314	0.0104516	na	na	0.7875	0.0402546	0.933437	0.0110219	0.137052	0.000848465	56.75	2826.92	0	0	0	0	15.7377	185.347	15.5746	183.036	15.2045	108.372	0.0312859	0.0264663	-0.153685	0.143443	0.2	0.0405556	0.270833	0.0519213	4.75	32.9167	15	170	15.3896	143.167	0.186838	0.322127	0.125208	0.0137816	na	na	0.359472	0.263915	
0.125751	0.354863	-0.822831	2.88405	0.341609	0.181513	0.305698	0.25533	0.291067	0.262252	0.269342	0.362577	-0.742044	4.5245	0.184101	0.0159195	0.269571	0.0247546	0.292318	0.0262051	na	na	0.645833	0.0361806	0.908428	0.00816021	0.14445	0.00199088	49.75	3220.25	0	0	0	0	13.5962	221.37	13.049	189.113	13.791	246.938	0.0891497	0.0953256	0.103019	0.133201	0.241667	0.0167593	0.325	0.0693519	4.5	17	11.5	135	13.42	216.895	-0.0402425	0.0744514	0.148611	0.0113452	na	na	0.34979	0.176451	
-0.131976	0.222255	-2.67177	5.34163	-0.15361	0.203928	-0.18073	0.255659	-0.313705	0.275037	-0.320136	0.327472	-2.71612	38.0468	0.14931	0.00479039	0.238055	0.00593426	0.237635	0.0052637	na	na	0.76875	0.0102025	0.95714	0.00110064	0.127028	0.000908018	48	2138	0	0	0	0	13.4046	140.891	12.8294	135.387	15.5455	311.435	-0.0388431	0.0409835	-0.0518011	0.3625	0.179167	0.00803241	0.210417	0.00626736	4	14	14.25	94.9167	14.1875	213.899	-0.0775953	0.216605	0.104132	0.00315409	na	na	0.199761	0.0147656	
-0.67216	0.348069	-2.54376	9.75392	-0.475683	0.682511	-0.612874	0.712476	-0.515826	0.887995	-0.687851	0.950883	-0.877674	9.89541	0.0784178	0.00556687	0.124641	0.0127128	0.147748	0.00975485	na	na	0.66875	0.0824248	0.825616	0.089454	0.13418	0.00233082	50.25	2779.58	0	0	0	0	13.825	193.215	12.3906	168.941	13.2682	249.329	-0.369818	0.191078	0.126632	0.136676	0.304167	0.11081	0.3375	0.143032	3.5	11.6667	13.75	128.25	12.8294	206.661	-0.6018	0.270913	0.222708	0.0850135	na	na	0.721185	1.40932	
-0.436852	0.431934	-2.20444	8.95006	0.00700355	0.313335	-0.150423	0.455995	-0.109372	0.472511	-0.267153	0.682363	-2.21453	2.78541	0.199843	0.0191835	0.251391	0.0208311	0.27486	0.0216192	na	na	0.71875	0.0115914	0.943181	0.00160191	0.119689	0.00163486	56.25	4281.58	0	0	0	0	15.6696	291.12	13.8383	228.683	16.0528	240.318	-0.166087	0.0846066	-0.373103	0.127388	0.195833	0.0108102	0.260417	0.0159896	3.25	26.9167	16	284.667	14.9455	233.804	-0.013136	0.144875	0.117049	0.00394004	na	na	0.321551	0.151564	
-0.0490867	0.157761	-1.90197	1.49115	0.520447	0.0648656	0.398247	0.0826273	0.523248	0.110195	0.399214	0.11631	2.57125	18.603	0.106809	0.0038075	0.152674	0.00431655	0.237629	0.00983929	na	na	0.75625	0.030897	0.958629	0.00132015	0.136507	0.000832911	46.75	1581.58	0	0	0	0	13.1649	101.8	12.9786	106.209	10.4073	59.8924	-0.0084383	0.0241795	0.173323	0.539488	0.170833	0.00858796	0.20625	0.00589699	3.75	10.9167	9	25.3333	11.6929	78.4	-0.215158	0.984686	0.102882	0.00299552	na	na	0.178798	0.017293	
-0.687779	0.862434	-2.86481	14.0392	-0.975426	0.765597	-1.03212	1.06265	-0.257171	0.965757	-0.450774	0.97448	-4.58638	17.7912	0.232934	0.0317947	0.314732	0.0295161	0.29744	0.0246443	na	na	0.670833	0.0689583	0.898988	0.0139471	0.138079	0.00384431	42.75	2214.25	0	0	0	0	11.8705	151.715	11.1961	186.398	15.7825	233.143	-0.312593	0.164996	-1.47679	4.94548	0.2375	0.0196991	0.354167	0.102477	4	15.3333	13	124.667	13.4893	205.323	0.891941	3.62195	0.157708	0.0153607	na	na	0.546513	0.630507	
0.146507	0.441503	-2.7457	0.949542	-0.113577	0.596213	-0.0328196	0.691378	-0.267148	0.936054	-0.167094	1.09667	2.10139	1.66346	0.0901864	0.012432	0.131179	0.0251274	0.218222	0.0109934	na	na	0.764583	0.0239988	0.94541	0.00465935	0.137184	0.000134385	41.5	1539.67	0	0	0	0	11.4776	102.941	13.0294	162.233	10.928	133.608	0.0221796	0.0888661	0.427118	0.0632416	0.204167	0.018588	0.229167	0.0341435	4.25	17.5833	11.5	96.3333	11.9787	147.504	-0.25484	0.603378	0.114549	0.00734166	na	na	0.192359	0.0385712	
