D_Dmin[0]	D_Dmin[1]	D_Dmin[2]	D_Dmin[3]	
0.224465	-0.235864	0.0517123	-0.603876	
0.205238	0.266857	0.280514	-0.205023	
-0.17222	0.0816187	-0.00103044	0.216776	
-0.0694551	0.551253	-0.0873604	-0.0378388	
-0.24768	0.234919	-0.0375097	-0.105102	
-0.325085	-1	-0.114037	-0.0401501	
-0.347175	0.245139	-0.168376	-0.393935	
-0.232373	0.073102	0.00981979	0.115698	
-0.637123	-0.689749	0.063159	0.01334	
0.190301	-0.379499	0.296618	-0.0187024	
-0.657703	0.14379	-0.0461135	0.0297903	
0.0102079	-0.82626	0.105959	0.473949	
0.52709	0.375444	0.110019	0.224879	
0.217406	0.0134852	-0.0220389	-0.112281	
-0.302054	-0.276082	-0.185257	-0.0741758	
0.0322716	0.8661	-0.184578	0.231082	
0.00192698	0.145107	0.203697	0.223173	
-0.136344	-0.333995	0.0665964	-0.111946	
0.306424	0.621576	-0.384225	0.325996	
0.393442	-0.449822	-0.278449	-0.0412508	
-0.325517	-0.333995	0.313367	-0.224051	
-0.361837	0.042442	0.279195	0.215607	
-0.145478	0.31914	-0.0766427	0.0338115	
0.361067	-0.251951	0.157341	-0.355147	
0.0683258	-0.209259	-0.0472692	-0.0935214	
-0.158141	-0.391909	0.122039	0.0221135	
-0.27292	-0.333995	0.0635526	-0.321208	
0.137713	0.659443	-0.200187	-0.380941	
-0.114206	-0.17956	-0.0900498	0.197584	
-0.0202464	0.085877	0.00763185	0.486232	
-0.509251	0.180543	0.0555345	0.414728	
0.439493	1.02697	0.111878	0.202432	
0.0712832	-0.165771	0.255137	0.023037	
0.0740922	-0.00719813	0.0826403	-0.699069	
0.0420453	0.132719	0.0178469	0.21852	
0.0313196	-0.73939	0.00593723	0.0491651	
-0.174797	-0.703538	0.213256	-0.107371	
0.41422	-0.0485649	0.0642365	0.0849903	
0.0643218	-0.873314	0.101462	-0.214771	
-0.307307	0.216182	0.251494	-0.153844	
0.130761	-0.662172	-0.057771	-0.315667	
0.228808	-0.622304	0.289962	-0.0656216	
-0.197339	-0.469127	-0.0333212	-0.428845	
-0.163328	-0.462232	0.111629	-0.132116	
-0.157412	-0.907865	0.0848503	0.31483	
-0.162944	-0.034776	0.0732035	0.0221135	
-0.266895	0.65843	-0.0541721	-0.100891	
-0.178847	-0.581736	0.0574545	-0.639887	
0.00220464	-0.0199264	0.314187	0.189573	
0.326549	-0.110615	0.161372	0.209866	
0.413801	0.259617	-0.0109438	-0.263025	
0.26271	0.0768281	-0.0680982	-0.00201368	
0.127527	0.0272742	-0.0260352	0.083528	
0.143708	0.517547	0.242673	-0.205449	
-0.0718124	-0.710433	0.0789058	-0.0228508	
-0.292581	0.085877	0.052433	0.140405	
0.0890735	-0.476552	-0.33344	-0.56498	
-0.234948	0.59262	0.183928	-0.390579	
-0.300897	0.9401	0.206198	0.243644	
0.30399	0.0939206	-0.17927	-0.124843	
-0.0780003	0.559208	-0.188195	0.214034	
-0.108623	-0.26574	-0.121043	0.433415	
0.31824	0.0617464	-0.107725	0.145995	
0.000674661	-0.298943	-0.00364717	0.032532	
0.322758	0.388606	0.0750295	-0.0677272	
0.23449	-0.348474	0.0165415	0.0923015	
-0.188291	0.273097	-0.143863	-0.0695697	
0.189536	0.613303	-0.203045	-0.0550085	
-0.533526	0.609325	0.248351	-0.0349143	
0.324214	-0.131298	-0.237899	-0.298457	
0.218082	-1	0.0231794	0.248762	
0.384584	0.242726	-0.242084	-0.166716	
0.122763	-0.420866	0.171239	-0.314614	
-0.176738	-0.0227107	0.0821539	-0.134856	
0.0978397	0.447836	0.00271662	0.180834	
-0.460807	-0.539325	0.00653125	-0.484955	
-0.211279	-0.20369	0.071495	0.10267	
0.290407	0.351314	-0.139121	-0.121004	
0.216026	0.339248	0.0217301	0.00836039	
-0.0510303	0.706378	0.193166	-0.0662198	
0.292888	0.0890245	0.121258	0.394987	
0.00982822	0.640881	0.165921	-0.245753	
0.342929	0.491271	0.123409	-0.218967	
-0.167152	0.465934	0.0475604	0.289705	
0.183846	-0.191625	0.332668	-0.592032	
0.16163	-0.131298	-0.226147	-0.39609	
0.052696	-1	0.00329965	0.215299	
-0.42235	0.212563	-0.0287254	-0.0902971	
-0.0353362	-0.52704	0.0990472	0.18223	
-0.267534	0.124857	-0.217223	-0.222082	
0.271675	-1	-0.36907	0.0673424	
-0.342743	0.158269	-0.0847632	0.08143	
-0.40596	0.683109	0.0206083	0.170715	
-0.0954128	-0.449822	-0.116602	-0.162893	
-0.515714	0.40835	-0.0264687	-0.0235088	
-0.22968	-0.652519	0.0815934	-0.177728	
0.0951105	-0.565649	0.161939	-0.303969	
-0.337402	-0.700781	0.107211	0.0341417	
0.0392683	-0.276082	0.0896999	-0.156164	
-0.126784	-0.0444282	-0.170038	0.00456644	
0.178533	-0.710433	-0.226859	0.324799	
0.181061	-0.797303	0.083262	-0.528553	
-0.428236	0.59262	-0.19549	-0.00201368	
0.0196091	-0.0709719	0.176209	0.01334	
-0.414569	0.085877	-0.0623276	-0.0649636	
-0.100881	-0.652519	0.035782	0.32868	
-0.175022	0.662515	0.115312	-0.522642	
-0.177523	0.401505	-0.0989631	-0.598612	
0.143291	0.0569203	0.0327128	-0.00713156	
-0.55777	-0.237473	-0.15975	-0.213894	
-0.21661	0.20653	0.011436	-0.22848	
-0.365976	-0.131298	-0.237065	0.0607966	
