EW[0]	EW[1]	EW[2]	EW[3]	
0.0755556	0.2	0.0555556	0.111111	
0.0977778	0.24	0.0520833	0.111111	
0.0688889	0.3	0.0486111	0.0833333	
0.1	0.3	0.0555556	0.138889	
0.0733333	0.18	0.0520833	0.111111	
0.0711111	0.66	0.0763889	0.0833333	
0.0755556	0.16	0.0520833	0.180556	
0.0822222	0.18	0.0520833	0.0972222	
0.131111	0.34	0.0763889	0.0833333	
0.0688889	0.24	0.0520833	0.0972222	
0.08	0.18	0.0798611	0.111111	
0.155556	0.52	0.0520833	0.0972222	
0.133333	0.38	0.0486111	0.0833333	
0.0888889	0.24	0.0486111	0.0972222	
0.12	0.18	0.0555556	0.291667	
0.08	0.32	0.0555556	0.0972222	
0.06	0.24	0.0555556	0.125	
0.193333	0.12	0.0659722	0.0833333	
0.0777778	0.2	0.0520833	0.111111	
0.126667	0.22	0.0590278	0.138889	
0.0755556	0.18	0.0486111	0.0972222	
0.0911111	0.14	0.09375	0.0833333	
0.0977778	0.22	0.0520833	0.111111	
0.0666667	0.28	0.0590278	0.0972222	
0.0733333	0.18	0.0694444	0.0972222	
0.0777778	0.26	0.0625	0.138889	
0.151111	0.28	0.0486111	0.111111	
0.0666667	0.32	0.0520833	0.0833333	
0.0933333	0.2	0.0555556	0.0972222	
0.08	0.32	0.0520833	0.111111	
0.164444	0.22	0.0486111	0.0833333	
0.0777778	0.36	0.0486111	0.138889	
0.146667	0.24	0.0694444	0.0833333	
0.08	0.22	0.0555556	0.180556	
0.0911111	0.12	0.0520833	0.125	
0.08	0.22	0.0486111	0.0972222	
0.171111	0.18	0.0625	0.0972222	
0.168889	0.2	0.0555556	0.111111	
0.0822222	0.32	0.0625	0.0833333	
0.0911111	0.22	0.0659722	0.111111	
0.111111	0.42	0.0486111	0.0833333	
0.0622222	0.22	0.0486111	0.111111	
0.146667	0.52	0.0590278	0.0972222	
0.111111	0.22	0.0659722	0.111111	
0.0555556	0.32	0.0486111	0.138889	
0.0911111	0.26	0.0625	0.0972222	
0.128889	0.26	0.0555556	0.0833333	
0.1	0.18	0.0763889	0.222222	
0.0622222	0.24	0.0763889	0.0972222	
0.0755556	0.16	0.0451389	0.152778	
0.0555556	0.2	0.0590278	0.0972222	
0.104444	0.2	0.0486111	0.125	
0.126667	0.18	0.0590278	0.0972222	
0.148889	0.2	0.0902778	0.125	
0.0777778	0.12	0.0486111	0.0833333	
0.124444	0.36	0.0763889	0.111111	
0.0955556	0.36	0.0555556	0.0972222	
0.08	0.28	0.0486111	0.0972222	
0.0822222	0.38	0.0729167	0.111111	
0.0955556	0.2	0.0555556	0.0833333	
0.0822222	0.16	0.0486111	0.0972222	
0.0866667	0.32	0.0590278	0.125	
0.135556	0.28	0.0590278	0.0972222	
0.0777778	0.24	0.0798611	0.0972222	
0.0933333	0.12	0.0729167	0.125	
0.0755556	0.32	0.0555556	0.0972222	
0.0933333	0.16	0.0590278	0.0972222	
0.102222	0.22	0.0451389	0.0833333	
0.0866667	0.22	0.0625	0.0972222	
0.0666667	0.18	0.0659722	0.111111	
