FD[0]	FD[1]	FD[2]	FD[3]	
0.944445	-0.46641	1.00696	-1.20241	
0.770958	0.453642	1.19025	-0.224414	
0.060388	0.00276859	0.101721	0.222479	
0.11756	0.89293	0.465906	-0.312127	
-0.938011	0.00276859	0.219564	-0.539142	
-0.602431	-1.80933	0.298719	0.049735	
-0.472437	0.798888	0.0131029	-0.777039	
0.33876	0.600868	0.954051	0.199312	
-1.35232	0.89293	0.147604	-0.716902	
0.800238	-1.52956	-0.00207984	-0.337189	
-4.11929	-0.214561	-0.454349	-0.559748	
-0.0209041	-2.52096	0.106343	0.692169	
1.23726	0.98926	-0.193029	0.199312	
1.01378	-0.151282	0.166045	-0.36735	
-1.02445	-0.42308	-0.592852	-0.378317	
-0.448711	1.24283	-1.11393	0.325368	
0.368449	0.807783	0.780981	-0.0118585	
-0.255602	-1.13712	-0.450193	-0.163528	
0.510494	0.798888	-0.677572	1.05071	
-0.226705	-0.896179	-0.995434	-0.0125507	
-1.7011	-0.214561	0.581536	-0.961502	
-1.51556	-0.675841	0.639131	0.685583	
-0.859447	1.09228	-0.0295061	0.623039	
0.80263	-1.27385	0.74979	-0.961502	
0.837017	-0.151282	0.402246	-0.390172	
0.0696589	-0.214561	-0.0811938	0.51486	
0.0185771	-0.951177	-0.378066	-0.777039	
-0.219442	0.59637	-0.719155	-1.1455	
0.153165	-0.59594	-0.207617	0.588678	
-0.0778415	-0.675841	-0.256253	1.03628	
-1.00054	-0.525108	-0.150085	1.08168	
0.72722	1.57963	-0.180118	0.247088	
0.0190283	0.105582	0.908909	0.0836747	
0.125965	-0.923937	0.654043	-0.710013	
-1.10832	-0.296281	0.0854747	0.831753	
0.80263	-1.89278	-0.310367	-0.176842	
-1.35232	-1.6408	0.823996	0.119949	
0.848638	-0.318315	0.254876	-0.312127	
0.148393	-0.737818	1.05048	-1.32964	
-1.40605	0.592226	1.06915	-0.224414	
-0.0759668	-1.02115	-0.328278	-0.873399	
0.600025	-0.430895	0.688835	0.603527	
-0.585659	-0.910647	-0.0974209	-1.20241	
-1.3636	-0.923937	0.505905	-0.490135	
-1.02445	-0.903311	-0.266333	0.831753	
-0.480872	0.759878	0.782932	-0.0121408	
0.125965	1.23556	-0.299764	-0.84346	
-1.23198	-1.41138	0.290575	-1.05532	
0.507465	-0.151282	0.910657	-0.0935196	
0.220038	-0.318315	0.54038	0.687024	
1.15492	0.246719	-0.227528	-0.544608	
0.55809	1.15061	-0.633528	0.457324	
-1.07814	0.105582	0.167122	0.25136	
0.468607	1.30876	0.16517	-0.716902	
-0.548669	-1.36729	0.739068	0.0557881	
-1.30546	-0.0943101	-0.464843	0.119949	
-0.250891	-1.27276	-0.937152	-0.912664	
-1.11868	1.27179	0.687768	-1.39951	
-1.26547	1.36393	0.166045	-0.0118585	
0.0696589	0.0908188	-0.672206	-0.304496	
-0.328001	1.25939	-0.0414912	0.876503	
-0.0323949	-0.0180098	0.0380416	0.743049	
0.351763	0.103336	0.18024	0.28976	
0.190359	-0.0771846	0.240974	-0.247211	
0.14423	-0.0535022	0.47943	-0.390172	
0.395474	-0.214561	0.395922	-0.0121408	
-0.331259	0.609943	-0.0205835	-0.591733	
-0.331259	0.89293	-1.25612	-0.325174	
-0.65687	1.69396	1.16336	-0.0121408	
0.890786	-0.751283	0.25704	-0.7425	
0.797629	-2.49458	-0.183816	0.588678	
0.0696589	1.19166	-0.673298	-0.195174	
0.242132	-1.27385	0.215758	-1.29675	
-1.69623	1.00159	0.396458	-0.337189	
-0.502114	0.0657083	-0.16605	0.072176	
-0.730979	-0.903311	0.0380416	-0.434208	
-1.29164	-0.527135	0.85406	0.164424	
-0.129815	0.591552	0.30012	-0.247211	
0.712648	-0.108342	0.0491296	-0.279448	
1.33759	1.38902	-0.228388	-0.181016	
0.510494	1.64312	0.647014	1.10788	
0.507072	0.894339	0.22972	-0.563639	
1.06703	0.278391	0.73357	-0.580859	
-0.334526	0.206397	1.01189	0.424645	
1.40274	-1.10032	0.518865	-1.59314	
0.804766	-0.214561	-0.138796	-0.912664	
0.55809	-1.89077	-0.640499	0.790514	
-0.579042	1.00159	0.477986	-0.951747	
-0.0916367	-1.89278	-0.224785	0.28841	
-0.899285	0.970196	-0.325837	-0.0125507	
0.379689	-0.114621	-1.07945	-0.476772	
0.726839	0.081969	-0.672206	-0.580859	
-1.44963	1.00159	-0.00207984	0.222479	
-0.793925	-0.951177	-0.348233	-0.824528	
-0.938011	0.186081	0.439007	0.180306	
-0.92771	-1.72288	-0.348498	-0.224414	
0.269133	-1.91211	0.0675261	-0.612395	
-1.10896	-1.89278	0.0258362	-0.13772	
0.0696589	-0.898933	0.181672	-0.616816	
-0.410937	0.592226	0.0230642	-0.0121408	
0.646477	-2.28612	-1.02185	0.25136	
0.636563	-1.72288	0.213942	-2.32149	
-1.66572	1.29327	-1.89595	0.222479	
-0.800932	-0.302459	0.734474	-0.116736	
0.258584	-0.59594	-0.621766	0.720472	
0.546535	-0.179476	0.0446427	1.00952	
-0.578214	1.36039	0.362506	-1.07638	
-1.22329	1.24992	-0.210398	-1.24285	
-0.0778415	0.246719	0.148162	-0.312127	
-1.92488	-0.23178	0.073517	-0.398724	
0.407552	0.764818	-0.0225364	-0.232432	
-1.07319	-0.751283	-0.642106	0.164424	
-0.698577	-1.02285	-0.438108	0.716669	
1.13305	-0.891132	0.760257	-0.687401	
1.31251	-1.42504	0.0331953	0.77836	
1.1377	-1.58313	0.254876	0.370579	
-0.596378	1.38391	0.591957	-0.874585	
-0.448711	-0.296281	0.207009	0.072176	
