FDn[0]	FDn[1]	FDn[2]	FDn[3]	
0.847537	-0.640112	0.873473	-1.23973	
0.391322	0.512949	1.02333	-0.365414	
0.111388	0.155854	0.058023	0.303069	
0.158556	0.879453	0.446007	-0.11758	
-0.73115	0.155854	0.251104	-0.290249	
-0.605319	-1.58662	0.260841	0.0283704	
-0.343236	0.764011	0.0878257	-0.480587	
0.344785	0.616311	0.835451	0.28524	
-1.80315	-1.63423	-0.0414107	-0.422919	
0.733043	-1.13149	0.0746709	-0.13053	
-3.39974	-0.0268151	-0.392603	-0.296405	
0.0436108	-1.87919	0.161124	0.666063	
1.08754	1.02623	-0.0753426	0.28524	
0.907689	0.0311011	0.091938	-0.145365	
-0.793975	-0.417559	-0.508567	-0.166397	
-0.318207	1.10746	-1.25848	0.383019	
0.368071	0.790625	0.694737	0.118701	
-0.161477	-0.767765	-0.278757	0.00542973	
0.283095	0.764011	-0.664893	0.932425	
-0.343236	-0.544197	-0.925369	-0.202751	
-1.38712	-0.767765	0.536944	-0.60786	
-1.81008	-0.39729	0.58246	0.649848	
-0.661104	1.0291	-0.151595	0.28524	
0.731716	-0.938776	0.66911	-0.77635	
0.767617	0.0311011	0.39498	-0.169322	
-0.719338	-0.0268151	-0.15837	0.325599	
0.0730476	-0.685995	-0.222228	-0.480587	
-0.123846	0.618439	-0.494765	-0.991507	
-0.107669	-0.367546	-0.248876	0.591263	
-0.497172	-0.39729	-0.414276	0.951707	
-0.802604	-0.262568	-0.141305	0.961413	
0.665203	1.35854	-0.0662295	0.0857133	
0.0743177	0.23636	0.74817	-0.0306804	
0.165463	-0.628755	0.401011	-1.83217	
-0.897473	-0.0743746	0.144819	0.579707	
0.731716	-1.83464	-0.169383	-0.371632	
-1.09957	-1.65755	0.60878	0.22457	
0.790557	-0.126019	0.27886	-0.11758	
0.184164	-1.87772	0.800023	-0.906097	
-1.70942	0.638077	0.92557	-0.0400873	
-0.0125732	-0.804896	-0.339371	-0.871004	
0.559324	-1.38596	0.527227	0.591726	
-0.454102	-0.59482	0.000130143	-0.810396	
-1.08979	-0.628755	0.477559	-0.480587	
-0.793975	-1.93522	-0.259926	0.776395	
-0.361553	0.774915	0.546403	-0.0849666	
-0.0138597	1.13136	-0.342851	-0.518824	
-0.980325	-1.0008	0.307182	-1.10623	
0.48313	0.0311011	0.746133	-0.13053	
0.244061	-0.126019	0.505145	0.67332	
1.01408	0.34366	-0.10345	-0.414813	
0.531813	1.0426	-0.475077	0.303069	
-0.86505	0.23636	0.0144695	0.325599	
0.453336	1.13785	0.10208	-0.604416	
-0.408967	-1.87772	0.572558	0.175277	
-1.05296	0.0638193	-0.490128	0.0724267	
-0.300207	-1.14357	-1.1484	-1.0627	
-1.09385	1.23914	0.62022	-1.11333	
-1.14413	1.30011	0.150284	0.118701	
0.118286	0.217142	-0.457998	-0.102389	
-0.212952	1.08757	0.0445251	0.804186	
-0.142999	0.136996	-0.0313045	0.704435	
0.357771	0.233676	0.219839	0.180181	
0.0268816	0.0961102	0.2268	-0.0599252	
-0.093823	0.116205	0.406846	-0.344073	
0.391322	-0.39729	0.39028	0.120316	
-0.222035	0.613934	0.00100224	-0.466116	
-0.222035	0.879453	-1.14565	-0.114533	
-0.668624	1.42829	0.89779	0.120316	
0.803838	-0.421665	-0.00837814	-0.944841	
0.735021	-2.01007	-0.25121	0.591263	
0.118286	1.0402	-0.602976	-0.215749	
0.263517	-0.938776	0.247801	-1.04308	
-1.35712	0.962078	0.390338	-0.13053	
-0.648719	0.174637	-0.213018	0.186331	
-1.96656	-0.572297	0.0376454	-0.403733	
-1.05258	-0.33833	0.627979	0.124083	
-0.0492385	0.623123	0.205743	-0.422919	
0.449686	0.0691608	-0.0415722	-0.197533	
1.17277	1.23589	-0.273474	-0.0103571	
0.491871	1.39762	0.588221	0.97402	
0.480935	0.855836	0.259043	-0.320607	
