FF[0]	FF[1]	FF[2]	FF[3]	
1.00766	-0.570407	0.855925	-1.50315	
0.84736	0.558283	1.27703	-0.357845	
-0.163484	0.058164	0.078876	0.363476	
0.0091229	1.10509	0.260788	-0.297636	
-1.02559	0.162859	0.127784	-0.545596	
-0.858535	-1.99965	0.0970527	0.009731	
-0.769983	0.869423	-0.195678	-0.972375	
-0.00804236	0.575823	0.76482	0.264254	
-1.78314	0.39213	0.192688	-0.604776	
0.850645	-1.56852	0.353861	-0.304362	
-4.00027	-0.0991896	-0.414044	-0.455712	
-0.00383934	-2.73222	0.211289	0.971307	
1.60836	1.0276	-0.0178366	0.352339	
1.05201	-0.123908	0.10435	-0.406976	
-1.16322	-0.557358	-0.691498	-0.382947	
-0.313001	1.68353	-1.10168	0.4614	
0.289324	0.802005	0.863408	0.160567	
-0.354937	-1.20831	-0.273319	-0.229841	
0.753109	1.13227	-1.00071	1.16804	
0.273535	-1.08669	-1.12231	-0.0440424	
-1.71093	-0.396759	0.840417	-1.00476	
-1.61702	-0.568086	0.844031	0.768164	
-0.84457	1.15629	-0.116371	0.561541	
1.05949	-1.26563	0.782671	-1.11007	
0.736125	-0.269682	0.258581	-0.409588	
-0.133318	-0.432828	0.0854446	0.45981	
-0.292301	-1.018	-0.220585	-0.916276	
-0.00687378	0.954819	-0.808858	-1.30239	
-0.0184247	-0.626153	-0.272835	0.657933	
-0.0849131	-0.541034	-0.192245	1.25512	
-1.35639	-0.342569	-0.0506675	1.2632	
1.10314	2.09773	-0.00687076	0.380181	
0.0968029	-0.024219	1.02664	0.0897577	
0.18574	-0.819908	0.615761	-1.13189	
-0.830307	-0.168675	0.0890408	0.886547	
0.663626	-2.15397	-0.237531	-0.110479	
-1.26316	-1.92783	0.907144	0.0154966	
1.12017	-0.308951	0.278997	-0.203646	
0.189969	-1.23721	0.951059	-1.3108	
-1.46026	0.638148	1.1472	-0.316555	
0.0764002	-1.20415	-0.328835	-0.985654	
0.746725	-0.818198	0.895898	0.462116	
-0.676306	-1.0877	-0.117303	-1.36715	
-1.25959	-1.08133	0.534363	-0.523587	
-0.988315	-1.37009	-0.105684	0.962348	
-0.557354	0.652798	0.705811	0.00686284	
-0.215229	1.50376	-0.302117	-0.804443	
-1.17465	-1.59725	0.298795	-1.36197	
0.397333	-0.145774	1.09902	0.0697496	
0.570054	-0.344599	0.621808	0.748511	
1.41065	0.378724	-0.192618	-0.682891	
0.741362	1.05959	-0.581906	0.390966	
-0.706892	0.111407	0.100679	0.281376	
0.536858	1.51536	0.42463	-0.778878	
-0.513689	-1.6782	0.678139	0.0293148	
-1.36132	-0.0322086	-0.302388	0.216952	
-0.0883956	-1.42858	-1.14421	-1.21796	
-1.14967	1.41988	0.766437	-1.51425	
-1.34914	1.70173	0.380028	0.176232	
0.415366	0.137187	-0.746364	-0.361484	
-0.349807	1.51322	-0.262274	0.924749	
-0.153505	-0.191901	-0.114854	0.98419	
0.637126	0.13291	0.0108815	0.365388	
0.150097	-0.274831	0.185091	-0.18632	
0.505021	0.227844	0.468944	-0.388961	
0.58938	-0.405776	0.331883	0.0617656	
-0.478102	0.730425	-0.189856	-0.563737	
-0.0404742	1.14074	-1.23614	-0.323556	
-1.14343	1.91629	1.21852	-0.0377456	
1.0859	-0.74762	-0.0847394	-0.876671	
0.878042	-2.73492	-0.116415	0.697096	
0.511054	1.21737	-0.825013	-0.307461	
0.33312	-1.35889	0.379556	-1.36431	
-1.53511	0.869633	0.412577	-0.396305	
-0.2728	0.258032	-0.12727	0.204334	
-1.12218	-1.13617	0.037872	-0.754718	
-1.25539	-0.56795	0.759489	0.225331	
0.243342	0.734929	0.0646859	-0.308497	
0.807487	0.134746	0.0650934	-0.232081	
0.977479	1.68599	0.0567135	-0.20763	
0.737567	1.49779	0.65754	1.27518	
0.405239	1.19878	0.382599	-0.670398	
1.24108	0.586355	0.728492	-0.672132	
-0.450964	0.49611	0.854891	0.600889	
1.31435	-1.0898	0.813738	-1.83238	
0.822801	-0.270517	-0.382941	-1.08872	
0.499143	-2.34254	-0.5011	0.851054	
-0.948498	1.0092	0.340838	-0.888837	
-0.114624	-2.01167	-0.0560169	0.38771	
-1.00903	0.932953	-0.519471	-0.189933	
0.627116	-0.813743	-1.29657	-0.353839	
0.167751	0.159869	-0.632569	-0.43435	
-1.61127	1.28835	0.0230568	0.326823	
-0.733776	-1.07877	-0.415511	-0.836995	
-1.34078	0.451039	0.31311	0.135297	
-0.997738	-1.86886	-0.175601	-0.335823	
0.323261	-2.0284	0.248102	-0.759756	
-1.27838	-2.1281	0.150894	-0.0900118	
0.101064	-0.969397	0.252048	-0.654162	
-0.472229	0.501402	-0.19042	-0.00686284	
0.714709	-2.43712	-1.08106	0.470105	
