H[0]	H[1]	H[2]	H[3]	
4.10115	0.0888889	5.45652	-0.181818	
-6.50115	0.977778	-0.0289855	-2.48485	
-0.910345	-2.22222	5.00725	-0.393939	
-1.53563	0.8	-3.38406	1.15152	
-2.51954	2.13333	-11.4783	1	
-0.450575	0.355556	-5.35507	1.93939	
-4.24828	-0.355556	-2.73913	-1.51515	
4.8	-2.93333	6.96377	1.45455	
-4.83678	-7.64444	-7.31884	1.45455	
1.2046	1.24444	3.95652	2	
2.05977	1.95556	7.35507	1.18182	
3.18161	0.977778	4.0942	0.363636	
2.13333	0.533333	10.5435	0.242424	
3.0069	-2.31111	1.60145	4.81818	
1.25977	0.177778	-1.31159	0.575758	
-5.36092	-0.266667	-12.7826	-1.93939	
0.266667	0.711111	9.07246	2.87879	
-2.45517	2.04444	6.24638	3.63636	
-0.0643678	0.622222	-6.5	1.0303	
0.901149	1.42222	-7.1087	-1.0303	
1.94023	-1.95556	-5.62319	0.939394	
-1.85747	1.86667	0.884058	2.63636	
3.34713	2.13333	-3.68841	-1.09091	
4.34023	0.888889	10.1667	-2.18182	
4.16552	0.8	16.558	-0.757576	
-12.8828	-1.68889	-2.26812	-1.93939	
-1.46207	-0.533333	9.92754	2.39394	
1.14943	1.15556	12.2681	-1.87879	
-1.78391	-0.0888889	-1.42754	-0.727273	
-2.76782	1.77778	-14.5362	0.515152	
1.93103	1.68889	4.21739	3.45455	
-1.50805	0.444444	6.19565	-3.57576	
2.24368	-6.22222	-9.7971	-1.81818	
3.54023	0.711111	-2.44928	-7.69697	
1.97701	2.04444	2.86957	-0.030303	
3.31034	-0.8	8.93478	-3.93939	
-0.303448	-1.24444	-2.97101	3.63636	
2.21609	1.06667	17.5652	1.51515	
1.51724	-8.97778	-7.32609	-1.0303	
-2.46437	0.977778	7.21739	2.51515	
3.13563	0.622222	-0.862319	-0.181818	
1.82069	-11.9111	3.52174	-1.57576	
1.82069	-0.266667	3.77536	2.42424	
2.05057	0.177778	3.86232	-1.33333	
-3.12644	-5.06667	6.21739	-0.606061	
2.6023	1.51111	-5.21739	-3.75758	
-5.06667	0	-5.5	-2.63636	
1.73793	1.86667	4.92029	-1.21212	
0.432184	1.77778	-4.86957	-0.0606061	
1.04828	0.711111	7.65217	-0.666667	
2.26207	-2.13333	9.97826	-2.27273	
-0.671264	-0.977778	-3.21739	0.969697	
1.46207	0.8	3.64493	2.12121	
-5.52644	-4.62222	-1.77536	0.636364	
3.65057	-4.62222	4.44203	0.333333	
-0.0643678	-0.8	-0.717391	-0.181818	
-0.358621	-0.711111	-35.8261	-0.333333	
-2.56552	0.444444	7.32609	2.24242	
-3.18161	0.533333	1.98551	-1	
4.29425	1.51111	12.6304	-0.030303	
-0.0551724	2.48889	5.87681	2.51515	
-0.367816	2.75556	6.11594	2.30303	
-0.137931	-1.15556	-6.51449	-0.787879	
-0.183908	0.355556	-5.35507	1.78788	
-0.137931	1.95556	-13.6087	-1.45455	
3.49425	0.444444	-1.71739	2.90909	
-2.73103	-1.06667	0.253623	-0.636364	
4.24828	0.711111	-3.84058	5.24242	
-7.97241	0.355556	1.31159	0.757576	
-0.606897	2.66667	-14.2536	-2.06061	
3.67816	0.888889	0.289855	-0.787879	
2.69425	4.35556	1.63768	-0.545455	
4.36782	0.355556	-4.9058	-2.21212	
2.68506	2.04444	0.847826	2.0303	
-2.71264	0.0888889	0.217391	0.606061	
-15.4575	-2.93333	4.23913	-0.757576	
3.29195	0.8	-24.7029	1.87879	
4.98391	2.22222	-25.2826	-1.24242	
3.17241	1.42222	2.05797	0.969697	
-6.31724	1.15556	4.4058	3	
0.671264	-4.88889	1.97826	-1.18182	
-1.50805	2.4	5.85507	2.57576	
-0.0091954	2.93333	2.19565	1.21212	
-2.94253	0.711111	-5.21014	0.757576	
0.606897	2.22222	5.44203	1.81818	
3.29195	1.77778	2.71014	1.93939	
-3.38391	-5.68889	0.615942	-4.39394	
3.08046	1.06667	-0.695652	2.63636	
-12.3862	2.4	-1.60145	-1	
1.91264	-2.31111	-21.558	-3.18182	
3.48506	-22.4	-1.2971	4.0303	
-7.68736	-0.355556	8.15217	2.57576	
-0.901149	0.444444	8.60145	-0.030303	
-3.12644	1.06667	-7.55797	0.545455	
-4.02759	0.0888889	10.7101	-5.09091	
3.47586	0.0888889	6.57971	-3.69697	
0.147126	1.68889	1.3913	-4.06061	
-23.8161	1.15556	5.86957	-0.030303	
-0.634483	0.0888889	3.47826	0.727273	
3.47586	-0.0888889	-2.55072	1.57576	
4.12874	1.24444	-12.5435	1.42424	
-6.15172	-0.355556	-4.47101	1.75758	
4.16552	0.444444	7.00725	3.15152	
0.772414	2.22222	6.35507	2.9697	
-2.06897	0.177778	3.77536	2.09091	
-1.90345	-2.57778	11.5435	0.939394	
-2.48276	3.73333	5.89855	-6.36364	
0.671264	-0.355556	-8.04348	1.24242	
1.37011	2.13333	-1.84783	-1.21212	
3.68736	-4.26667	-15.2246	5.0303	
-2.51034	-0.888889	-0.57971	0.666667	
0.386207	3.11111	-5.18841	-0.575758	
2.45517	2.22222	-13.2464	-1.66667	
3.77011	-14.4889	-10.6884	2.0303	
0.772414	-0.888889	1.88406	2.48485	
1.2046	2.84444	2.46377	-2.36364	
-3.0069	-1.68889	-14.2391	-3.33333	
2.31724	-9.51111	-1.34058	-0.666667	
-1.06667	0.177778	-21.587	-3.87879	
-0.845977	1.42222	-5.36232	2.36364	
1.83908	1.68889	-20.587	1.93939	
1.88506	4.17778	-5.65217	1.30303	
0.983908	2.66667	-11.5362	-6.54545	
-2.18851	1.15556	1.80435	3.93939	
-0.211494	-0.0888889	-11.7754	0.575758	
0.781609	1.06667	2.05797	1.30303	
5.52644	-0.888889	4.6087	0.515152	
3.61379	-0.0888889	9.57246	1.18182	
1.43448	1.33333	8.07971	-1.36364	
0.386207	0.8	4.72464	3.69697	
3.2	-8.08889	6.78261	5.09091	
-1.47126	0.444444	-14.2681	-2.75758	
3.16322	0.177778	2.71739	1	
4.94713	1.33333	-12.8913	0.363636	
-0.23908	1.86667	-30.7536	1.12121	
2.23448	1.86667	-0.224638	2.51515	
-1.07586	2.57778	14.1739	1.51515	
-3.6046	-1.33333	-17.2971	-1.36364	
-8.24828	1.33333	6.8913	-0.606061	
1.35172	1.33333	9.18841	-10.4545	
-7.84368	0.177778	7.89855	0.636364	
-4.44138	1.95556	7.07246	3.66667	
2.23448	2.22222	-4.80435	2.15152	
-8.12874	-2.13333	-0.681159	-0.0909091	
-10.5655	-0.266667	-5.67391	1.9697	
0.744828	1.51111	-5.95652	3.27273	
-8.34023	0.355556	6.65217	-2.30303	
-4.73563	-3.02222	9.3913	-3.48485	
-6.51034	1.15556	9.53623	-1.54545	
0.873563	2.22222	-0.34058	4.45455	
1.18621	2.22222	3.54348	-2.60606	
-0.275862	2.4	1.77536	-1.9697	
0.873563	-1.15556	1.07971	-0.484848	
4.35862	1.15556	7.64493	3.78788	
0.726437	2.31111	4.34783	-3.21212	
4.08276	-4.53333	-7.67391	1.06061	
0.478161	1.33333	-13.413	-4.93939	
1.88506	2.66667	-0.347826	-2.06061	
1.89425	1.68889	-1.8913	-0.939394	
-11.6598	0.622222	5.05797	-2.24242	
3.16322	1.86667	-14.5145	-0.0909091	
2.24368	-2.48889	7.82609	1.51515	
3.33793	-4.88889	5.6087	-2.33333	
-4.30345	1.24444	-2.13768	1.45455	
0.864368	2.04444	-2.36232	1.15152	
2.08736	-5.24444	-6.8913	2.30303	
2.71264	2.22222	7.35507	3.90909	
-3.75172	1.68889	-1.08696	4.63636	
1.17701	-1.51111	13.1884	-5.06061	
-1.38851	1.24444	1.02174	-3.93939	
-6.74943	-15.0222	3.97826	-0.969697	
3.32874	0.888889	-2.46377	-4.18182	
1.47126	-2.13333	1.68841	-0.393939	
1.0023	1.51111	10.3841	2.51515	
3.51264	-0.444444	2.06522	1.12121	
1.78391	0.444444	-1	1.39394	
4	2.22222	6.48551	0.727273	
3.61379	-2.22222	3.86957	2.93939	
0.56092	1.15556	0.76087	1.06061	
-5.25977	0.711111	-19.6449	2.51515	
1.61839	3.82222	11.7754	0.30303	
0.413793	2.48889	-8.36957	1.84848	
5.01149	-0.533333	12.1014	2.69697	
0.395402	0.355556	5.98551	1.0303	
2.4	1.6	-17.4493	-0.484848	
1.03908	0.711111	6.38406	1.51515	
3.35632	0.177778	-21.558	-1.9697	
-0.183908	0.711111	-15.3478	3.42424	
-2.32644	1.68889	-12.1232	0.545455	
0.956322	2.22222	-1.53623	0.787879	
