TD[0]	TD[1]	TD[2]	TD[3]	
0.615722	-0.478127	0.142304	-1.31748	
0.559318	0.49991	0.767501	-0.455642	
-0.473703	0.16479	-0.00283247	0.478555	
-0.188796	1.01382	-0.240104	-0.0819187	
-0.669298	0.474306	-0.102843	-0.23007	
-0.884819	-1.40085	-0.313115	-0.0898553	
-0.927528	0.500361	-0.463938	-0.856303	
-0.627934	0.147595	0.0268674	0.257126	
-1.68507	-1.26854	0.173044	0.0294493	
0.51506	-0.697946	0.810095	-0.0411808	
-1.78534	0.276737	-0.126537	0.0663333	
0.0280273	-1.5902	0.289721	1.04629	
1.45336	0.525941	0.302721	0.49977	
0.593875	0.0266446	-0.0603935	-0.252009	
-0.826896	-0.55493	-0.507842	-0.16183	
0.0873445	1.75569	-0.506155	0.507392	
0.00527524	0.28213	0.560606	0.483155	
-0.360603	-0.642802	0.18322	-0.247724	
0.818657	1.26872	-1.05558	0.731683	
1.05114	-0.899627	-0.764428	-0.0916755	
-0.869666	-0.642802	0.862727	-0.496903	
-0.988412	0.0816831	0.768647	0.490179	
-0.395444	0.606776	-0.210561	0.0751425	
0.985171	-0.452582	0.433858	-0.78765	
0.183314	-0.41346	-0.130307	-0.206953	
-0.429277	-0.754261	0.336298	0.0484066	
-0.721822	-0.581518	0.174646	-0.698214	
0.374829	1.30295	-0.548268	-0.86836	
-0.312316	-0.322544	-0.247176	0.427756	
-0.0550346	0.165277	0.0210425	1.0369	
-1.33867	0.356723	0.152653	0.923465	
1.20988	2.09618	0.306636	0.457057	
0.190444	-0.339369	0.701765	0.0500758	
0.200217	-0.0132383	0.227277	-1.49078	
0.11015	0.267962	0.0490509	0.479809	
0.0854555	-1.47875	0.016284	0.110764	
-0.462305	-1.4403	0.583717	-0.239512	
1.0724	-0.0893169	0.176706	0.183999	
0.171033	-1.75538	0.278371	-0.470137	
-0.826085	0.376394	0.689417	-0.341903	
0.333441	-1.03446	-0.158669	-0.668922	
0.6304	-1.28067	0.797742	-0.147664	
-0.508548	-0.891946	-0.0916283	-0.935613	
-0.441358	-0.850104	0.306925	-0.287181	
-0.430927	-1.76515	0.233863	0.691277	
-0.421856	-0.0624684	0.201194	0.0484066	
-0.721223	1.28018	-0.149124	-0.223261	
-0.482491	-1.10605	0.15793	-1.32239	
0.0060587	-0.0393711	0.862797	0.41742	
0.898197	-0.203435	0.443276	0.447546	
1.14921	0.499655	-0.0300348	-0.590349	
0.703392	0.154426	-0.187138	-0.00444542	
0.337285	0.0558362	-0.0711718	0.182844	
0.390098	1.07389	0.666312	-0.453551	
-0.191417	-1.42798	0.217327	-0.0508813	
-0.77988	0.160876	0.144127	0.313198	
0.243317	-0.941585	-0.917026	-1.22315	
-0.629061	0.987933	0.507125	-0.866231	
-0.822853	1.6368	0.565048	0.527475	
0.825187	0.17857	-0.490594	-0.276878	
-0.213532	1.17778	-0.517943	0.476585	
-0.293992	-0.528464	-0.330415	0.959103	
0.844015	0.125168	-0.296152	0.323072	
0.00181359	-0.608187	-0.0100578	0.0718178	
0.886183	0.797734	0.20624	-0.149873	
0.639036	-0.670667	0.0455352	0.202049	
-0.505172	0.568544	-0.394085	-0.15545	
0.508513	1.12794	-0.556798	-0.123108	
-1.44401	1.26202	0.682573	-0.0764279	
0.887561	-0.266158	-0.652036	-0.661922	
0.583903	-1.7411	0.0638078	0.538555	
1.04396	0.509773	-0.665612	-0.378458	
0.330612	-0.756005	0.472141	-0.696207	
-0.482785	-0.0425445	0.226555	-0.296939	
0.267843	0.699617	0.00749418	0.397061	
-1.2558	-1.0486	0.0178286	-1.06483	
-0.555387	-0.339564	0.197144	0.230439	
0.788315	0.667949	-0.384309	-0.26713	
0.57582	0.681896	0.0596735	0.0188562	
-0.140362	1.40474	0.532348	-0.1454	
0.782493	0.183208	0.334209	0.888814	
0.0272142	1.25689	0.455836	-0.527019	
0.930886	1.00275	0.340836	-0.482143	
-0.440783	0.936536	0.130784	0.648356	
0.496803	-0.375812	0.914788	-1.29596	
0.44378	-0.252695	-0.620042	-0.857511	
0.141091	-2.02713	0.00904688	0.477494	
-1.13941	0.3982	-0.0792015	-0.19934	
-0.0975078	-1.05406	0.272685	0.394516	
-0.705491	0.246697	-0.595365	-0.493555	
0.747262	-2.06269	-1.01041	0.15022	
-0.92465	0.2843	-0.231964	0.1793	
