ZengE[0]	ZengE[1]	ZengE[2]	ZengE[3]	
0.0090877	-0.415815	-0.137014	-1.04707	
1.46698	-0.174973	0.72341	0.143545	
-0.313063	0.827166	-0.268474	0.501722	
0.0700603	0.228474	-0.0465166	-0.412988	
-0.165235	-0.283433	0.596733	-0.458446	
-0.720272	-1.24022	0.00542659	-0.452137	
0.0237036	0.511183	-0.315003	-0.272428	
-1.36659	1.0354	-0.437131	-0.0923139	
-0.392422	3.66141	0.620319	-0.321538	
0.256747	-1.22392	0.476225	-0.528411	
-1.91224	-0.702828	-0.546661	-0.190322	
-0.390297	-1.63117	-0.0073077	0.805028	
1.06097	-0.387394	-0.242023	0.379405	
0.101394	0.906446	-0.156142	-1.10185	
-0.916118	-0.50215	-0.39901	-0.293805	
0.963815	1.50904	0.288712	0.923946	
-0.0320215	-0.0958404	0.0828897	-0.467576	
0.227234	-1.42487	-0.141879	-1.05013	
0.726275	0.87751	-0.644012	0.457832	
0.739786	-1.20187	-0.319375	0.143545	
-1.13824	0.43181	1.09269	-0.637066	
-0.619188	-0.805977	0.687311	0.0855666	
-0.870828	-0.62591	0.00224182	0.300785	
0.247496	-0.890357	-0.0335571	-0.19088	
-0.614498	-0.626703	-0.865058	-0.00265227	
1.65833	0.225513	0.424021	0.55569	
-0.301741	0.015321	-0.369224	-1.26629	
0.159545	0.565746	-1.29591	-0.556629	
-0.0295229	-0.159145	-0.152006	0.569592	
0.380126	-0.702828	0.662791	0.651406	
-1.59614	-0.371178	-0.0792282	0.0766147	
1.2814	1.61017	-0.091583	0.986878	
-0.273538	1.36158	1.1677	0.564507	
-0.421834	-0.431705	0.34192	1.46865	
-0.381783	-0.422258	-0.106954	0.412304	
-0.406667	-0.896059	-0.515983	0.765823	
-0.331968	-0.869441	0.742896	-0.949136	
0.312176	-0.695777	-0.726328	-0.303812	
-0.165568	1.53499	0.691701	-0.120401	
-0.277989	-0.478159	0.210365	-0.839202	
-0.663734	-1.24702	-0.102295	-0.4634	
0.348484	1.84493	0.578971	0.142341	
-0.931117	-0.514782	-0.28306	-1.44881	
-0.736752	-0.695777	0.0888135	0.146039	
0.0440298	0.867292	-0.0590204	0.737895	
-1.05022	-1.0366	0.469527	1.03861	
0.219665	0.963605	0.1272	0.41634	
-0.726213	-1.73719	-0.111538	-0.480409	
-0.0500119	-0.711878	1.08825	0.368856	
0.679149	-0.563741	-0.00176689	0.588541	
0.820708	1.36015	-0.603333	-0.106309	
0.742837	0.443663	-0.00396396	-0.234879	
-0.0296967	-0.164908	-0.317829	-0.410154	
1.22156	1.91613	0.730075	-0.538185	
-0.901058	0.370908	-0.00358005	-0.114054	
-0.665126	0.548565	0.174638	0.309791	
0.269201	-0.456353	0.979105	-0.904278	
-0.0600989	0.241031	0.159102	-1.2455	
-0.291024	0.673294	0.409549	0.733355	
0.0532071	-0.62591	-1.29254	-0.231442	
-0.184124	0.660705	-0.782882	-0.114054	
-0.199425	-1.41306	-0.755504	0.290643	
0.759053	0.447052	0.0626766	0.45824	
0.0349752	-0.600766	0.224411	-0.364867	
0.816744	0.170192	0.917774	0.206844	
0.0504242	-0.702828	0.1272	-0.603323	
