thetaL[0]	thetaL[1]	thetaL[2]	thetaL[3]	
12.6552	5.66667	36.6522	4.72727	
16.0345	2.66667	33.5652	9.27273	
12.1379	7.33333	33.087	9	
10.8276	2.66667	34.913	5.27273	
9.10345	5.55556	36	6.09091	
8.48276	0.222222	33.5217	9.09091	
8.13793	8	37.8261	5.81818	
5.55172	7.66667	24.8261	8.72727	
6.17241	5.55556	34.9565	7.27273	
10.6207	1.44444	29.3043	6.54545	
4.31034	2.77778	27.6957	8.81818	
11.3793	1.77778	27.2609	9.63636	
18.5517	0.555556	35.3478	9.81818	
11.9655	5.77778	29	7.90909	
8.7931	4.88889	27.5217	6.09091	
12.7586	8.88889	33.7391	9.09091	
12	3.77778	39.1304	5.18182	
7.58621	2	36.087	6	
9.93103	8.66667	28.6522	12.1818	
9.96552	3.55556	30.3913	9.27273	
5.17241	4	50.3478	7.18182	
9.44828	2.66667	46.1739	15.5455	
7.7931	2.55556	34.5652	9.63636	
12.2069	1.44444	43	8.18182	
6.93103	3.77778	32.913	8.27273	
15.5862	3.77778	46.1304	8	
6.37931	1.77778	31.6522	4.09091	
11.3793	5.33333	19.2609	14.3636	
11.7586	2	31.6087	6.90909	
11.8276	2.77778	50.6087	5.90909	
3.13793	4.11111	34.8696	9.45455	
18.7931	10	29.7826	15.6364	
7.37931	10	48.3478	7.27273	
8.34483	2.11111	40	7.09091	
5.51724	5.33333	34.3478	8.09091	
9.96552	4	27.2609	14.1818	
6.31034	5.77778	34.3478	7.27273	
6.13793	1.88889	30.087	5.45455	
7.17241	8	38.0435	6.72727	
8.06897	1.44444	32.5217	7	
3.68966	0.444444	33.087	4	
15.3103	11.8889	43.2174	12	
3.62069	2.66667	33.6957	4	
7.41379	1.88889	37	6.54545	
12.2759	4.88889	41.3913	8.72727	
3.58621	1.33333	39.7391	8.90909	
10.2414	5	40.1304	9.18182	
7.24138	1.44444	34.5652	3.09091	
12.931	3.66667	43.4783	8.36364	
16.069	2	34.2609	5.81818	
20.931	5	27.4348	10.6364	
10.2759	6.33333	35.0435	7.45455	
7	7.11111	24.7391	6.18182	
