thetaWatt[0]	thetaWatt[1]	thetaWatt[2]	thetaWatt[3]	
12.621	6.36274	38.026	6.62279	
11.1065	2.82789	28.1178	8.94076	
13.3783	6.00926	35.6159	7.94734	
10.6016	2.4744	35.3481	5.96051	
9.59195	6.00926	31.0635	6.95392	
10.8541	0.706972	33.4736	10.2653	
8.07743	7.06972	41.2394	6.29165	
9.59195	6.00926	28.1178	8.94076	
7.06776	2.4744	29.9923	7.94734	
9.84437	2.4744	25.9755	7.6162	
10.3492	3.53486	32.4024	9.2719	
12.8734	3.53486	27.3144	7.94734	
14.1355	0.706972	37.7582	8.94076	
11.6113	4.59531	30.2601	10.9276	
12.1162	5.65577	30.7957	6.62279	
9.84437	6.36274	31.3312	7.28506	
12.1162	3.88834	38.2937	5.96051	
7.06776	3.53486	37.4904	8.27848	
8.07743	7.06972	34.5447	10.9276	
8.07743	5.30229	33.2058	8.94076	
8.07743	3.53486	39.0971	8.60962	
11.6113	3.53486	39.0971	15.2324	
10.6016	3.18137	34.5447	8.94076	
11.3589	2.12091	43.3817	8.60962	
8.58227	4.59531	42.5784	8.27848	
10.3492	3.53486	41.5072	6.95392	
7.06776	1.76743	35.0803	6.29165	
10.8541	4.59531	29.4567	16.557	
11.8637	2.12091	32.938	5.96051	
10.6016	3.53486	43.1139	4.96709	
6.56292	4.59531	35.6159	9.2719	
13.6307	7.06972	30.5279	12.5833	
8.07743	7.4232	36.9548	6.29165	
9.59195	2.4744	36.687	4.96709	
6.3105	6.00926	35.3481	7.28506	
11.3589	5.30229	31.599	11.921	
7.06776	7.4232	28.6534	9.60304	
5.55324	2.4744	37.2226	5.96051	
7.5726	5.65577	32.1346	6.95392	
8.83469	1.76743	30.7957	8.94076	
4.79598	1.06046	34.0091	4.63595	
13.8831	8.13017	37.4904	11.5899	
5.30082	3.18137	36.4192	6.62279	
9.59195	2.4744	36.1514	6.29165	
12.1162	3.88834	42.0428	7.28506	
5.55324	2.12091	35.3481	6.95392	
9.59195	3.88834	38.8293	8.27848	
9.33953	3.18137	35.6159	3.64253	
13.1258	4.59531	33.7413	7.6162	
13.3783	2.4744	34.2769	4.96709	
16.9121	3.53486	32.6702	10.9276	
8.32985	5.65577	35.0803	7.94734	
7.06776	7.4232	27.0466	6.95392	
10.3492	9.54412	33.4736	7.94734	
7.82501	5.65577	40.1683	9.2719	
7.82501	2.82789	35.6159	9.60304	
11.6113	4.59531	36.687	5.96051	
8.32985	1.41394	43.1139	8.60962	
11.8637	1.76743	30.2601	5.96051	
10.3492	3.18137	28.3856	8.60962	
12.1162	13.7859	38.2937	9.2719	
9.84437	4.9488	25.4399	8.27848	
7.32018	6.36274	35.8836	8.27848	
8.83469	6.71623	43.6495	7.94734	
12.8734	7.77669	35.6159	8.27848	
11.1065	3.53486	38.8293	6.95392	
8.58227	10.2511	29.7245	9.93418	
8.58227	2.4744	31.3312	10.2653	
9.84437	9.19063	35.3481	6.95392	
12.1162	6.36274	30.5279	8.60962	
8.32985	1.76743	38.8293	5.96051	
10.3492	12.7255	36.1514	14.5701	
9.08711	2.12091	43.1139	8.27848	
11.6113	2.82789	43.6495	7.6162	
12.1162	1.06046	44.7207	7.28506	
11.1065	3.88834	25.4399	7.28506	
6.56292	1.41394	43.3817	10.9276	
10.3492	3.18137	49.5409	7.94734	
7.82501	5.65577	33.7413	12.2522	
13.3783	4.9488	41.775	7.28506	
8.07743	8.13017	42.0428	11.5899	
15.65	4.24183	34.5447	5.29823	
10.3492	7.06972	48.7375	7.6162	
6.81534	5.65577	36.4192	10.2653	
9.59195	4.24183	36.4192	6.95392	
12.8734	3.53486	31.0635	5.96051	
8.32985	6.36274	31.0635	8.60962	
9.33953	2.82789	43.1139	7.94734	
14.3879	5.30229	39.0971	5.96051	
6.81534	4.59531	30.5279	8.94076	
13.3783	8.48366	28.9211	9.60304	
9.33953	2.12091	28.3856	7.6162	
9.33953	2.82789	25.9755	7.94734	
10.8541	1.76743	30.2601	7.6162	
9.59195	7.77669	40.9716	9.93418	
10.3492	1.76743	33.7413	8.94076	
10.3492	3.18137	27.85	5.96051	
15.9024	5.30229	36.4192	10.2653	
10.3492	4.59531	33.7413	8.27848	
10.8541	1.76743	44.4529	6.95392	
8.83469	2.82789	36.4192	6.95392	
16.9121	1.76743	34.2769	5.62937	
7.5726	4.24183	31.3312	7.94734	
7.82501	4.24183	31.3312	5.62937	
5.80566	2.12091	44.7207	6.62279	
10.8541	1.76743	42.8461	8.60962	
13.3783	10.2511	51.1476	10.9276	
6.05808	8.83714	37.4904	4.63595	
10.6016	3.53486	32.1346	5.96051	
7.5726	5.30229	29.9923	9.93418	
7.5726	5.30229	32.6702	5.29823	
9.84437	6.36274	30.2601	10.9276	
5.0484	7.06972	28.3856	9.60304	
9.08711	9.54412	31.8668	7.28506	
10.8541	4.9488	24.3687	6.95392	
5.30082	8.13017	37.2226	6.29165	
14.8928	10.6046	28.6534	9.60304	
9.84437	6.00926	27.5822	7.28506	
10.0968	0.706972	31.8668	10.9276	
5.80566	2.12091	30.2601	6.29165	
5.0484	3.88834	36.4192	8.27848	
6.56292	6.71623	31.0635	6.95392	
4.29114	5.65577	29.4567	10.9276	
8.07743	1.76743	35.0803	7.28506	
12.3686	5.65577	22.762	7.28506	
6.05808	4.24183	29.4567	9.2719	
12.3686	1.41394	31.599	5.96051	
8.07743	2.82789	38.026	10.2653	
6.56292	2.12091	40.7038	7.6162	
7.06776	6.00926	33.4736	9.60304	
13.3783	4.9488	36.4192	9.93418	
13.3783	2.12091	40.1683	13.9078	
5.55324	3.18137	30.5279	10.9276	
11.3589	2.12091	44.4529	7.94734	
9.59195	4.24183	40.9716	5.62937	
10.3492	2.82789	26.5111	6.95392	
9.33953	6.36274	35.3481	7.94734	
6.3105	4.24183	37.4904	5.96051	
13.1258	3.18137	35.3481	8.60962	
8.32985	13.079	34.0091	10.5965	
11.6113	0.353486	28.1178	9.60304	
13.3783	10.2511	36.9548	11.2587	
10.6016	4.24183	31.8668	11.2587	
11.1065	4.9488	34.2769	5.29823	
11.1065	1.41394	29.9923	7.6162	
8.07743	4.24183	31.0635	8.27848	
6.3105	4.24183	31.3312	8.94076	
12.3686	5.65577	35.6159	5.29823	
20.6984	5.65577	31.8668	12.2522	
10.8541	10.6046	31.599	10.2653	
11.1065	4.9488	38.8293	7.28506	
9.33953	4.24183	39.3649	5.29823	
6.56292	8.13017	40.9716	11.5899	
9.84437	3.88834	46.863	8.60962	
13.6307	6.00926	23.5654	10.2653	
9.59195	6.00926	33.2058	3.64253	
9.33953	2.12091	36.687	8.27848	
10.0968	5.30229	36.4192	8.94076	
8.07743	5.30229	36.1514	6.95392	
11.8637	2.12091	36.9548	4.30481	
8.32985	3.18137	37.2226	6.95392	
7.82501	2.82789	33.7413	11.5899	
9.33953	8.13017	35.3481	6.62279	
11.3589	2.12091	34.0091	8.94076	
12.8734	10.9581	31.8668	6.29165	
9.33953	4.59531	39.9005	5.96051	
11.3589	3.53486	35.0803	7.94734	
8.07743	6.00926	28.6534	11.5899	
11.8637	4.9488	44.1851	10.9276	
11.1065	3.18137	30.5279	6.29165	
14.3879	10.9581	35.8836	5.29823	
5.80566	4.24183	28.3856	9.2719	
6.05808	7.77669	35.3481	8.60962	
9.33953	3.53486	38.2937	6.62279	
6.81534	3.18137	29.9923	8.27848	
12.8734	5.30229	32.938	8.94076	
11.6113	7.4232	28.3856	8.94076	
11.6113	7.4232	39.6327	5.62937	
7.5726	2.4744	35.8836	10.9276	
11.8637	5.65577	28.9211	7.6162	
4.54356	10.9581	24.101	10.2653	
12.3686	5.65577	33.7413	8.94076	
13.1258	6.71623	30.5279	9.2719	
7.06776	4.59531	35.8836	7.6162	
7.5726	3.18137	45.2562	8.94076	
10.3492	2.12091	36.4192	8.94076	
12.1162	8.13017	42.0428	5.96051	
11.1065	3.88834	33.7413	11.2587	
9.08711	3.18137	39.9005	6.95392	
8.32985	5.65577	39.3649	11.5899	
8.58227	7.77669	34.2769	7.6162	
9.59195	9.19063	53.0221	9.2719	
10.3492	3.18137	33.4736	6.29165	
11.6113	6.36274	30.2601	9.60304	
12.1162	9.19063	39.6327	9.2719	
11.3589	5.65577	30.7957	8.27848	
6.81534	6.36274	36.4192	7.94734	
9.33953	2.82789	43.3817	6.62279	
7.06776	2.4744	26.2433	9.60304	
7.5726	6.00926	24.9043	12.2522	
8.58227	6.36274	35.6159	7.94734	
9.59195	4.24183	43.3817	9.93418	
9.33953	2.12091	37.2226	7.6162	
14.3879	4.59531	26.5111	6.95392	
12.3686	4.24183	34.8125	12.9144	
10.6016	2.82789	40.9716	9.2719	
