B[0]	B[1]	B[2]	B[3]	
0.105263	0	0.0222222	0	
0.157895	0.6	0.0666667	0.25	
0.105263	0	0.222222	0.125	
0.0526316	0.2	0.0666667	0.1875	
0	0.1	0.0888889	0.0625	
0	0.1	0.0222222	0	
0.157895	0.1	0.0888889	0.0625	
0	0.2	0.0444444	0.1875	
0.0526316	0	0.0666667	0.125	
0.105263	0	0.0888889	0.125	
0.0526316	0	0.0222222	0.0625	
0.0526316	0	0.0666667	0.1875	
0.0526316	0.2	0.0666667	0.125	
0.0526316	0.1	0.0444444	0.625	
0	0.2	0.0222222	0	
0	0.1	0.111111	0.0625	
0.0526316	0.2	0.0222222	0.0625	
0.0526316	0.3	0.0444444	0.1875	
0.105263	0.1	0.0888889	0	
0	0.2	0.155556	0.0625	
0.105263	0.1	0.0888889	0.1875	
0.105263	0.7	0.0222222	0.125	
0	0.3	0.111111	0.125	
0.0526316	0.2	0	0.1875	
0	0	0.0222222	0.0625	
0	0.1	0.0444444	0.125	
0.105263	0.4	0.0444444	0.25	
0.105263	0.1	0.0666667	0.1875	
0.0526316	0	0.0444444	0.1875	
0	0.4	0.0666667	0.125	
0.157895	0.4	0.0888889	0.375	
0.157895	0.1	0.133333	0.125	
0	0.7	0.0222222	0.1875	
0.105263	0.2	0.0444444	0	
0.0526316	0.3	0.0222222	0.0625	
0.105263	0.5	0.0222222	0	
0.0526316	0	0	0.125	
0.0526316	0.2	0.0222222	0.125	
0	0.2	0	0.0625	
0.105263	0.4	0.0222222	0.25	
0	0.1	0.0222222	0.1875	
0.0526316	0.1	0	0.0625	
0	0.1	0.133333	0.1875	
0.105263	0.2	0.0444444	0.1875	
0.210526	0	0.0666667	0.25	
0.0526316	0.3	0.0444444	0.1875	
0.0526316	0.1	0.0666667	0.1875	
0	0.5	0.0888889	0	
0	0.5	0.0666667	0	
0.105263	0.5	0.155556	0.0625	
0	0.2	0	0	
0	0	0.0222222	0.0625	
0	0.1	0.0444444	0.0625	
0.105263	0.2	0.111111	0.375	
0	0.1	0.0888889	0	
0	0.1	0.0888889	0.1875	
0.0526316	0.5	0.0222222	0	
0.0526316	0.3	0.155556	0	
0.0526316	0.1	0.0444444	0.1875	
0	0	0.2	0	
0.157895	0.2	0.0222222	0.0625	
0.0526316	0.2	0.0666667	0.0625	
0.105263	0.2	0.0222222	0.125	
0.0526316	0.1	0.0222222	0.3125	
0.0526316	0.4	0.0444444	0	
0	0.3	0.155556	0.0625	
0.0526316	0.3	0.155556	0.0625	
0.0526316	0.2	0.0222222	0.125	
0.0526316	0	0.0444444	0.25	
0.210526	0	0.0444444	0.0625	
0.0526316	0.2	0.111111	0	
0.0526316	0.2	0	0.125	
0.0526316	0	0.0444444	0	
0	0.1	0.0444444	0.1875	
0.0526316	0.7	0.0666667	0.0625	
0	0.1	0.0666667	0.125	
0.157895	0.1	0.0222222	0.25	
0.105263	0.2	0.0666667	0.0625	
0.0526316	0.1	0.0444444	0.1875	
0	0.2	0.0888889	0.25	
0.157895	0.1	0.0888889	0.1875	
0.157895	0.2	0.0444444	0	
0.0526316	0.2	0.0222222	0.1875	
0.0526316	0.1	0.111111	0.25	
0	0.3	0.0888889	0.125	
0	0.1	0.0444444	0	
0.105263	0	0.0666667	0.125	
0.0526316	0.1	0.0444444	0	
0.157895	0.2	0.0888889	0.1875	
0	0.2	0.0888889	0.125	
0	0.2	0.0888889	0	
0	0.1	0.0222222	0.0625	
0	0.1	0.0222222	0.0625	
0	0.2	0.0222222	0.125	
0.105263	0.3	0.0888889	0.0625	
0.105263	0.4	0.0888889	0	
0.0526316	0.1	0.0666667	0.0625	
0	0.1	0.111111	0.0625	
0.0526316	0.1	0.0666667	0	
0	0.3	0.0444444	0	
0.263158	0	0	0.1875	
0.0526316	0.3	0.0444444	0.3125	
0	0.1	0.111111	0.1875	
0.105263	0.1	0.0888889	0.25	
0.105263	0.2	0.0666667	0.125	
0	0.1	0.155556	0.0625	
