H_norm[0]	H_norm[1]	H_norm[2]	H_norm[3]	
-0.302042	0.344033	0.778195	0.53746	
-1.29285	-2.94339	0.889365	-0.620858	
0.556096	0.955647	-1.00862	1.07492	
0.556096	0.955647	0.843886	-1.28805	
0.592792	-0.840969	-0.448725	0.908121	
-0.163724	-0.0764518	0.543726	0.389195	
0.434714	0.993873	0.324416	-0.231664	
0.75087	0.496936	0.33048	-0.472594	
0.643603	0.917421	0.5983	0.648658	
0.46012	0.382259	0.554843	0.398461	
0.567387	0.993873	0.222341	-0.148265	
-2.3006	0.611614	0.165745	0.657925	
-0.426246	-0.458711	0.422449	0.0648658	
0.685946	-0.191129	-0.742822	-2.4093	
0.166546	0.535162	0.42548	0.77839	
-0.914594	0.955647	0.583141	0.546726	
-0.279459	0.344033	0.233458	0.491127	
0.578678	0.879195	0.373938	-0.0833989	
0.79039	0.955647	0.0555853	0.620858	
-0.333093	0.840969	-1.47655	-0.732057	
-0.0705705	0.611614	-0.481066	0.667191	
-0.0112913	-1.83484	0.312289	0.657925	
0.321802	0.535162	-0.56697	0.732057	
0.485525	0.764518	0.83378	0.26873	
0.621021	0.496936	0.618513	0.685724	
0.615375	-0.305807	0.331491	0.824722	
0.601261	-1.56726	0.631652	-0.0833989	
-0.341561	0.305807	0.200107	-0.26873	
0.527868	0.305807	0.39314	0.0926654	
0.601261	-1.52904	-0.984366	0.416994	
0.2597	-1.37613	0.47197	0.0741324	
-0.0649249	0.840969	0.540694	0.379928	
-0.465766	-2.2171	0.341597	0.203864	
0.855315	0.879195	0.579098	0.352129	
0.587147	-1.33791	0.747875	0.741324	
-0.223003	-0.764518	0.133405	0.741324	
-0.386727	0.993873	-0.369895	0.685724	
0.417778	0.879195	0.554843	1.00079	
0.962582	-0.0382259	0.847929	0.99152	
0.446006	-1.41436	0.159682	-0.305796	
0.536336	1.0321	0.77011	0.843256	
0.496817	-0.573388	0.332501	0.704257	
0.536336	-0.114678	-1.11575	-0.213131	
0.454474	0.0382259	0.453778	-1.40851	
