Hw[0]	Hw[1]	Hw[2]	Hw[3]	
0.949425	0.933333	0.985507	0.984848	
0.882759	0.644444	0.978261	0.681818	
0.885057	0.955556	0.971014	0.984848	
0.829885	0.933333	0.981884	0.878788	
0.866667	0.911111	0.963768	0.893939	
0.958621	0.911111	0.992754	1	
0.898851	0.844444	0.974638	0.969697	
0.864368	0.866667	0.992754	0.893939	
0.924138	0.977778	0.981884	0.954545	
0.901149	0.866667	0.974638	0.954545	
0.873563	0.866667	0.974638	0.984848	
0.774713	0.977778	0.974638	0.833333	
0.811494	0.888889	0.985507	0.939394	
0.912644	0.844444	0.992754	0.878788	
0.864368	0.933333	0.978261	0.969697	
0.850575	0.955556	0.956522	0.924242	
0.85977	0.933333	0.996377	0.954545	
0.896552	0.666667	0.985507	0.909091	
0.951724	0.955556	0.978261	0.984848	
0.813793	0.933333	0.974638	0.954545	
0.882759	0.911111	0.981884	0.939394	
0.905747	0.622222	0.985507	0.954545	
0.864368	0.866667	0.884058	1	
0.903448	0.933333	0.981884	0.984848	
0.947126	0.911111	0.996377	0.969697	
0.949425	0.866667	0.971014	0.969697	
0.898851	0.844444	0.985507	1	
0.829885	0.866667	0.934783	0.969697	
0.813793	0.911111	0.992754	0.954545	
0.85977	0.755556	0.963768	0.969697	
0.91954	0.777778	0.974638	0.939394	
0.908046	1	1	0.984848	
0.85977	0.644444	0.974638	0.833333	
0.887356	0.888889	0.971014	0.893939	
0.908046	0.644444	0.963768	0.939394	
0.8	0.822222	0.963768	0.954545	
0.868966	0.977778	0.996377	0.984848	
0.926437	0.977778	0.985507	0.954545	
0.914943	0.911111	0.98913	0.969697	
0.933333	0.888889	0.992754	0.848485	
0.864368	0.977778	0.992754	0.954545	
0.862069	0.933333	0.992754	0.984848	
0.963218	0.933333	0.931159	0.954545	
0.813793	0.933333	0.974638	0.848485	
0.797701	0.911111	0.98913	0.954545	
0.912644	0.888889	0.992754	0.984848	
0.882759	0.911111	0.978261	0.969697	
0.832184	0.822222	0.992754	0.984848	
0.910345	0.888889	0.978261	0.969697	
0.896552	0.533333	0.952899	0.984848	
0.951724	0.844444	0.960145	0.954545	
0.908046	0.755556	0.98913	0.939394	
0.914943	0.777778	0.985507	0.984848	
0.926437	0.8	0.98913	0.681818	
0.855172	0.755556	0.981884	0.969697	
0.924138	0.955556	0.967391	0.984848	
0.816092	0.822222	0.956522	0.969697	
0.914943	0.911111	0.974638	0.939394	
0.887356	0.866667	0.981884	0.954545	
0.926437	0.933333	0.985507	0.939394	
0.88046	0.911111	0.978261	0.984848	
0.912644	0.822222	0.978261	0.984848	
0.864368	0.822222	0.98913	0.984848	
0.928736	0.911111	0.974638	0.984848	
0.921839	0.888889	0.985507	0.984848	
0.914943	0.888889	0.974638	0.984848	
0.901149	0.777778	0.978261	0.969697	
0.749425	0.911111	0.992754	0.909091	
0.843678	0.911111	0.985507	0.939394	
0.882759	0.977778	0.985507	0.984848	
0.935632	0.933333	0.985507	0.984848	
0.908046	0.911111	0.992754	0.909091	
0.933333	0.977778	0.992754	0.984848	
0.924138	0.888889	0.992754	0.848485	
0.855172	0.644444	0.98913	0.984848	
0.910345	0.911111	0.938406	0.909091	
0.914943	0.933333	0.98913	0.893939	
0.901149	0.888889	0.992754	1	
0.942529	0.911111	0.992754	0.984848	
0.901149	0.844444	0.956522	0.878788	
0.894253	0.777778	0.967391	0.939394	
0.914943	0.955556	0.992754	0.984848	
0.836782	0.644444	0.971014	0.984848	
0.928736	0.911111	0.981884	1	
0.866667	0.888889	0.985507	0.893939	
0.937931	0.977778	0.967391	0.984848	
0.850575	0.933333	0.978261	0.954545	
0.887356	0.933333	0.98913	0.984848	
0.88046	0.911111	0.974638	0.954545	
0.935632	0.844444	0.985507	0.909091	
0.898851	0.866667	0.985507	0.954545	
0.91954	0.933333	0.985507	0.909091	
0.965517	0.955556	0.960145	0.984848	
0.905747	0.933333	0.981884	0.984848	
0.756322	0.866667	0.981884	0.909091	
0.786207	0.888889	0.985507	1	
0.850575	0.977778	0.98913	0.984848	
0.91954	0.911111	0.992754	0.954545	
0.926437	0.911111	0.981884	0.984848	
0.864368	0.777778	0.98913	0.909091	
0.864368	0.955556	0.985507	0.924242	
0.91954	0.866667	0.985507	0.954545	
0.958621	0.911111	0.985507	0.939394	
0.82069	0.911111	0.971014	0.909091	
0.921839	0.911111	0.985507	0.984848	
0.889655	0.933333	0.981884	0.969697	
0.682759	0.955556	0.981884	0.893939	
0.885057	0.955556	0.985507	0.984848	
0.933333	0.977778	0.981884	0.893939	
0.875862	0.911111	0.978261	0.954545	
0.848276	0.844444	0.992754	0.969697	
0.905747	0.977778	0.978261	0.984848	
0.965517	0.888889	0.985507	0.954545	
0.85977	0.911111	0.978261	0.954545	
0.885057	0.977778	0.992754	0.924242	
0.910345	0.955556	0.992754	0.909091	
0.871264	0.911111	0.98913	0.984848	
0.910345	0.911111	0.981884	0.969697	
0.954023	0.933333	0.98913	0.909091	
0.910345	0.933333	0.985507	0.984848	
0.965517	0.911111	0.978261	0.969697	
0.878161	0.666667	0.978261	0.984848	
0.91954	0.955556	0.981884	1	
0.903448	0.911111	0.956522	0.954545	
0.862069	0.777778	0.98913	0.984848	
0.912644	0.911111	0.98913	0.984848	
0.942529	0.822222	0.960145	0.969697	
0.94023	0.911111	0.974638	0.833333	
0.85977	0.933333	0.938406	0.969697	
0.926437	0.933333	0.985507	0.969697	
0.954023	0.933333	0.974638	0.969697	
0.928736	0.933333	0.916667	0.954545	
0.937931	0.933333	0.978261	0.848485	
0.873563	0.977778	0.981884	0.939394	
0.928736	0.977778	0.978261	0.954545	
0.947126	0.955556	0.974638	0.939394	
0.928736	0.955556	0.98913	0.969697	
0.898851	0.911111	0.992754	0.924242	
0.96092	0.911111	0.98913	0.969697	
0.944828	0.888889	0.985507	0.924242	
0.921839	0.866667	0.978261	0.984848	
0.818391	0.866667	0.985507	0.954545	
0.942529	0.911111	0.971014	0.939394	
0.937931	0.955556	0.981884	0.969697	
0.721839	0.844444	0.981884	0.969697	
0.921839	0.911111	0.98913	0.969697	
0.933333	0.888889	0.978261	0.939394	
0.935632	0.666667	0.985507	0.924242	
0.935632	0.844444	0.996377	0.969697	
0.878161	1	0.978261	0.984848	
0.862069	0.977778	0.985507	0.954545	
0.772414	0.955556	0.971014	0.984848	
0.848276	0.933333	0.949275	0.969697	
0.931034	0.777778	0.971014	0.954545	
0.878161	0.911111	0.974638	0.969697	
0.933333	0.911111	0.985507	0.939394	
0.912644	0.955556	0.985507	0.924242	
0.937931	0.955556	0.978261	0.984848	
0.905747	0.911111	0.98913	0.954545	
0.866667	0.911111	0.985507	0.969697	
0.783908	0.955556	0.985507	0.984848	
0.937931	0.844444	0.985507	0.893939	
0.864368	0.866667	0.98913	0.969697	
0.926437	0.866667	0.992754	0.954545	
0.954023	0.955556	0.974638	0.984848	
0.804598	0.977778	0.98913	0.954545	
0.875862	0.977778	0.981884	0.954545	
0.933333	0.955556	0.985507	0.984848	
0.887356	0.888889	0.981884	0.954545	
0.937931	0.911111	0.978261	0.954545	
0.942529	0.911111	0.985507	0.969697	
0.783908	0.911111	0.992754	0.954545	
0.832184	0.911111	0.985507	0.939394	
0.954023	0.666667	0.971014	0.969697	
0.836782	0.8	0.981884	0.969697	
0.910345	0.8	0.978261	0.969697	
0.91954	0.911111	0.98913	0.969697	
0.903448	0.955556	0.98913	0.909091	
0.924138	0.955556	0.981884	0.969697	
0.825287	0.977778	0.985507	0.954545	
0.721839	0.866667	0.945652	0.969697	
0.942529	0.955556	0.992754	0.954545	
0.905747	0.933333	1	0.954545	
0.914943	0.955556	0.992754	1	
0.852874	0.844444	0.98913	0.969697	
0.921839	0.933333	0.98913	0.848485	
0.887356	0.844444	0.992754	0.969697	
0.885057	0.844444	0.978261	0.969697	
0.928736	0.844444	0.996377	0.954545	
0.898851	0.8	0.985507	0.939394	
0.951724	0.911111	0.98913	0.954545	
0.94023	0.933333	0.985507	0.848485	
0.891954	0.911111	0.978261	0.969697	
0.921839	0.866667	0.98913	0.954545	
0.924138	0.844444	0.98913	0.984848	
0.878161	0.8	0.985507	0.969697	
0.954023	0.933333	0.98913	0.954545	
0.926437	1	0.967391	0.954545	
0.887356	0.911111	0.971014	0.939394	
0.829885	0.888889	0.974638	0.954545	
