Q[0]	Q[1]	Q[2]	Q[3]	
0.2	0	0.0434783	0	
0.25	0.636364	0.130435	0.352941	
0.2	0	0.326087	0.235294	
0.1	0.363636	0.130435	0.235294	
0	0.181818	0.152174	0.117647	
0	0.181818	0.0434783	0	
0.2	0.181818	0.152174	0.117647	
0	0.272727	0.0652174	0.352941	
0.1	0	0.130435	0.235294	
0.15	0	0.152174	0.235294	
0.1	0	0.0434783	0.117647	
0.1	0	0.108696	0.294118	
0.1	0.272727	0.130435	0.176471	
0.1	0.181818	0.0869565	0.705882	
0	0.272727	0.0434783	0	
0	0.181818	0.173913	0.117647	
0.1	0.363636	0.0434783	0.117647	
0.1	0.454545	0.0652174	0.294118	
0.2	0.181818	0.173913	0	
0	0.363636	0.173913	0.117647	
0.2	0.181818	0.173913	0.294118	
0.2	0.727273	0.0434783	0.235294	
0	0.454545	0.173913	0.235294	
0.1	0.363636	0	0.235294	
0	0	0.0434783	0.117647	
0	0.181818	0.0869565	0.235294	
0.15	0.545455	0.0652174	0.470588	
0.2	0.181818	0.108696	0.235294	
0.1	0	0.0869565	0.352941	
0	0.454545	0.108696	0.235294	
0.3	0.454545	0.130435	0.470588	
0.25	0.181818	0.195652	0.235294	
0	0.727273	0.0434783	0.294118	
0.2	0.363636	0.0652174	0	
0.1	0.363636	0.0434783	0.117647	
0.2	0.545455	0.0434783	0	
0.1	0	0	0.235294	
0.1	0.272727	0.0434783	0.235294	
0	0.363636	0	0.117647	
0.15	0.454545	0.0434783	0.294118	
0	0.181818	0.0434783	0.352941	
0.1	0.181818	0	0.117647	
0	0.181818	0.217391	0.294118	
0.2	0.272727	0.0869565	0.235294	
0.35	0	0.130435	0.411765	
0.1	0.454545	0.0869565	0.352941	
0.1	0.181818	0.130435	0.294118	
0	0.545455	0.130435	0	
0	0.636364	0.108696	0	
0.2	0.545455	0.217391	0.117647	
0	0.363636	0	0	
0	0	0.0434783	0.117647	
0	0.181818	0.0869565	0.117647	
0.2	0.272727	0.152174	0.470588	
0	0.181818	0.152174	0	
0	0.181818	0.130435	0.294118	
0.1	0.545455	0.0434783	0	
0.1	0.363636	0.217391	0	
0.1	0.181818	0.0652174	0.294118	
0	0	0.282609	0	
0.25	0.272727	0.0434783	0.117647	
0.1	0.272727	0.130435	0.117647	
0.2	0.272727	0.0434783	0.235294	
0.1	0.181818	0.0434783	0.529412	
0.1	0.454545	0.0869565	0	
0	0.363636	0.195652	0.117647	
0.1	0.454545	0.195652	0.117647	
0.1	0.272727	0.0434783	0.235294	
0.1	0	0.0869565	0.411765	
0.35	0	0.0869565	0.117647	
0.1	0.272727	0.173913	0	
0.1	0.272727	0	0.235294	
0.1	0	0.0869565	0	
0	0.181818	0.0869565	0.235294	
0.1	0.727273	0.108696	0.117647	
0	0.181818	0.108696	0.235294	
0.25	0.181818	0.0434783	0.294118	
0.15	0.272727	0.0869565	0.117647	
0.1	0.181818	0.0869565	0.294118	
0	0.272727	0.130435	0.294118	
0.3	0.181818	0.152174	0.294118	
0.25	0.363636	0.0652174	0	
0.1	0.272727	0.0434783	0.294118	
0.1	0.181818	0.152174	0.352941	
0	0.363636	0.173913	0.235294	
0	0.181818	0.0869565	0	
0.2	0	0.130435	0.235294	
0.1	0.181818	0.0869565	0	
0.3	0.272727	0.173913	0.294118	
0	0.272727	0.152174	0.176471	
0	0.272727	0.152174	0	
0	0.181818	0.0434783	0.117647	
0	0.181818	0.0434783	0.117647	
0	0.272727	0.0434783	0.176471	
0.2	0.363636	0.173913	0.117647	
0.2	0.454545	0.173913	0	
0.1	0.181818	0.130435	0.117647	
0	0.181818	0.195652	0.117647	
0.1	0.181818	0.108696	0	
0	0.363636	0.0869565	0	
0.4	0	0	0.294118	
0.1	0.363636	0.0869565	0.411765	
0	0.181818	0.217391	0.235294	
0.2	0.181818	0.152174	0.294118	
0.2	0.363636	0.130435	0.235294	
0	0.181818	0.173913	0.117647	
0.2	0	0.195652	0.352941	
0.2	0.363636	0.0434783	0	
0	0.363636	0	0.294118	
0.1	0.181818	0.173913	0.352941	
0	0.454545	0	0.352941	
0	0.272727	0.130435	0.117647	
0	0.363636	0.0652174	0.235294	
0.25	0	0.0652174	0	
0.1	0	0.130435	0.117647	
0	0.363636	0.0434783	0.352941	
0.15	0.181818	0.0869565	0.352941	
0	0.181818	0.152174	0.235294	
0.2	0.363636	0	0.235294	
0	0.181818	0.130435	0	
0	0.181818	0.0434783	0.117647	
0.1	0.545455	0.173913	0.294118	
0.1	0	0	0.117647	
0	0.272727	0.0869565	0.117647	
0.25	0.363636	0.130435	0.117647	
0	0.272727	0.0869565	0.352941	
0.2	0.363636	0.326087	0	
0.15	0.181818	0.130435	0.411765	
0.35	0.181818	0.23913	0.176471	
0.1	0	0	0.117647	
0.1	0.181818	0	0.235294	
0.1	0.272727	0.23913	0.235294	
0.1	0.181818	0.0434783	0.352941	
0.2	0	0.0869565	0.294118	
0.1	0.363636	0.0869565	0.117647	
0	0.272727	0.130435	0.176471	
0	0.181818	0.173913	0.411765	
0	0	0	0.117647	
0.1	0.363636	0.130435	0.294118	
0	0.272727	0.0434783	0.176471	
0	0.363636	0.152174	0.176471	
0	0.363636	0.0869565	0.294118	
0.2	0.181818	0.173913	0.176471	
0.1	0.272727	0.0869565	0.117647	
0.1	0.181818	0	0.176471	
0	0.272727	0.0434783	0	
0	0.181818	0.130435	0.117647	
0	0.545455	0.0434783	0.294118	
0.2	0.363636	0.0434783	0.294118	
0	0.181818	0.304348	0.235294	
0.2	0	0.173913	0.470588	
0.4	0.272727	0.108696	0.117647	
0	0.181818	0.26087	0.117647	
0.2	0.181818	0.0869565	0.117647	
0	0.181818	0.217391	0	
0	0.363636	0.152174	0.176471	
0.1	0.363636	0.130435	0.529412	
0.1	0.272727	0.0434783	0	
0.25	0.181818	0.0869565	0.235294	
0	0	0	0.117647	
0.1	0.181818	0.130435	0.117647	
0	0.181818	0.0434783	0.176471	
0	0.545455	0.195652	0.117647	
0.2	0.181818	0.0434783	0.352941	
0	0.272727	0.130435	0.352941	
0	0	0.0869565	0.117647	
0.25	0.181818	0.130435	0.235294	
0	0	0.195652	0.235294	
0	0.363636	0.152174	0.294118	
0	0	0.282609	0.117647	
0	0.181818	0.0434783	0	
0.1	0	0.0869565	0.235294	
0.1	0.181818	0.152174	0.235294	
0	0.545455	0.0869565	0.117647	
0.2	0.545455	0.0869565	0.294118	
0.25	0.363636	0.0869565	0.117647	
0	0.272727	0.0869565	0.235294	
0	0	0	0.117647	
0.1	0.181818	0	0.529412	
0.1	0	0.0652174	0.235294	
0	0	0.108696	0.235294	
0	0	0.130435	0	
0.1	0.181818	0.0434783	0.294118	
0.1	0.181818	0.0434783	0.117647	
0	0.454545	0.108696	0.235294	
0	0.363636	0	0.117647	
0	0.181818	0.0869565	0.235294	
0.1	0	0.0869565	0.117647	
0.2	0.272727	0.130435	0.176471	
0.1	0.545455	0	0.235294	
0.1	0.454545	0.0869565	0.411765	
0	0	0.0434783	0.117647	
0	0.454545	0.0434783	0.411765	
0	0.181818	0.108696	0.117647	
0	0.363636	0.108696	0.117647	
0	0.545455	0.0434783	0.235294	
0.1	0	0.0434783	0.235294	
0	0.181818	0.0434783	0	
0	0.181818	0.108696	0.411765	
0.1	0.181818	0.0434783	0.176471	
0.3	0.181818	0	0	
0.2	0	0.130435	0.352941	
0.1	0.181818	0.0434783	0.235294	
0.1	0.181818	0.0434783	0.176471	
0	0.545455	0.0434783	0.294118	
0.3	0	0.0869565	0.117647	
0	0.181818	0.152174	0	
0	0.181818	0.108696	0	
0.1	0.181818	0.0652174	0.352941	
0	0.636364	0.130435	0.235294	
0.1	0.272727	0.173913	0.529412	
0	0.181818	0.173913	0.235294	
0	0	0.108696	0.235294	
0.2	0.181818	0.0434783	0.411765	
0.1	0.272727	0.0434783	0.117647	
0.1	0	0.0434783	0	
0	0.181818	0.152174	0.117647	
0	0.727273	0.0869565	0.352941	
0	0	0.0434783	0.117647	
0	0.181818	0.0434783	0	
0	0.181818	0.217391	0.588235	
0.1	0.363636	0.0652174	0.117647	
0.15	0.727273	0.152174	0.411765	
0	0.363636	0.0652174	0.117647	
0.15	0.363636	0.173913	0.235294	
0	0.545455	0.0652174	0	
0.15	0.545455	0.0652174	0	
0.15	0.181818	0.108696	0.117647	
0.25	0.545455	0.0434783	0.176471	
0.1	0	0.0652174	0.352941	
0.1	0	0.152174	0	
0	0.181818	0.0434783	0.529412	
