R2[0]	R2[1]	R2[2]	R2[3]	
0.0956776	0.108251	0.0515832	0.089318	
0.107886	0.244469	0.065224	0.100101	
0.0476354	0.129455	0.0817946	0.135035	
0.0784707	0.0929073	0.0885658	0.129121	
0.0436261	0.12322	0.0625576	0.108804	
0.11176	0.12322	0.0888714	0.128519	
0.142811	0.121305	0.094773	0.138033	
0.0609557	0.172514	0.0671309	0.139254	
0.0547103	0.099591	0.0509639	0.147813	
0.12985	0.0929073	0.054541	0.104498	
0.0659212	0.129388	0.0512658	0.0975152	
0.0705912	0.131348	0.0733915	0.127452	
0.0467856	0.135974	0.0566972	0.0977136	
0.0992971	0.123464	0.0484167	0.163466	
0.0892092	0.164721	0.0604128	0.0903042	
0.0597129	0.114191	0.0918607	0.123294	
0.0863981	0.140109	0.0466386	0.10363	
0.0517085	0.14176	0.0798052	0.122356	
0.111305	0.156956	0.100952	0.0935564	
0.0451999	0.0857635	0.0796111	0.104519	
0.0618607	0.144413	0.0751768	0.204302	
0.0970149	0.185859	0.0554091	0.0987989	
0.0590749	0.125533	0.0551323	0.0783389	
0.0535345	0.116425	0.0739061	0.103748	
0.0466915	0.138767	0.0590498	0.175995	
0.0505968	0.120643	0.0463884	0.109911	
0.0846278	0.149317	0.0808918	0.124962	
0.0659103	0.181998	0.0768072	0.123965	
0.0410881	0.129135	0.0734903	0.118068	
0.0463249	0.19469	0.0731976	0.117548	
0.112829	0.191048	0.0911925	0.152953	
0.0467121	0.074474	0.070909	0.0986923	
0.0594528	0.163901	0.079571	0.127924	
0.102542	0.159804	0.127112	0.110161	
0.0640234	0.198659	0.0921805	0.10326	
0.0842324	0.197319	0.0461721	0.158207	
0.0670731	0.0947397	0.0560009	0.0980433	
0.0527173	0.100889	0.0588511	0.121297	
0.095419	0.13167	0.0697015	0.118984	
0.092908	0.169772	0.0595228	0.102941	
0.0443598	0.11642	0.0616666	0.070735	
0.0565372	0.135839	0.0745863	0.0829164	
0.0629621	0.100828	0.0828078	0.0652072	
0.0744489	0.194341	0.07512	0.111276	
0.0837119	0.102494	0.0632284	0.148002	
0.0576539	0.160923	0.0660397	0.109745	
0.106938	0.111866	0.0721432	0.133037	
0.0549066	0.189382	0.103244	0.0705945	
0.0626053	0.189382	0.0794091	0.076632	
0.0593312	0.216852	0.059551	0.12038	
0.0760702	0.136199	0.0756239	0.114203	
0.0497392	0.146242	0.0622951	0.099136	
0.116824	0.11558	0.103906	0.127249	
0.0637057	0.18677	0.0589174	0.149347	
0.0683065	0.187237	0.0525886	0.123738	
0.0628251	0.107413	0.114863	0.124936	
0.0494538	0.213225	0.0566357	0.100801	
0.0423711	0.171217	0.116147	0.0995877	
0.0438138	0.135342	0.0479308	0.108188	
0.076308	0.108251	0.117192	0.0801136	
0.0840176	0.150189	0.0600343	0.103981	
0.0758805	0.22389	0.0680094	0.147921	
0.110717	0.163901	0.0635424	0.0907287	
0.0541967	0.1296	0.050532	0.138033	
0.0831767	0.162702	0.0621871	0.111804	
0.0614835	0.19258	0.0891543	0.0652072	
0.0764225	0.147989	0.0917112	0.113886	
0.105959	0.114463	0.0824151	0.0950651	
0.0546091	0.147257	0.0656	0.122766	
0.138744	0.10748	0.0500915	0.0737829	
0.0821293	0.14792	0.0903096	0.0945456	
0.132808	0.187515	0.054203	0.129374	
0.050882	0.093847	0.0578458	0.0663424	
0.0726102	0.128199	0.0611351	0.128598	
0.075775	0.244469	0.0708695	0.0929783	
0.077247	0.135384	0.0702817	0.0923396	
0.0613141	0.168856	0.0845137	0.146822	
0.123353	0.154753	0.0845865	0.0723354	
0.0760053	0.155988	0.0653572	0.0836224	
0.0609527	0.145486	0.0945029	0.151602	
0.0859468	0.100828	0.0591601	0.0924718	
0.0814031	0.0960234	0.0679469	0.160272	
0.0724885	0.179858	0.0926281	0.101858	
0.0797	0.104276	0.101177	0.174675	
0.0669992	0.132677	0.103896	0.0884118	
0.0849839	0.0994937	0.0671301	0.0847042	
0.077653	0.0948043	0.0598985	0.103697	
0.0764345	0.0922682	0.081727	0.10895	
0.0824208	0.11964	0.0789448	0.187335	
0.0574394	0.166997	0.0861799	0.117882	
0.066742	0.154931	0.0719922	0.141122	
0.0635303	0.18323	0.0513635	0.135979	
0.0645647	0.114191	0.0638511	0.103537	
0.0540652	0.1131	0.0692771	0.100116	
0.0427862	0.140655	0.0805154	0.138418	
0.0900306	0.169835	0.0684092	0.0652346	
0.0874501	0.126622	0.050517	0.110446	
0.110178	0.129844	0.0657343	0.0998068	
0.0538856	0.127769	0.0649586	0.104477	
0.0419852	0.183852	0.0661995	0.0762175	
0.151196	0.101071	0.0745751	0.105512	
0.0785478	0.158286	0.0644943	0.166099	
0.05786	0.120643	0.0816357	0.113775	
0.0608544	0.123058	0.0869001	0.140995	
0.045712	0.124	0.0708042	0.154394	
0.0460188	0.116582	0.0848287	0.10667	
0.0520377	0.113334	0.0645754	0.110687	
0.0610582	0.0960234	0.065232	0.0827594	
0.0709317	0.0869919	0.0769145	0.106486	
0.0769117	0.14204	0.0768444	0.156989	
0.0987367	0.169835	0.0712533	0.123965	
0.065036	0.0869919	0.0717291	0.113531	
0.0701241	0.170015	0.0632772	0.108464	
0.103883	0.147537	0.0586644	0.106755	
0.0863696	0.0947397	0.11113	0.150011	
0.0446676	0.106253	0.0662393	0.11839	
0.0978235	0.130303	0.0764261	0.118095	
0.0716664	0.147744	0.0867349	0.160809	
0.061783	0.126295	0.0738377	0.12892	
0.048358	0.0821418	0.0637753	0.100801	
0.0495678	0.109637	0.0695295	0.0976292	
0.0507808	0.169832	0.0865597	0.128722	
0.0881124	0.150952	0.0849278	0.114168	
0.0534331	0.103923	0.0907441	0.0798815	
0.104759	0.11558	0.0674162	0.103682	
0.0962721	0.15502	0.0442597	0.127777	
0.0857612	0.165145	0.0548679	0.0812898	
0.123882	0.135689	0.0740221	0.153534	
0.0565723	0.150026	0.0949612	0.135469	
0.0816533	0.153076	0.0636447	0.107448	
0.0784778	0.111629	0.092559	0.10083	
0.104968	0.109091	0.0609065	0.138912	
0.069273	0.117641	0.0501219	0.0948026	
0.127907	0.0960234	0.0528193	0.121928	
0.0673019	0.078203	0.0759448	0.137575	
0.0727987	0.118044	0.0901287	0.0826093	
0.0896358	0.144413	0.0821619	0.137264	
0.0526372	0.128092	0.0656346	0.149294	
0.0856817	0.10748	0.0636734	0.135197	
0.0679537	0.136905	0.0676747	0.123331	
0.051563	0.100265	0.0939871	0.111266	
0.0389601	0.109637	0.0853628	0.0630157	
0.0835751	0.124648	0.0819661	0.155691	
0.102399	0.111249	0.103484	0.0860718	
0.0579422	0.128199	0.0717032	0.137241	
0.0584664	0.169664	0.0716116	0.10478	
0.0472512	0.138207	0.0456282	0.116671	
0.0575333	0.159574	0.0586051	0.14111	
0.0761632	0.169077	0.0401013	0.153871	
0.0577261	0.0713749	0.0928496	0.114655	
0.0475312	0.0755148	0.0570959	0.142114	
0.125722	0.11964	0.0784383	0.0880291	
0.0490631	0.169835	0.103115	0.121594	
0.0911036	0.143963	0.0542326	0.0950807	
0.107462	0.139013	0.121433	0.107804	
0.0703642	0.187515	0.0965843	0.10544	
0.0984559	0.112815	0.125047	0.20701	
0.111367	0.123058	0.0850485	0.0962443	
0.0601438	0.121972	0.0765908	0.123565	
0.0564611	0.143868	0.0668333	0.100931	
0.099256	0.120812	0.0606914	0.067849	
0.0415031	0.12694	0.0662215	0.10113	
0.0386481	0.187879	0.0577119	0.120558	
0.0629436	0.146868	0.0374899	0.0982294	
0.0937623	0.132092	0.0527356	0.105396	
0.0502225	0.0945457	0.0643279	0.13589	
0.0607514	0.0956827	0.0721134	0.116333	
0.0672734	0.104919	0.0990265	0.0881148	
0.0528963	0.198363	0.0808066	0.126672	
0.0892128	0.141825	0.119082	0.0765711	
0.0888732	0.137002	0.0929786	0.106711	
0.0412704	0.142424	0.0703029	0.0924342	
0.0967876	0.157488	0.0753162	0.0991951	
0.0857418	0.135839	0.0800844	0.132414	
0.0503531	0.180093	0.0707216	0.118058	
0.0595636	0.180093	0.0847563	0.100931	
0.0758307	0.155929	0.0733985	0.0824553	
0.0844631	0.130162	0.0594461	0.109659	
0.0658528	0.116425	0.0584039	0.114269	
0.0646232	0.0975415	0.0518445	0.165221	
0.048177	0.122572	0.0717668	0.104362	
0.0664634	0.133245	0.0711364	0.095897	
0.0504631	0.0869919	0.0747189	0.100113	
0.0571035	0.118858	0.0473221	0.072604	
0.0522237	0.140655	0.0386653	0.155656	
0.0750409	0.140655	0.0600352	0.10204	
