S[0]	S[1]	S[2]	S[3]	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
20	11	46	17	
