ThetaTaj[0]	ThetaTaj[1]	ThetaTaj[2]	ThetaTaj[3]	
4.16322	3.17778	6.78986	4.33333	
4.58391	2.35556	7.7971	4.16667	
2.25057	3.66667	8.9058	5.57576	
3.62989	2.66667	9.50362	3.98485	
2.10345	3.35556	6.91304	4.57576	
4.76782	3.35556	9.60145	5.18182	
5.91494	3.15556	10.163	5.34848	
2.91264	4.46667	7.57609	5.5	
2.46207	3.17778	6.23188	5.78788	
5.47356	2.66667	6.90217	4.37879	
2.95862	3.37778	6.27536	4.48485	
2.04598	3.71111	8.07246	5.34848	
2.13333	3.35556	6.9058	4.37879	
4.32414	2.66667	5.90217	5.69697	
3.82299	4.28889	7.13406	4.18182	
2.78621	3.33333	10.0471	4.62121	
3.68276	3.51111	6.44565	4.34848	
2.52874	2.35556	9.25362	4.86364	
4.66667	4.11111	10.5906	4.37879	
2.14713	2.2	5.96739	3.62121	
2.88506	3.82222	8.44928	7.09091	
4.3954	4.08889	7.07609	4.43939	
2.62759	3.62222	6.09783	4.19697	
2.75632	3.22222	8.16304	4.5303	
2.42529	3.8	7.69565	6.57576	
2.55402	2.86667	6.05797	4.34848	
3.70345	3.06667	9.00362	5.22727	
2.89195	4.57778	8.8913	5.28788	
1.82529	3.46667	8.67029	5.06061	
2.15172	2.88889	6.38406	5.13636	
4.83678	2.51111	9.82246	5.93939	
1.85977	2.53333	8.24275	4.71212	
2.72414	3.75556	9.13768	5.24242	
4.42759	3.8	13.0761	4.75758	
2.9908	2.88889	10.2464	4.48485	
3.87816	4.66667	6.56522	6.12121	
2.95632	3.04444	7.02174	4.0303	
2.43908	2.35556	7.33696	5.09091	
4.18851	3.06667	7.86594	4.62121	
4.10575	2.68889	7.44203	4.5	
2.04598	3.2	7.54348	3.10606	
2.6023	3.44444	8.36594	4.24242	
2.94253	2.97778	8.86957	3.56061	
3.3954	4.6	8.4529	2.9697	
3.75862	2.53333	7.1558	5.86364	
2.74713	4.02222	8.02174	4.72727	
4.8069	3.08889	8.44928	5.34848	
2.69655	4.48889	11.3007	4.19697	
3.04598	4.48889	8.9058	3.74242	
2.30345	2.2	5.68478	4.87879	
3.45517	3.62222	8.72826	4.56061	
2.31034	3.13333	7.52536	4.16667	
5.12184	2.51111	10.9493	5.22727	
2.29655	4.68889	4.92029	3.10606	
3.25057	4.48889	6.48913	5.18182	
3.05747	3.15556	12.1304	5.39394	
2.38851	5.02222	6.39855	4.4697	
2.2023	2.84444	11.6594	4.65152	
2.07126	2.51111	6.30072	4.34848	
3.41839	3.17778	12.1377	3.31818	
3.62299	3.95556	6.88043	4.72727	
3.46897	5.08889	7.69928	6.0303	
4.81379	3.75556	7.30797	4.25758	
2.57471	3.42222	6.46014	5.34848	
3.69885	3.88889	7.42391	4.92424	
2.82299	2.68889	9.49638	3.56061	
3.55402	3	9.87681	4.80303	
4.66207	3.31111	8.85507	4.15152	
2.68276	3.75556	7.91667	4.5303	
5.71724	2.93333	6.52899	3.65152	
3.62529	3.48889	9.6413	4.33333	
5.5931	4.62222	6.70652	4.65152	
2.42759	3.02222	7.35507	3.62121	
3.31494	3.28889	7.48913	3.10606	
3.30575	2.35556	8.16304	4.39394	
3.6092	3.86667	8.11594	4.24242	
2.92644	4.2	9.23188	3.34848	
5.42069	3.06667	9.14855	3.24242	
3.57011	4.08889	7.77899	3.84848	
3.09425	2.86667	9.91667	5.51515	
3.94943	2.97778	7.28261	3.89394	
3.74023	2.82222	7.58696	6.16667	
3.24598	4.11111	10.2029	4.39394	
3.69885	2.82222	10.6957	6.5303	
3.06667	3.4	10.9312	3.74242	
3.91034	2.93333	7.65942	4.22727	
3.67126	2.68889	7.34783	4.43939	
3.58851	2.97778	9.30072	4.54545	
3.58851	3.08889	8.83333	6.60606	
2.67586	2.86667	9.52899	4.86364	
3.05517	4.13333	8.48913	5.62121	
3.02989	4.42222	6.48913	5.43939	
2.95862	3.33333	7.98551	4.80303	
2.65747	3.53333	8.02536	4.36364	
1.86437	3.55556	9.01449	5.62121	
3.94253	4.22222	8.17391	3.34848	
3.9954	3.6	5.80435	4.68182	
4.76092	3.2	8.02174	4.34848	
2.41839	2.88889	7.26449	4.62121	
2.18161	2.2	8.10145	3.24242	
6.37241	3.24444	8.22826	3.9697	
3.74023	2.35556	7.72826	6.27273	
2.83218	3.13333	8.98188	4.78788	
2.70575	3.42222	9.14855	2.9697	
2.14713	3.24444	8.52899	5.92424	
2.1954	3.62222	9.42754	3.95455	
1.81609	3.31111	7.66304	4.43939	
2.77701	2.82222	7.78623	3.80303	
3.17931	2.82222	8.63406	3.37879	
3.45517	3.82222	8.77536	6.34848	
4.28736	4.22222	8.24275	5.28788	
3.09655	2.82222	7.06159	4.89394	
3.25747	2.71111	7.46014	4.60606	
4.33333	3.95556	5.46014	4.51515	
3.54023	3.04444	11.6051	5.72727	
2.10345	3.35556	7.77899	5.07576	
4.33333	3.53333	8.67029	4.9697	
3.32414	3.82222	9.24638	6.12121	
2.69425	3.4	8.25	5.30303	
2.07816	2.51111	7.63406	4.4697	
2.58391	2.46667	8.03623	4.57576	
2.05747	2.2	9.81159	5.18182	
3.90575	3.84444	9.51449	4.71212	
2.58161	2.77778	9.38768	3.48485	
4.55632	2.51111	8.21377	4.81818	
4.34023	4.06667	5.56522	5.31818	
3.90575	4	6.7971	3.83333	
5.32184	3.66667	8.38043	5.5	
2.08966	3.82222	5.70652	5.51515	
3.6046	4.08889	7.47101	4.84848	
3.48966	3.26667	10.2645	4.68182	
4.57931	3.2	6.93841	5.39394	
3.17241	3.42222	6.30797	3.07576	
5.52644	2.82222	6.83696	4.93939	
3.02299	2.8	8.54348	5.59091	
3.34023	3.04444	9.3913	3.66667	
4.06897	3.82222	9.28623	5.48485	
2.32184	3.31111	7.93841	5.42424	
3.82069	2.93333	7.42754	5.75758	
3.16322	3.02222	7.82246	5.16667	
2.41379	2.51111	9.76449	5.09091	
1.56782	3.26667	9.57246	3.21212	
3.8069	3.6	9.13043	5.9697	
4.36092	2.71111	10.9275	4.13636	
2.51494	3.28889	8.37681	5.40909	
2.85977	4.28889	8.19203	4.54545	
2.2046	3.57778	5.1558	4.90909	
2.68046	3.26667	7.00725	4.57576	
3.51724	2.62222	5.16667	6.10606	
2.81379	2.51111	10.163	5.21212	
2.34713	2.2	6.75362	5.60606	
5.33793	3.08889	8.93116	4.19697	
2.33563	4.22222	10.6486	4.92424	
4.05057	2.73333	5.9529	3.10606	
4.6046	3.95556	12.663	4.68182	
3.21609	4.62222	10.2029	4.13636	
4.27816	2.8	12.8696	7.48485	
4.75172	3.42222	9.33333	4.63636	
2.8069	3.17778	8.94928	5.27273	
2.65287	3.86667	8.14493	4.5303	
4.51494	3.35556	6.75362	3.5303	
2.10575	3.48889	7.11232	4.21212	
1.63908	2.53333	7.09783	5.06061	
2.88046	3.4	5.05435	4.18182	
4.23678	3.57778	6.63043	4.48485	
2.36782	3.04444	7.77899	5.5303	
2.21839	2.73333	7.83696	4.90909	
3.02299	3.08889	10.5	4.07576	
1.8069	4.86667	8.56884	5.19697	
3.95172	3.95556	12.1014	3.33333	
4.05517	2.53333	10.337	4.71212	
1.81149	3.53333	8	4.42424	
4.37471	3.53333	8.38406	4.36364	
3.78161	3.44444	8.94928	5.43939	
1.96092	4.53333	8.03986	4.9697	
2.78621	4.53333	9.24638	4.5303	
3.3977	3.11111	7.93478	3.9697	
3.66897	3.4	7.24275	4.28788	
2.76092	3.22222	6.84058	3.86364	
3.13563	2.82222	6.16667	6.36364	
2.37701	3.22222	7.67029	3.21212	
3.22299	3.75556	7.98551	4.21212	
2.14943	2.82222	8.31884	4.31818	
2.57011	3.24444	5.99275	4.18182	
2.32874	3.55556	5.48188	6.19697	
3.52874	3.55556	5.94928	4.22727	
3.17471	3.02222	7.49275	5.15152	
2.14943	3.04444	8.06522	3.45455	
3.38621	2.46667	9.55797	6.15152	
3.02299	4.33333	6.09783	5.30303	
2.77241	3.95556	8.82971	5.43939	
2.68276	4.28889	8.28261	5.24242	
2.71264	2.53333	8.77174	5.40909	
2.57701	2.2	6.06159	5.06061	
3.17011	3.53333	9.03623	3.48485	
1.90805	4.68889	6.19928	4.74242	
3.91724	3.57778	8.09783	4.95455	
3.6046	2.68889	9.33333	4.65152	
3.43448	2.82222	8.3913	5.51515	
3.2069	3.35556	11.4964	4.69697	
2.82529	2.97778	6.96377	4.21212	
6.04138	3.13333	11.4094	4.60606	
3.31034	3.57778	8.58696	3.83333	
4.33103	2.97778	5.39855	3.57576	
2.70115	3.84444	9.73188	4.66667	
3.96322	3.35556	6.38043	6.92424	
3.51034	3.51111	8.42029	2.9697	
2.77471	3.33333	7.82246	4.5303	
2.8023	2.62222	8.6413	4.93939	
2.57011	4.6	11.0543	4.5303	
4.73563	2.97778	9.69565	3.07576	
2.47816	3.77778	9.78623	4.16667	
2.75172	2.97778	10.6014	4.63636	
3.9908	2.97778	7.22101	3.21212	
3.31494	2.97778	8.58333	4.77273	
2.67126	3.22222	8.97464	5.60606	
2.61149	3.93333	13.0725	5.31818	
2.9931	4.75556	9.51449	6.9697	
1.97011	3.95556	7.88768	4.10606	
3.98391	3.73333	8.58696	4.72727	
3.51954	3.6	6.64855	4.33333	
2.16782	3.73333	9.68116	4.07576	
1.9977	3.42222	6.74638	2.9697	
3.75632	2.73333	9.47101	3.34848	
3.96552	3.91111	5.4529	5.30303	
2.88276	4.13333	5.69565	4.63636	
2.94943	3.44444	6.66667	3.90909	
3.38621	3.4	9.69565	4.81818	
4.09425	4	11.0507	4.93939	
4.22299	2.8	7.74275	5.06061	
3.24138	3.66667	9.30072	4.62121	
3.17701	4.17778	10.9638	5.56061	
2.67586	3.48889	7.03986	5.5	
3.44138	2.8	5.55072	4.56061	
2.92414	3.46667	7.76812	5.28788	
3.12414	3.17778	5.97826	3.92424	
3.24828	3.08889	6.68841	5.33333	
3.48966	4.42222	8.07971	4.69697	
2.6069	4.13333	8.91667	5.83333	
2.48506	5.2	6.53261	3.90909	
5.34713	3.53333	7.88043	4.93939	
2.45517	2.51111	7.51087	4.43939	
2.93333	3.66667	8.56159	3.78788	
