ThetaFL[0]	ThetaFL[1]	ThetaFL[2]	ThetaFL[3]	
7	6	31	11	
5	5	26	8	
15	5	17	7	
11	8	19	9	
13	5	23	10	
6	5	20	7	
4	7	22	3	
11	4	20	7	
12	7	35	6	
5	8	33	7	
12	6	32	9	
10	5	20	10	
14	5	33	9	
9	8	28	1	
5	4	30	12	
12	6	24	7	
9	6	31	10	
13	10	25	6	
4	4	19	11	
14	11	29	9	
13	4	23	1	
10	0	33	12	
11	6	28	13	
14	7	21	8	
14	6	32	4	
13	8	33	11	
7	5	24	8	
13	4	30	8	
13	4	28	7	
13	6	29	9	
8	6	25	5	
15	10	26	11	
10	1	25	7	
9	4	18	9	
11	6	26	9	
10	2	36	5	
10	7	26	13	
12	10	27	8	
7	7	26	8	
8	6	28	8	
17	6	30	15	
14	3	23	13	
11	6	17	13	
10	2	29	12	
13	9	24	6	
13	5	28	10	
10	8	29	7	
12	2	23	13	
12	2	25	11	
15	8	26	6	
9	7	27	11	
14	5	28	12	
8	9	19	6	
12	4	35	9	
13	4	27	8	
13	6	22	8	
14	2	32	10	
14	7	13	10	
16	9	33	9	
9	6	18	15	
6	4	24	9	
11	1	24	7	
7	1	22	11	
13	7	32	5	
8	2	29	8	
9	6	19	13	
12	8	23	9	
11	5	17	7	
12	4	30	9	
3	7	29	14	
9	4	18	13	
5	3	25	9	
12	8	28	11	
10	4	26	13	
10	6	23	10	
10	6	29	10	
12	3	20	9	
9	5	19	13	
11	4	31	12	
13	6	18	3	
13	6	30	10	
10	7	22	6	
8	1	24	10	
12	7	18	3	
10	4	18	9	
11	6	26	12	
13	9	28	11	
11	6	26	7	
12	6	26	2	
12	7	22	8	
10	5	29	6	
14	3	29	6	
9	6	30	10	
12	7	28	12	
13	3	24	7	
12	3	30	13	
10	5	33	7	
7	6	30	12	
12	8	24	10	
14	7	32	14	
6	8	21	10	
12	9	29	5	
12	6	22	10	
12	6	18	14	
17	7	30	5	
14	7	23	12	
15	6	28	6	
13	7	25	12	
8	7	25	10	
10	5	26	7	
10	3	24	9	
12	7	28	8	
10	6	23	8	
4	5	35	8	
12	7	18	6	
12	7	26	9	
9	5	23	9	
10	5	20	5	
11	4	22	9	
17	9	27	10	
13	10	26	10	
14	9	26	6	
8	4	25	9	
15	8	17	12	
9	9	28	9	
9	4	35	7	
9	3	27	11	
7	5	24	2	
15	4	26	7	
9	5	27	10	
7	6	23	11	
7	6	25	6	
11	6	33	14	
9	7	32	6	
8	9	24	7	
12	7	17	10	
11	4	23	6	
13	5	27	7	
9	7	24	8	
10	7	25	8	
14	9	15	9	
18	8	24	14	
11	6	23	5	
5	9	19	12	
10	4	29	6	
12	4	22	9	
13	5	33	8	
12	7	26	9	
10	6	39	7	
14	9	24	9	
15	11	30	7	
6	6	27	10	
12	3	16	7	
9	8	32	12	
9	6	20	8	
10	3	19	13	
7	9	18	3	
6	7	22	10	
12	7	27	9	
10	5	29	8	
11	7	30	14	
15	6	25	13	
16	8	32	7	
11	7	35	9	
9	5	31	12	
13	8	32	7	
9	9	22	7	
8	6	21	10	
15	3	19	6	
8	5	15	14	
10	9	24	10	
15	5	21	12	
11	6	20	10	
9	3	23	9	
15	4	21	8	
11	4	25	8	
9	6	26	10	
8	6	30	10	
