ZnA[0]	ZnA[1]	ZnA[2]	ZnA[3]	
0.157452	0.0537037	0.0350332	0.0918618	
0.218914	0.608025	0.0983884	0.343278	
0.146319	0.134259	0.266077	0.226842	
0.097965	0.29784	0.136449	0.242745	
0.00302412	0.249228	0.133508	0.117109	
0.0516093	0.139771	0.0827053	0.0897211	
0.238312	0.201499	0.145349	0.177968	
0.0500936	0.397707	0.0663693	0.291403	
0.0825479	0.0482253	0.0745818	0.287708	
0.209049	0.0617284	0.116561	0.159101	
0.0728734	0.0823964	0.0562182	0.137948	
0.10661	0.128244	0.101762	0.316005	
0.113387	0.248677	0.108394	0.186777	
0.133163	0.158951	0.105482	0.735227	
0.0666163	0.277778	0.0676487	0.0319215	
0.0331789	0.17554	0.147473	0.10376	
0.12168	0.275077	0.0424899	0.12985	
0.0596965	0.351852	0.0776728	0.228774	
0.18859	0.208025	0.13478	0.08308	
0.0144242	0.209877	0.176116	0.0924931	
0.115832	0.229552	0.147319	0.378734	
0.15828	0.78125	0.0563754	0.165388	
0.00639557	0.363668	0.176932	0.156383	
0.088198	0.248148	0.0260467	0.275224	
0.0103423	0.232804	0.0641491	0.270488	
0.00749657	0.262037	0.0707085	0.17729	
0.116892	0.480159	0.0835612	0.348492	
0.118815	0.357407	0.105223	0.226092	
0.0799805	0.0717593	0.109439	0.324897	
0.0459404	0.498148	0.0787901	0.194499	
0.21943	0.453704	0.121355	0.439986	
0.185386	0.123457	0.161595	0.212239	
0.07642	0.756944	0.0515425	0.289733	
0.16819	0.319478	0.127004	0.199036	
0.0702135	0.38933	0.0600651	0.141509	
0.159766	0.592593	0.0466347	0.109908	
0.0652451	0.0831129	0.0424142	0.163133	
0.0864649	0.212963	0.0596525	0.215749	
0.0329375	0.231173	0.0201615	0.248003	
0.158428	0.451389	0.0645773	0.289542	
0.00694295	0.169478	0.0431762	0.196074	
0.116523	0.135417	0.0346754	0.101483	
0.0517189	0.123843	0.168737	0.235279	
0.158971	0.307705	0.0936933	0.195455	
0.223604	0.0339506	0.140629	0.349829	
0.0899788	0.371914	0.0797612	0.233037	
0.128293	0.149206	0.108126	0.290111	
0.0753014	0.570106	0.131854	0.0468049	
0.0427422	0.559799	0.134497	0.0852789	
0.111155	0.506173	0.176006	0.166446	
0.03639	0.259259	0.0710161	0.0481503	
0.0389036	0.0763889	0.0582558	0.181102	
0.100406	0.114198	0.116062	0.207664	
0.108929	0.288889	0.124968	0.380785	
0.0662375	0.205556	0.101753	0.0917498	
0.0602361	0.216435	0.144685	0.237477	
0.11082	0.541667	0.0471019	0.035183	
0.0560875	0.334877	0.201789	0.0381321	
0.0590391	0.199074	0.0806978	0.287521	
0.0213389	0.0571759	0.236688	0.0137741	
0.232122	0.261684	0.0456957	0.184531	
0.0888157	0.42432	0.106892	0.186872	
0.15236	0.326389	0.0614833	0.188809	
0.0659021	0.187125	0.0477935	0.358811	
0.105913	0.460317	0.0645368	0.0966116	
0.00775382	0.324074	0.210304	0.0865186	
0.076728	0.343915	0.233607	0.135133	
0.155067	0.223765	0.102709	0.237816	
