thetap[0]	thetap[1]	thetap[2]	thetap[3]	
34.8905	21.5003	97.106	42.3898	
23.6548	15.9543	97.0995	27.5902	
34.6667	26.8668	71.1504	46.6635	
34.6729	26.3644	92.0478	42.3578	
24.7604	27.5559	97.2034	28.118	
29.3636	26.4242	79.8963	43.9372	
28.5112	21.0052	55.5608	33.5798	
30.1334	17.6633	91.1634	33.0568	
51.7206	20.7801	106.013	30.4276	
35.2349	22.9351	118.091	40.1477	
40.9801	17.339	97.4066	49.078	
37.2552	25.8319	99.9329	36.0232	
23.6248	23.129	83.7764	29.6345	
28.7583	21.0219	72.4356	30.8207	
24.441	10.9103	75.18	39.9604	
34.3989	21.4079	106.289	37.4975	
18.9182	25.7776	97.9894	28.8621	
40.4586	16.7893	65.5939	45.4397	
28.1774	26.1217	65.0497	40.0874	
32.0173	26.4861	52.3225	36.3029	
31.7315	16.7704	65.7604	30.5707	
23.9985	14.5276	84.2135	44.013	
15.9262	14.7271	95.8053	37.3072	
48.2675	22.8716	107.904	39.4347	
32.832	23.8216	97.7626	46.2977	
33.8222	22.8482	110.829	35.8971	
30.8753	16.1583	99.6628	24.0631	
25.4419	17.1235	96.2425	45.1003	
44.8452	22.9882	80.8584	49.5916	
30.7395	15.6918	99.5114	47.1684	
32.5648	12.4253	79.1653	26.9043	
35.1232	21.3124	61.043	47.8722	
35.4152	21.8471	76.6222	38.0638	
30.811	24.9916	60.5617	48.3915	
24.9186	23.4911	104.947	44.8982	
25.5419	8.09862	71.713	29.6293	
29.8888	23.0532	78.4322	32.7718	
47.8064	23.0748	87.3125	25.9372	
41.8546	25.4453	69.7501	39.2758	
24.7681	25.8534	89.0973	43.7356	
30.0982	24.7624	110.692	41.9859	
36.2372	23.0712	65.3315	43.5308	
41.4424	20.4341	63.433	49.6429	
20.2184	16.7198	81.0524	49.0971	
27.0967	22.82	70.1393	29.2687	
37.223	17.4802	97.5097	49.8837	
29.9597	21.425	116.204	37.444	
18.204	15.4308	103.848	47.9394	
32.1743	25.8496	99.3302	49.5832	
40.6122	16.0298	67.3824	44.2008	
32.137	14.1569	88.5094	43.7727	
41.226	24.7678	116.855	44.7184	
26.0567	22.3786	66.7849	32.789	
37.9267	19.669	75.7932	35.565	
30.7807	24.2113	111.165	48.1189	
31.6531	19.4707	75.0258	42.3917	
28.3664	20.5933	98.6239	41.2779	
24.005	19.0868	94.3997	39.436	
39.9857	17.0619	80.9577	33.0032	
29.8677	18.9187	71.3757	45.4822	
21.7828	21.9981	113.286	33.2477	
41.5424	14.3352	110.194	34.1231	
23.8677	14.9258	101.097	36.2759	
34.9237	27.1467	85.202	36.1301	
30.9933	23.9492	95.8266	49.5402	
25.7594	15.6028	67.9129	43.0542	
28.6629	24.1074	80.7181	45.5052	
23.8974	19.0038	80.2384	36.4083	
33.22	12.2379	114.759	29.8731	
23.1005	24.6587	80.9447	35.5708	
27.2768	25.9006	108.602	36.6409	
24.847	21.5191	63.6575	44.7083	
31.7801	20.6087	98.7542	48.5226	
24.9595	21.2207	73.9249	47.6199	
36.8704	11.4712	86.8873	43.768	
22.2716	26.5927	68.3922	38.7955	
41.3852	17.7587	88.7185	45.7386	
24.5949	22.2833	66.557	46.6901	
30.5924	22.9056	85.4427	34.3355	
33.8052	19.2182	88.8392	40.6365	
43.959	20.9184	91.1893	44.1169	
18.2367	27.0995	74.8088	49.2216	
29.4973	14.3787	83.3633	43.7603	
44.3076	18.8588	74.9308	39.7074	
19.532	26.8005	93.1849	47.5991	
25.2916	21.3885	76.6455	45.4959	
33.492	27.4886	101.31	31.7613	
37.1233	20.2974	85.6597	44.9006	
26.2838	15.6621	99.4535	39.9308	
45.4659	27.5637	76.3948	46.1271	
42.6691	24.1165	83.0884	31.8868	
23.4548	21.0308	104.25	46.1832	
32.0118	26.3038	103.691	34.6988	
32.7997	11.1179	90.6439	45.21	
30.3165	21.079	117.906	42.843	
39.0215	24.5568	120.901	46.7299	
23.9656	25.1455	82.3628	41.0256	
37.5963	19.8231	84.3043	39.2381	
36.6208	24.329	74.8123	35.3813	
26.1318	15.8309	84.8184	45.6675	
20.6514	26.8487	85.8294	45.3516	
16.6905	22.5985	76.4508	34.7708	
17.0766	26.5105	91.1939	47.2772	
51.5855	19.734	70.9798	35.6049	
33.2054	26.4875	85.848	41.4031	
31.1859	22.3973	93.8862	40.9813	
40.91	21.4831	87.1633	39.0109	
23.7776	22.6182	111.92	48.9492	
30.3089	24.8348	73.7268	32.3226	
27.3023	20.2301	103.893	30.9307	
30.4964	16.9775	90.29	47.3567	
28.7719	23.5728	88.1335	48.9904	
37.5321	23.007	117.86	43.1747	
12.683	23.8231	84.7974	30.0166	
32.4943	25.0705	62.9933	47.9659	
35.2963	21.0635	116.834	49.3772	
33.46	12.7476	68.2272	36.9971	
31.4569	19.0678	68.4859	49.7941	
27.8603	17.7532	116.25	29.3909	
26.9882	22.5399	67.9625	30.7181	
38.8998	25.6676	76.0925	37.537	
38.0718	18.9787	99.0506	32.4586	
30.5329	19.259	70.4775	45.1005	
33.1398	20.4915	90.8992	43.8931	
37.2772	23.7023	64.2139	38.841	
31.913	19.4858	107.405	46.3472	
25.3914	18.9931	85.5328	45.6599	
35.2554	12.5683	54.6601	34.3742	
39.275	18.5954	89.2049	48.546	
30.7123	24.0162	92.2976	47.1109	
27.8315	15.455	81.5502	43.3037	
23.2771	27.6557	94.0096	37.1445	
26.4947	26.6676	71.2898	34.1977	
24.8554	26.7406	103.599	47.7695	
33.0792	18.2935	80.7521	23.6684	
16.338	24.8448	82.3391	44.624	
42.7498	20.4584	65.9896	49.0161	
42.3416	25.73	104.285	31.9231	
36.3319	19.882	99.7423	31.6844	
24.3427	14.426	84.9293	48.1834	
29.0974	15.9699	71.0276	28.5542	
18.1375	26.9232	88.2882	45.2729	
25.584	21.2343	87.4352	45.3395	
30.3375	22.7776	57.097	31.8146	
23.472	21.9349	99.7387	43.4608	
32.3818	23.4687	80.9816	46.995	
31.9171	21.9231	89.2012	34.7858	
37.4865	18.1228	81.5177	33.7048	
28.5741	22.0795	120.379	41.0902	
18.5411	26.1115	78.7696	49.3767	
24.8771	23.4293	65.5495	39.7367	
17.145	25.0529	73.3452	47.5281	
40.9852	14.3652	55.9535	48.2611	
22.7025	13.066	85.9215	44.6314	
30.4731	18.9266	89.3991	46.5078	
23.4048	9.40105	90.9904	47.3402	
23.031	23.1726	70.5722	34.679	
30.6316	26.6725	105.505	35.7602	
44.8732	15.2058	65.3773	38.1989	
39.9897	20.2019	95.6911	37.313	
19.2615	22.2121	70.8926	42.0096	
50.5047	19.0716	104.054	33.8223	
26.6657	25.5583	114.293	39.1611	
30.1288	25.9551	91.9008	28.9936	
22.802	27.0735	93.9818	42.332	
18.2754	25.4105	81.4552	36.4378	
30.3153	20.4489	114.86	42.8696	
21.0859	10.9168	77.821	46.4969	
48.2691	16.2334	76.0659	31.1078	
27.6831	19.1435	59.9746	48.4146	
18.7559	21.8566	85.2698	35.7976	
31.502	25.7008	102.381	40.4684	
33.0468	23.2498	67.9581	48.904	
36.0236	26.8912	84.6006	44.5736	
38.0999	23.2452	105.903	21.2211	
36.0637	20.6331	102.362	44.3838	
37.6195	21.056	70.1605	48.9071	
27.2686	25.7826	99.5418	45.881	
23.286	20.4554	83.398	49.8066	
35.9877	25.8173	100.27	27.8266	
30.9957	24.865	111.459	35.0639	
27.5217	22.3967	87.1227	48.6802	
34.436	16.8602	111.944	48.7119	
29.8473	22.1435	117.86	39.2944	
31.9672	20.172	111.861	33.9213	
35.7514	19.9192	97.4176	46.1963	
32.5363	11.2304	80.8609	48.6552	
40.4324	18.4653	97.6081	47.2396	
43.8395	17.5746	75.0178	26.361	
28.9252	16.3	83.7535	25.6286	
38.5611	26.8787	75.7616	41.2271	
21.9213	23.5437	86.6303	48.2046	
35.2655	16.9898	86.1079	31.4554	
37.5343	24.3334	94.8884	49.9506	
30.2755	25.8069	87.3423	38.0183	
32.0477	12.8927	105.077	40.7888	
23.2822	23.8025	103.249	38.8886	
21.9963	21.6697	90.066	47.5304	
24.6674	17.6115	82.9703	43.1105	
39.2357	20.3295	79.7915	36.7981	
21.2619	25.2213	79.4164	31.8598	
23.1349	21.5678	86.4558	29.2684	
28.3545	19.7872	78.3521	37.322	
27.194	22.0838	98.8512	29.0701	
26.4013	13.4295	92.4082	29.7713	
32.8037	27.1448	83.9514	24.1325	
25.4715	26.844	78.6749	42.6547	
29.7924	23.9921	87.4388	41.007	
22.8065	20.2522	84.5749	44.6373	
45.33	16.0758	100.04	46.9137	
26.1982	17.2735	69.2783	22.9003	
34.9536	21.5259	76.0756	25.9445	
22.9652	13.8189	89.9767	49.8003	
30.1003	27.5402	102.634	40.8469	
29.8316	26.5682	98.1401	42.5096	
30.8142	21.8907	113.185	34.4079	
24.8855	27.4236	69.8601	37.2306	
37.2819	23.0358	88.1985	26.8639	
35.9124	21.1668	77.4881	49.2294	
34.7331	24.3543	116.002	40.2849	
28.1951	10.6785	119.397	47.4966	
21.2578	27.886	85.5627	36.2823	
22.4262	22.8531	89.6241	28.2072	
26.1863	24.579	79.2882	44.7506	
26.3181	16.3823	104.347	30.0714	
40.0117	15.4969	89.6914	48.7953	
37.6896	13.6101	80.7272	34.8003	
26.2294	25.2505	71.362	29.9342	
