Ttot[0]	Ttot[1]	Ttot[2]	Ttot[3]	
0.770275	0.364743	0.443108	0.330205	
0.773954	0.514749	0.470248	0.437461	
0.586847	0.518091	0.7582	0.372199	
0.629817	0.343683	0.621267	0.366017	
0.549523	0.569227	0.536295	0.480062	
0.775744	0.52849	0.566764	0.360168	
0.732893	0.472611	0.590503	0.358898	
0.66198	0.38759	0.470864	0.409407	
0.561516	0.333032	0.416347	0.571961	
0.913748	0.457715	0.389797	0.376203	
0.625068	0.430907	0.472436	0.325864	
0.639017	0.336992	0.533983	0.462352	
0.816731	0.47848	0.518784	0.431598	
0.844139	0.336654	0.549168	0.500641	
0.810813	0.685521	0.548378	0.415444	
0.530164	0.529299	0.45711	0.495146	
0.818472	0.38536	0.455756	0.40047	
0.555176	0.440386	0.545776	0.42524	
0.84103	0.403631	0.619773	0.442204	
0.674149	0.3574	0.754684	0.450173	
0.654105	0.400667	0.698771	0.504024	
0.780004	0.437254	0.504123	0.341315	
0.729142	0.584209	0.440393	0.37853	
0.615288	0.351112	0.516102	0.463099	
0.626308	0.313116	0.50787	0.390902	
0.516902	0.566631	0.455687	0.425317	
0.627842	0.60843	0.448109	0.46756	
0.719714	0.366762	0.604563	0.457583	
0.635475	0.45948	0.584737	0.284562	
0.850934	0.525935	0.539873	0.452157	
0.686016	0.836609	0.549821	0.488842	
0.667347	0.331785	0.591745	0.317489	
0.771254	0.735909	0.636898	0.479856	
0.703498	0.395222	0.671713	0.332264	
0.663867	0.696496	0.478068	0.335474	
0.749606	1.00996	0.53252	0.409141	
0.762236	0.315441	0.521082	0.549659	
0.560849	0.4837	0.537724	0.396765	
0.676046	0.326494	0.545567	0.358987	
0.834688	0.420425	0.535995	0.394654	
0.680571	0.420465	0.433799	0.371882	
0.602691	0.484367	0.56442	0.302202	
0.512308	0.513552	0.73256	0.349063	
0.79747	0.466013	0.528097	0.331959	
0.91821	0.354387	0.666393	0.385553	
0.609268	0.455541	0.478083	0.407117	
0.800274	0.356352	0.503947	0.370393	
0.692381	0.824886	0.488796	0.28521	
0.601442	0.504868	0.408248	0.338587	
0.546994	0.84293	0.637573	0.36031	
0.672674	0.470783	0.443639	0.446326	
0.713943	0.343042	0.445585	0.414589	
0.801865	0.259767	0.681728	0.401219	
0.485624	0.367937	0.606373	0.48677	
0.718835	0.519224	0.522148	0.301802	
0.767666	0.328917	0.549883	0.356383	
0.618365	0.63124	0.456041	0.298719	
0.775401	0.488535	0.589799	0.352004	
0.587016	0.560277	0.552156	0.423554	
0.653304	0.382842	0.606343	0.357699	
0.782338	0.396363	0.476467	0.423685	
0.717793	0.825518	0.465932	0.493468	
0.798479	0.584168	0.522404	0.355503	
0.471413	0.364254	0.509718	0.547966	
0.802205	0.816509	0.465865	0.439112	
0.745023	0.487597	0.749666	0.30211	
0.60326	0.393234	0.606586	0.3057	
0.688531	0.581372	0.541404	0.325671	
0.649456	0.537687	0.549174	0.493102	
1.01645	0.311812	0.579635	0.333728	
0.674089	0.365306	0.487102	0.436454	
0.735204	0.503911	0.51404	0.313508	
0.651946	0.348474	0.576995	0.355715	
0.757554	0.274859	0.516316	0.265204	
0.661186	0.620515	0.554986	0.353999	
0.773568	0.262549	0.708169	0.435793	
0.607429	0.50955	0.504745	0.315773	
0.854107	0.456997	0.713763	0.302321	
0.688312	0.441861	0.627388	0.369502	
0.646786	0.460222	0.581768	0.440392	
0.805616	0.539799	0.521817	0.362962	
1.02579	0.341197	0.594697	0.384588	
0.78748	0.791523	0.553475	0.351368	
0.656001	0.452559	0.681487	0.469355	
0.815904	0.405006	0.568404	0.296566	
0.705094	0.435533	0.551498	0.352746	
0.655904	0.548854	0.506174	0.44481	
0.702461	0.393708	0.512895	0.348513	
0.795203	0.357098	0.45425	0.481663	
0.575639	0.541835	0.54766	0.303486	
0.6697	0.617163	0.537328	0.486138	
0.772124	0.427784	0.464915	0.421908	
0.663755	0.258904	0.531285	0.387534	
0.626965	0.398694	0.500923	0.379832	
0.64305	0.47383	0.490361	0.429283	
0.498349	0.501154	0.489068	0.355218	
0.778497	0.444374	0.465374	0.325777	
0.795785	0.3914	0.595602	0.432534	
0.615114	0.327215	0.494455	0.358612	
0.718261	0.489585	0.576015	0.258216	
1.14166	0.518901	0.509737	0.530653	
0.807534	0.4719	0.604369	0.524458	
0.723983	0.483671	0.545704	0.309432	
0.583492	0.499881	0.529223	0.408102	
0.672804	0.353014	0.558735	0.44106	
0.692016	0.483215	0.456972	0.355219	
0.563945	0.523985	0.545342	0.410405	
0.70372	0.276346	0.455196	0.265438	
0.679419	0.303259	0.617054	0.394652	
0.655478	0.548892	0.495153	0.732367	
0.573513	0.791615	0.538031	0.430735	
