mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 02:03:59 2008 

Input data from the file: ex20.txt

Print_neuttest:        2
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 672

N_loci:                1
Nlinked_loci:          5
Pos_linked:            12 500, 1056 2300, 5020 7050, 9590 10900, 11200 12349
Factorn_chr:           1.000000
N_sites:               12350
N_samples:             12
Thetaw:                98.3
No_rec_males:          0
Recombination:         60

Pop_size:              1.00E+06
Ifselection:           1
Pop_sel:               20000
Sel_nt:                2000
Sinit:                 0

Recombination parameter value for the studied region and all the region until the selective position.


Neutral tests (excluding multiple hits positions)
avg(TD)	var(TD)	avg(Fs)	var(Fs)	avg(FD*)	var(FD*)	avg(FF*)	var(FF*)	avg(FD)	var(FD) 	avg(FF)	var(FF)	avg(H)	var(H)	avg(B)	var(B)	avg(Q)	var(Q)	avg(ZA)	var(ZA)	avg(Fst)	var(Fst)	avg(Kw)	var(Kw) 	avg(Hw)	var(Hw)	avg(R2)	var(R2)	avg(S)	var(S)	avg(pi_w)	var(pi_w)	avg(pi_b)	var(pi_b)	avg(ThetaWatt)	var(thetaWatt)	avg(ThetaTaj)	var(ThetaTaj)	avg(ThetaFW)	var(ThetaFW)	avg(D/Dmin)	var(D/Dmin)	avg(Hnorm)	var(Hnorm)	avg(maxhap)	var(maxhap)	avg(maxhap1)	var(maxhap1)	avg(Rm)	var(Rm)	avg(theta_fl)	var(theta_fl)	avg(theta_l)	var(theta_l)	avg(zeng_E)	var(zeng_E)	avg(EW-test)	var(EW-test)	avg(Fstw)	var(Fstw)	avg(Pwh)	var(Pwh)
-1.65948	0.202593	1.56306	3.15131	-2.01222	0.350573	-2.17595	0.403945	-1.92732	0.778556	-2.19979	0.76006	-0.30303	2.03168	1	na	1	na	1	na	na	na	0.133333	0.00208333	0.1	0.00833333	0.276385	2.08167e-17	2.8	11.7	0	0	0	0	0.92719	1.28294	0.466667	0.325	0.769697	2.73547	-1	0	-0.306615	1.99127	0.95	0.00208333	0.966667	0.00208333	0	0	2.4	9.3	0.618182	1.02231	-0.803548	1.57584	0.908333	0.00700231	na	na	6	0	
-1.14053	na	-0.475656	na	-1.32974	na	-1.44334	na	-1.42122	na	-1.56732	na	0.030303	0.00459137	na	na	na	na	na	na	na	na	0.1	0.00138889	0.0333333	0.00555556	0.276385	na	0.2	0.2	0	0	0	0	0.0662279	0.0219306	0.0333333	0.00555556	0.0030303	4.59137e-05	-1	na	0.338215	na	0.983333	0.00138889	1	0	0	0	0.2	0.2	0.2	0.0595041	-0.90177	na	0.969444	0.00466821	na	na	6	na	
na	na	na	na	na	na	na	na	na	na	na	na	0	0	na	na	na	na	na	na	na	na	0.0833333	1.0842e-18	0	0	na	na	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	1	0	1	0	0	0	0	0	0.0909091	0	na	na	1	0	na	na	na	na	
na	na	na	na	na	na	na	na	na	na	na	na	0	0	na	na	na	na	na	na	na	na	0.0833333	1.0842e-18	0	0	na	na	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	1	0	1	0	0	0	0	0	0.0909091	0	na	na	1	0	na	na	na	na	
-1.14053	na	-0.475656	na	-1.32974	na	-1.44334	na	-1.42122	na	-1.56732	na	0.030303	0.00459137	na	na	na	na	na	na	na	na	0.1	0.00138889	0.0333333	0.00555556	0.276385	na	0.2	0.2	0	0	0	0	0.0662279	0.0219306	0.0333333	0.00555556	0.0030303	4.59137e-05	-1	na	0.338215	na	0.983333	0.00138889	1	0	0	0	0.2	0.2	0.0909091	0	-0.90177	na	0.969444	0.00466821	na	na	6	na	
na	na	na	na	na	na	na	na	na	na	na	na	0	0	na	na	na	na	na	na	na	na	0.0833333	1.0842e-18	0	0	na	na	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	1	0	1	0	0	0	0	0	0.0909091	0	na	na	1	0	na	na	na	na	
na	na	na	na	na	na	na	na	na	na	na	na	0	0	na	na	na	na	na	na	na	na	0.0833333	1.0842e-18	0	0	na	na	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	1	0	1	0	0	0	0	0	0.0909091	0	na	na	1	0	na	na	na	na	
-1.14053	na	-0.475656	na	-1.32974	na	-1.44334	na	-1.42122	na	-1.56732	na	0.030303	0.00459137	na	na	na	na	na	na	na	na	0.1	0.00138889	0.0333333	0.00555556	0.276385	na	0.2	0.2	0	0	0	0	0.0662279	0.0219306	0.0333333	0.00555556	0.0030303	4.59137e-05	-1	na	0.338215	na	0.983333	0.00138889	1	0	0	0	0.2	0.2	0.0909091	0	-0.90177	na	0.969444	0.00466821	na	na	6	na	
na	na	na	na	na	na	na	na	na	na	na	na	0	0	na	na	na	na	na	na	na	na	0.0833333	1.0842e-18	0	0	na	na	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	1	0	1	0	0	0	0	0	0.0909091	0	na	na	1	0	na	na	na	na	
-1.14053	na	-0.475656	na	-1.32974	na	-1.44334	na	-1.42122	na	-1.56732	na	0.030303	0.00459137	na	na	na	na	na	na	na	na	0.1	0.00138889	0.0333333	0.00555556	0.276385	na	0.2	0.2	0	0	0	0	0.0662279	0.0219306	0.0333333	0.00555556	0.0030303	4.59137e-05	-1	na	0.338215	na	0.983333	0.00138889	1	0	0	0	0.2	0.2	0.0909091	0	-0.90177	na	0.969444	0.00466821	na	na	6	na	
na	na	na	na	na	na	na	na	na	na	na	na	0	0	na	na	na	na	na	na	na	na	0.0833333	1.0842e-18	0	0	na	na	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	1	0	1	0	0	0	0	0	0.0909091	0	na	na	1	0	na	na	na	na	
na	na	na	na	na	na	na	na	na	na	na	na	0	0	na	na	na	na	na	na	na	na	0.0833333	1.0842e-18	0	0	na	na	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	1	0	1	0	0	0	0	0	0.0909091	0	na	na	1	0	na	na	na	na	
-1.14053	na	-0.475656	na	-1.32974	na	-1.44334	na	-1.42122	na	-1.56732	na	0.030303	0.00459137	na	na	na	na	na	na	na	na	0.1	0.00138889	0.0333333	0.00555556	0.276385	na	0.2	0.2	0	0	0	0	0.0662279	0.0219306	0.0333333	0.00555556	0.0030303	4.59137e-05	-1	na	0.338215	na	0.983333	0.00138889	1	0	0	0	0.2	0.2	0.0909091	0	-0.90177	na	0.969444	0.00466821	na	na	6	na	
