B[0]	B[1]	B[2]	B[3]	B[4]	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0	
na	na	na	na	na	
na	na	na	0	1	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	na	
na	na	na	na	na	
na	na	1	0.627907	0.333333	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	1	
na	na	1	0.722222	0.571429	
na	na	na	na	na	
na	na	na	na	na	
1	1	na	na	na	
na	na	na	1	0.894737	
na	na	0	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	0	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	1	0.875	1	
na	na	na	na	na	
na	na	1	1	1	
na	na	na	0	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	1	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	1	1	0.909091	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	0	na	0.857143	
1	na	na	na	na	
na	na	1	1	1	
na	na	na	na	na	
1	na	na	na	0	
na	na	na	na	na	
na	na	na	0.846154	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	0	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	1	0.9	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.5	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	1	
na	na	1	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	1	
na	na	na	na	na	
na	na	1	1	1	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	0.5	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	0.777778	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	1	0.142857	0.777778	
na	na	na	na	na	
na	na	na	na	na	
1	1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	0	na	na	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	1	na	na	na	
na	na	1	1	0.818182	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	na	
na	na	na	na	na	
na	1	1	1	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	0.666667	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0	0.810811	0.666667	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	0.8	1	1	1	
na	na	na	1	1	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	1	0	na	na	
na	na	na	na	1	
na	na	1	1	1	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	1	1	0.833333	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	0.714286	1	
na	na	0.296296	0.346154	0.1875	
na	na	na	1	1	
na	na	na	1	1	
1	1	1	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	0.833333	0.6	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	na	na	na	1	
1	0	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	na	na	na	na	
