D_Dmin[0]	D_Dmin[1]	D_Dmin[2]	D_Dmin[3]	D_Dmin[4]	
na	na	-1	-1	-1	
na	-1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	na	na	
na	na	na	na	na	
na	na	na	-1	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	na	na	
na	na	na	na	-1	
na	na	-1	na	na	
na	na	na	-0.032721	-1	
na	na	na	na	na	
na	na	na	na	-1	
na	na	na	na	na	
na	na	na	na	na	
na	-1	na	na	na	
na	na	na	-1	-1	
na	na	na	na	-1	
na	na	-1	-0.943471	-0.689089	
na	na	na	na	na	
na	na	na	-1	na	
-1	na	na	na	na	
na	na	-1	-1	-1	
na	na	-1	-1	-1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1	na	na	na	
na	na	-1	na	na	
na	-1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	na	na	
na	na	-1	-1	-1	
na	na	-1	na	na	
na	na	na	na	na	
na	na	-1	-1	-1	
na	na	-1	-0.86909	-0.792726	
na	na	na	na	-1	
na	na	na	na	na	
-1	-1	na	-1	na	
na	na	na	-1	-1	
na	na	-1	na	na	
na	na	-1	na	na	
na	na	na	na	na	
na	na	na	na	-1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	-1	na	
na	na	na	-1	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	na	na	
na	na	na	-1	-1	
na	na	na	na	na	
na	na	na	na	-1	
na	na	-1	na	na	
na	na	-0.170904	-0.263025	-0.170904	
na	na	na	na	na	
na	na	-1	-1	-1	
na	na	-1	-1	na	
-1	-1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	-1	-1	
na	0.473949	na	na	-1	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	na	na	
na	na	na	-1	-1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1	
na	na	-1	na	na	
na	na	na	-1	-1	
na	-1	-1	-1	-1	
na	na	na	na	na	
na	na	-1	na	na	
na	na	-1	-1	-1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	-1	-1	
na	na	na	na	na	
-1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	na	na	
na	na	na	na	na	
na	na	na	-1	na	
na	na	na	na	na	
na	na	na	-1	-1	
na	na	na	na	-1	
na	na	na	na	na	
na	-1	-1	-1	na	
na	na	na	-1	na	
na	na	-1	na	-1	
na	na	na	na	na	
na	na	-1	na	-1	
-1	-1	na	na	na	
na	na	-1	-1	-1	
na	na	na	na	na	
-1	na	-1	na	-0.508684	
na	na	na	na	na	
na	na	-1	-0.230125	-0.170904	
na	na	na	na	na	
na	-1	-1	na	na	
na	na	-1	na	na	
na	-1	-1	-1	-1	
na	na	na	na	-1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1	
na	na	na	na	na	
-1	na	na	na	-0.585452	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1	-1	-1	-1	
na	na	na	-1	na	
na	na	na	na	na	
na	na	na	na	-1	
na	na	-1	na	-1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	-1	-1	
na	na	na	na	na	
na	na	na	na	-1	
na	na	na	na	na	
na	na	-1	-1	-1	
na	na	-1	na	-1	
na	na	na	-1	-1	
na	na	na	na	na	
na	-1	-1	na	na	
na	na	-1	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1	
na	na	-1	-1	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-0.170904	
na	na	na	na	-1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	-1	-1	
na	na	na	na	-1	
-1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1	na	na	1.21092	
-1	-1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1	na	na	-1	
na	na	na	na	na	
na	-1	na	na	na	
na	na	-1	na	na	
na	na	-1	-1	-1	
na	na	na	na	na	
na	na	-1	-1	-1	
na	-1	na	-0.170904	-0.170904	
na	na	na	na	na	
na	-1	na	-1	-1	
na	na	na	na	na	
-1	na	na	1.21092	1.21092	
na	na	na	na	na	
na	na	-1	na	na	
na	na	na	-0.170904	-0.170904	
na	na	na	-1	-1	
-1	na	na	na	na	
na	na	na	-1	-1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
-1	na	na	na	na	
na	na	na	na	na	
na	na	-0.447269	na	-1	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	-1	-1	
na	-1	na	na	na	
-1	-1	-1	na	na	
na	na	na	na	na	
na	na	na	-1	na	
na	na	na	na	na	
na	na	na	-1	na	
na	na	-1	-1	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
-1	na	na	-1	na	
na	na	na	1.21092	na	
na	na	na	na	na	
0.934558	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1	-1	na	na	
na	-1	na	na	-1	
na	na	na	-1	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	-1	-1	
na	na	na	na	na	
-1	-1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	-1	na	
na	na	na	-1	na	
na	-1	na	na	na	
na	-1	-1	-1	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	-1	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	0.473949	0.473949	
na	na	-1	-1	na	
na	na	-1	na	na	
na	na	na	na	na	
na	na	-1	na	na	
na	-1	na	na	-1	
na	-1	-1	-0.792726	-1	
na	na	na	na	na	
na	na	na	na	na	
-1	-1	na	na	na	
na	na	na	na	na	
na	-1	na	-1	na	
na	na	na	-1	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	-0.170904	-0.170904	
-1	na	na	na	na	
-1	na	na	na	-1	
na	na	na	-1	-1	
na	na	na	na	na	
na	na	-1	na	na	
na	na	na	na	na	
-1	na	na	na	na	
na	na	na	na	na	
na	na	na	-1	na	
-0.170904	-0.170904	na	na	na	
na	na	-0.170904	-0.170904	-0.239995	
na	na	na	na	na	
na	na	na	na	-1	
na	na	na	na	na	
na	na	na	-1	-1	
na	na	na	-1	na	
-1	-1	-1	-1	-1	
na	na	na	na	na	
na	na	na	-0.170904	-0.170904	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1	na	na	na	
na	-1	na	na	na	
na	-1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1	-1	-1	-1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1	-0.585452	-0.872447	
-1	na	-1	-1	na	
na	na	-1	na	na	
na	na	na	na	na	
na	na	-1	na	-1	
na	na	na	na	na	
-1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1	
na	na	na	na	-1	
na	na	na	-1	-1	
-1	na	na	na	na	
na	-1	na	na	-1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1	na	na	na	
na	-1	na	na	na	
na	na	na	na	na	
na	na	na	na	-1	
na	na	na	na	-1	
na	na	na	-1	na	
