EW[0]	EW[1]	EW[2]	EW[3]	EW[4]	
1	1	0.847222	0.847222	0.847222	
1	0.847222	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	0.847222	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	0.847222	1	1	
1	1	1	1	1	
1	1	1	0.847222	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	0.847222	1	1	
1	1	1	1	0.708333	
1	1	0.847222	1	1	
1	1	1	0.458333	0.847222	
1	1	1	1	1	
1	1	1	1	0.847222	
1	1	1	1	1	
1	1	1	1	1	
1	0.847222	1	1	1	
1	1	1	0.847222	0.847222	
1	1	1	1	0.847222	
1	1	0.847222	0.708333	0.708333	
1	1	1	1	1	
1	1	1	0.847222	1	
0.847222	1	1	1	1	
1	1	0.847222	0.847222	0.847222	
1	1	0.847222	0.847222	0.847222	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	0.847222	1	1	1	
1	1	0.847222	1	1	
1	0.847222	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	0.847222	1	1	
1	1	0.847222	0.847222	0.847222	
1	1	0.847222	1	1	
1	1	1	1	1	
1	1	0.847222	0.847222	0.847222	
1	1	0.847222	0.708333	0.708333	
1	1	1	1	0.847222	
1	1	1	1	1	
0.847222	0.847222	1	0.847222	1	
1	1	1	0.847222	0.708333	
1	1	0.583333	1	1	
1	1	0.847222	1	1	
1	1	1	1	1	
1	1	1	1	0.847222	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	0.708333	1	
1	1	1	0.847222	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	0.847222	1	1	
1	1	1	0.847222	0.847222	
1	1	1	1	1	
1	1	1	1	0.847222	
1	1	0.847222	1	1	
1	1	0.722222	0.597222	0.722222	
1	1	1	1	1	
1	1	0.847222	0.847222	0.847222	
1	1	0.847222	0.708333	1	
0.847222	0.847222	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	0.847222	0.847222	0.847222	
1	0.625	1	1	0.847222	
1	1	1	1	1	
1	1	1	1	1	
1	1	0.847222	1	1	
1	1	1	0.847222	0.847222	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	0.847222	
1	1	0.847222	1	1	
1	1	1	0.847222	0.847222	
1	0.847222	0.847222	0.708333	0.847222	
1	1	1	1	1	
1	1	0.847222	1	1	
1	1	0.847222	0.847222	0.847222	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	0.847222	0.847222	0.847222	
1	1	1	1	1	
0.847222	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	0.847222	1	1	
1	1	1	1	1	
1	1	1	0.847222	1	
1	1	1	1	1	
1	1	1	0.847222	0.847222	
1	1	1	1	0.847222	
1	1	1	1	1	
1	0.847222	0.847222	0.847222	1	
1	1	1	0.847222	1	
1	1	0.847222	1	0.847222	
1	1	1	1	1	
1	1	0.708333	1	0.708333	
0.847222	0.847222	1	1	1	
