FD[0]	FD[1]	FD[2]	FD[3]	FD[4]	
na	na	-1.42122	-1.41456	-2.94617	
na	-1.42122	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.42122	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.42122	na	na	
na	na	na	na	na	
na	na	na	-1.42122	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.42122	na	na	
na	na	na	na	-1.91219	
na	na	-1.42122	na	na	
na	na	na	-0.482752	-0.482752	
na	na	na	na	na	
na	na	na	na	-0.378317	
na	na	na	na	na	
na	na	na	na	na	
na	-1.42122	na	na	na	
na	na	na	-1.5132	-1.42122	
na	na	na	na	-1.42122	
na	na	-0.580859	-1.01416	-0.563639	
na	na	na	na	na	
na	na	na	-1.42122	na	
-1.42122	na	na	na	na	
na	na	-1.42122	-2.04288	-1.05927	
na	na	-1.42122	-0.160021	-1.05927	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.42122	na	na	na	
na	na	-1.42122	na	na	
na	-1.42122	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.42122	na	na	
na	na	-1.42122	-1.42122	-1.42122	
na	na	-1.42122	na	na	
na	na	na	na	na	
na	na	-1.05927	-0.482752	-0.710013	
na	na	-1.34127	-0.490135	-1.34127	
na	na	na	na	-1.42122	
na	na	na	na	na	
1.10807	-1.55257	na	-1.42122	na	
na	na	na	-0.746665	-0.927712	
na	na	-2.23817	na	na	
na	na	-1.42122	na	na	
na	na	na	na	na	
na	na	na	na	-1.42122	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	-1.91219	na	
na	na	na	-1.42122	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.42122	na	na	
na	na	na	1.10807	-1.05501	
na	na	na	na	na	
na	na	na	na	-2.23817	
na	na	-1.42122	na	na	
na	na	1.55674	1.03439	1.68833	
na	na	na	na	na	
na	na	0.523007	-0.664846	-1.63775	
na	na	-1.42122	-1.91219	na	
-1.91219	0.703619	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.00734185	-0.813901	0.523007	
na	0.703619	na	na	-1.41456	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.42122	na	na	
na	na	na	-1.42122	1.22741	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1.42122	
na	na	-1.42122	na	na	
na	na	na	-1.91181	0.300754	
na	-1.55257	-0.664846	-1.0682	-0.746665	
na	na	na	na	na	
na	na	-1.42122	na	na	
na	na	-1.42122	-1.2959	-1.18659	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.42122	-1.52339	-0.0110062	
na	na	na	na	na	
-2.23817	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.42122	na	na	
na	na	na	na	na	
na	na	na	-1.42122	na	
na	na	na	na	na	
na	na	na	-1.06614	-1.44924	
na	na	na	na	-1.42122	
na	na	na	na	na	
na	-1.42122	-0.940593	-1.50297	na	
na	na	na	-1.42122	na	
na	na	-1.42122	na	-0.0103146	
na	na	na	na	na	
na	na	-1.91219	na	-0.770733	
-1.91219	-1.42122	na	na	na	
na	na	-1.79082	-2.39827	-0.398724	
na	na	na	na	na	
-0.711903	na	-1.42122	na	-1.12276	
na	na	na	na	na	
na	na	-1.42122	1.3433	1.45859	
na	na	na	na	na	
na	-1.42122	-1.42122	na	na	
na	na	-1.42122	na	na	
na	-1.42122	-0.277865	-0.00734185	-1.55257	
na	na	na	na	-1.42122	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.42122	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.91219	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1.42122	
na	na	na	na	na	
-1.42122	na	na	na	-0.482752	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	0.300754	0.28763	-0.559748	-1.68767	
na	na	na	-1.42122	na	
na	na	na	na	na	
na	na	na	na	-1.91219	
na	na	-1.42122	na	-1.42122	
na	na	na	na	na	
na	na	na	na	na	
