FDn[0]	FDn[1]	FDn[2]	FDn[3]	FDn[4]	
na	na	-1.32974	-2.31814	-2.38877	
na	-1.32974	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.32974	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.32974	na	na	
na	na	na	na	na	
na	na	na	-1.32974	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.32974	na	na	
na	na	na	na	-1.72038	
na	na	-1.32974	na	na	
na	na	na	-0.373719	-1.72038	
na	na	na	na	na	
na	na	na	na	-2.74239	
na	na	na	na	na	
na	na	na	na	na	
na	-1.32974	na	na	na	
na	na	na	-2.71667	-1.32974	
na	na	na	na	-1.32974	
na	na	-2.77354	-2.57275	-1.10891	
na	na	na	na	na	
na	na	na	-1.32974	na	
-1.32974	na	na	na	na	
na	na	-1.32974	-2.77354	-2.66733	
na	na	-1.32974	-2.56838	-2.66733	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.32974	na	na	na	
na	na	-1.32974	na	na	
na	-1.32974	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.32974	na	na	
na	na	-1.32974	-1.32974	-1.32974	
na	na	-1.32974	na	na	
na	na	na	na	na	
na	na	-2.66733	-1.72038	-2.66733	
na	na	-2.44619	-2.05526	-1.48879	
na	na	na	na	-1.32974	
na	na	na	na	na	
-1.95374	-2.11272	na	-1.32974	na	
na	na	na	-2.70188	-2.74239	
na	na	-1.95374	na	na	
na	na	-1.32974	na	na	
na	na	na	na	na	
na	na	na	na	-1.32974	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	-1.72038	na	
na	na	na	-1.32974	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.32974	na	na	
na	na	na	-1.95374	-2.49383	
na	na	na	na	na	
na	na	na	na	-1.95374	
na	na	-1.32974	na	na	
na	na	1.41036	0.976563	1.48403	
na	na	na	na	na	
na	na	-2.22902	-2.62409	-2.73012	
na	na	-1.32974	-1.72038	na	
-1.72038	-1.32974	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.95374	-2.53402	-2.22902	
na	0.752024	na	na	-2.31814	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.32974	na	na	
na	na	na	-1.32974	-2.11272	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1.32974	
na	na	-1.32974	na	na	
na	na	na	-2.44619	-2.11272	
na	-2.11272	-2.62409	-2.77354	-2.70188	
na	na	na	na	na	
na	na	-1.32974	na	na	
na	na	-1.32974	-2.53402	-2.78238	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
