FF[0]	FF[1]	FF[2]	FF[3]	FF[4]	
na	na	-1.56732	-1.83777	-3.19429	
na	-1.56732	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.56732	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.56732	na	na	
na	na	na	na	na	
na	na	na	-1.56732	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.56732	na	na	
na	na	na	na	-2.09985	
na	na	-1.56732	na	na	
na	na	na	-0.43906	-0.839941	
na	na	na	na	na	
na	na	na	na	-1.10231	
na	na	na	na	na	
na	na	na	na	na	
na	-1.56732	na	na	na	
na	na	na	-2.06779	-1.56732	
na	na	na	na	-1.56732	
na	na	-1.29037	-1.66277	-1.00343	
na	na	na	na	na	
na	na	na	-1.56732	na	
-1.56732	na	na	na	na	
na	na	-1.56732	-2.54586	-1.65676	
na	na	-1.56732	-0.839493	-1.65676	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.56732	na	na	na	
na	na	-1.56732	na	na	
na	-1.56732	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.56732	na	na	
na	na	-1.56732	-1.56732	-1.56732	
na	na	-1.56732	na	na	
na	na	na	na	na	
na	na	-1.65676	-0.839941	-1.35553	
na	na	-1.81759	-1.09205	-1.68239	
na	na	na	na	-1.56732	
na	na	na	na	na	
0.489863	-1.89369	na	-1.56732	na	
na	na	na	-1.40164	-1.57473	
na	na	-2.44932	na	na	
na	na	-1.56732	na	na	
na	na	na	na	na	
na	na	na	na	-1.56732	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	-2.09985	na	
na	na	na	-1.56732	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.56732	na	na	
na	na	na	0.489863	-1.58618	
na	na	na	na	na	
na	na	na	na	-2.44932	
na	na	-1.56732	na	na	
na	na	1.23599	0.720992	1.33468	
na	na	na	na	na	
na	na	-0.116144	-1.29875	-2.18036	
na	na	-1.56732	-2.09985	na	
-2.09985	0.313463	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.489863	-1.39219	-0.116144	
na	0.76941	na	na	-1.83777	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.56732	na	na	
na	na	na	-1.56732	0.541053	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1.56732	
na	na	-1.56732	na	na	
na	na	na	-2.31329	-0.270527	
na	-1.89369	-1.29875	-1.70887	-1.40164	
na	na	na	na	na	
na	na	-1.56732	na	na	
na	na	-1.56732	-1.80984	-1.81433	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.56732	-2.10687	-0.722905	
na	na	na	na	na	
-2.44932	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.56732	na	na	
na	na	na	na	na	
na	na	na	-1.56732	na	
na	na	na	na	na	
na	na	na	-1.69855	-1.97635	
na	na	na	na	-1.56732	
na	na	na	na	na	
na	-1.56732	-1.59512	-2.00187	na	
na	na	na	-1.56732	na	
na	na	-1.56732	na	-0.679792	
na	na	na	na	na	
na	na	-2.09985	na	-1.32188	
-2.09985	-1.56732	na	na	na	
na	na	-2.34519	-2.77679	-1.15754	
na	na	na	na	na	
-1.22518	na	-1.56732	na	-1.23208	
na	na	na	na	na	
na	na	-1.56732	0.990485	1.16156	
na	na	na	na	na	
na	-1.56732	-1.56732	na	na	
na	na	-1.56732	na	na	
na	-1.56732	-1.05119	-0.489863	-1.89369	
na	na	na	na	-1.56732	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.56732	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-2.09985	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1.56732	
na	na	na	na	na	
-1.56732	na	na	na	-0.668135	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-0.270527	-0.452035	-1.28985	-2.09911	
na	na	na	-1.56732	na	
na	na	na	na	na	
na	na	na	na	-2.09985	
na	na	-1.56732	na	-1.56732	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-2.44932	-1.65676	-1.13299	
na	na	na	na	na	
na	na	na	na	-1.56732	
na	na	na	na	na	
na	na	-0.839493	-1.08211	-1.55151	
na	na	-2.20043	na	-1.56732	
na	na	na	-0.839941	-2.09985	
na	na	na	na	na	
na	-1.56732	-1.56732	na	na	
na	na	-1.56732	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0.41997	
na	na	-1.56732	-1.56732	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0.569933	
na	na	na	na	-1.56732	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.56732	-1.56732	-1.56732	
na	na	na	na	-1.56732	
-0.839941	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.56732	na	na	0.997383	
-0.556875	-0.839493	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.56732	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.56732	na	na	-1.56732	
na	na	na	na	na	
na	-1.56732	na	na	na	
na	na	-1.56732	na	na	
na	na	-0.612589	-0.116144	-1.32188	
na	na	na	na	na	
na	na	-1.08211	-1.50988	-2.09911	
na	-1.56732	na	1.33468	0.763583	
na	na	na	na	na	
na	-1.56732	na	-1.46959	-0.839941	
na	na	na	na	na	
-1.56732	na	na	2.42208	1.84775	
na	na	na	na	na	
na	na	-1.56732	na	na	
na	na	na	1.29153	1.38405	
na	na	na	-1.56732	-1.56732	
-1.56732	na	na	na	na	
na	na	na	-1.00392	-0.226597	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
-2.31329	na	na	na	na	
na	na	na	na	na	
na	na	-0.222665	na	-1.46959	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.56732	0.313463	-1.81759	
na	-1.56732	na	na	na	
-1.56732	-0.556875	-1.56732	na	na	
na	na	na	na	na	
na	na	na	-1.56732	na	
na	na	na	na	na	
na	na	na	-1.56732	na	
na	na	-1.56732	-1.56732	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
-1.56732	na	na	-1.56732	na	
na	na	na	0.997383	na	
na	na	na	na	na	
1.42506	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.56732	-2.09985	na	na	
na	-1.56732	na	na	-1.56732	
na	na	na	-1.56732	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.612589	-2.04715	-1.80984	
na	na	na	na	na	
-2.03938	0.313463	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	-1.56732	na	
na	na	na	-1.56732	na	
na	-1.56732	na	na	na	
na	-1.56732	-1.56732	-1.56732	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.56732	0.313463	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1.42541	1.03084	
na	na	-1.56732	-1.56732	na	
na	na	-1.56732	na	na	
na	na	na	na	na	
na	na	-1.56732	na	na	
na	-1.56732	na	na	-1.08211	
na	-1.56732	-1.46574	-0.690983	-1.80984	
na	na	na	na	na	
na	na	na	na	na	
0.41997	-0.489863	na	na	na	
na	na	na	na	na	
na	-1.56732	na	-1.56732	na	
na	na	na	-1.56732	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.56732	0.569933	1.36923	
-1.56732	na	na	na	na	
-0.839941	na	na	na	-1.56732	
na	na	na	-1.39219	-1.80791	
na	na	na	na	na	
na	na	-2.09985	na	na	
na	na	na	na	na	
-2.09985	na	na	na	na	
na	na	na	na	na	
na	na	na	-1.56732	na	
1.16156	1.23599	na	na	na	
na	na	1.29153	0.983733	0.903632	
na	na	na	na	na	
na	na	na	na	-1.56732	
na	na	na	na	na	
na	na	na	-2.2275	-1.56732	
na	na	na	-1.56732	na	
-1.56732	-0.679792	-1.37857	-1.08211	-1.56732	
na	na	na	na	na	
na	na	na	0.569933	1.38405	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.56732	na	na	na	
na	-1.56732	na	na	na	
na	-1.56732	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.56732	-1.44024	-1.08211	0.313463	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-2.09985	-0.277047	-1.88395	
0.41997	na	-1.56732	-1.56732	na	
na	na	-1.56732	na	na	
na	na	na	na	na	
na	na	-1.56732	na	-1.56732	
na	na	na	na	na	
-1.56732	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1.56732	
na	na	na	na	-1.56732	
na	na	na	-1.08436	-0.282336	
0.313463	na	na	na	na	
na	-1.56732	na	na	-0.456328	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.56732	na	na	na	
na	-1.56732	na	na	na	
na	na	na	na	na	
na	na	na	na	-1.56732	
na	na	na	na	-1.56732	
na	na	na	-1.56732	na	
na	na	na	na	na	
na	na	na	na	-1.56732	
na	na	na	na	na	
na	na	na	na	na	
-1.08211	-2.45036	-2.53017	-1.46959	-1.33852	
na	-1.56732	na	-1.6281	-1.22518	
-1.83777	-1.56732	na	na	na	
na	na	na	na	-1.56732	
na	na	-1.56732	na	na	
-0.839941	na	na	na	na	
na	na	na	0.911893	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
