FFn[0]	FFn[1]	FFn[2]	FFn[3]	FFn[4]	
na	na	-1.44334	-2.50464	-2.57986	
na	-1.44334	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.44334	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.44334	na	na	
na	na	na	na	na	
na	na	na	-1.44334	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.44334	na	na	
na	na	na	na	-1.86451	
na	na	-1.44334	na	na	
na	na	na	-0.329586	-1.86451	
na	na	na	na	na	
na	na	na	na	-2.95498	
na	na	na	na	na	
na	na	na	na	na	
na	-1.44334	na	na	na	
na	na	na	-2.92779	-1.44334	
na	na	na	na	-1.44334	
na	na	-2.9879	-2.80363	-1.37066	
na	na	na	na	na	
na	na	na	-1.44334	na	
-1.44334	na	na	na	na	
na	na	-1.44334	-2.9879	-2.87558	
na	na	-1.44334	-2.77072	-2.87558	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.44334	na	na	na	
na	na	-1.44334	na	na	
na	-1.44334	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.44334	na	na	
na	na	-1.44334	-1.44334	-1.44334	
na	na	-1.44334	na	na	
na	na	na	na	na	
na	na	-2.87558	-1.86451	-2.87558	
na	na	-2.64095	-2.28979	-1.71395	
na	na	na	na	-1.44334	
na	na	na	na	na	
-2.1151	-2.28534	na	-1.44334	na	
na	na	na	-2.91214	-2.95498	
na	na	-2.1151	na	na	
na	na	-1.44334	na	na	
na	na	na	na	na	
na	na	na	na	-1.44334	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	-1.86451	na	
na	na	na	-1.44334	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.44334	na	na	
na	na	na	-2.1151	-2.69158	
na	na	na	na	na	
na	na	na	na	-2.1151	
na	na	-1.44334	na	na	
na	na	1.08751	0.667609	1.14335	
na	na	na	na	na	
na	na	-2.40959	-2.82978	-2.94201	
na	na	-1.44334	-1.86451	na	
-1.86451	-1.44334	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-2.1151	-2.73425	-2.40959	
na	0.787279	na	na	-2.50464	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.44334	na	na	
na	na	na	-1.44334	-2.28534	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1.44334	
na	na	-1.44334	na	na	
na	na	na	-2.64095	-2.28534	
na	-2.28534	-2.82978	-2.9879	-2.91214	
na	na	na	na	na	
na	na	-1.44334	na	na	
na	na	-1.44334	-2.73425	-2.99724	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.44334	-3.00591	-2.80225	
na	na	na	na	na	
-2.1151	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.44334	na	na	
na	na	na	na	na	
na	na	na	-1.44334	na	
na	na	na	na	na	
na	na	na	-2.96687	-2.82978	
na	na	na	na	-1.44334	
na	na	na	na	na	
na	-1.44334	-2.97781	-2.77072	na	
na	na	na	-1.44334	na	
na	na	-1.44334	na	-2.69158	
na	na	na	na	na	
na	na	-1.86451	na	-2.64095	
-1.86451	-1.44334	na	na	na	
na	na	-3.02855	-2.77072	-3.04136	
na	na	na	na	na	
-2.50464	na	-1.44334	na	-1.0255	
na	na	na	na	na	
na	na	-1.44334	0.86692	1.04237	
na	na	na	na	na	
na	-1.44334	-1.44334	na	na	
na	na	-1.44334	na	na	
na	-1.44334	-3.03515	-2.1151	-2.28534	
na	na	na	na	-1.44334	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.44334	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.86451	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1.44334	
na	na	na	na	na	
-1.44334	na	na	na	-0.555587	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-2.28534	-2.77072	-3.02855	-2.57986	
na	na	na	-1.44334	na	
na	na	na	na	na	
na	na	na	na	-1.86451	
na	na	-1.44334	na	-1.44334	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-2.1151	-2.87558	-2.69158	
na	na	na	na	na	
na	na	na	na	-1.44334	
na	na	na	na	na	
na	na	-2.77072	-2.28534	-2.57986	
na	na	-3.05789	na	-1.44334	
na	na	na	-1.86451	-1.86451	
na	na	na	na	na	
na	-1.44334	-1.44334	na	na	
na	na	-1.44334	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1.86451	
na	na	-1.44334	-1.44334	na	
