Fs[0]	Fs[1]	Fs[2]	Fs[3]	Fs[4]	
na	na	-0.475656	2.3979	2.76693	
na	-0.475656	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.475656	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.475656	na	na	
na	na	na	na	na	
na	na	na	-0.475656	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.475656	na	na	
na	na	na	na	-1.32484	
na	na	-0.475656	na	na	
na	na	na	-0.137426	0.431832	
na	na	na	na	na	
na	na	na	na	6.35667	
na	na	na	na	na	
na	na	na	na	na	
na	-0.475656	na	na	na	
na	na	na	5.8944	-0.475656	
na	na	na	na	-0.475656	
na	na	7.00998	7.82277	4.10001	
na	na	na	na	na	
na	na	na	-0.475656	na	
-0.475656	na	na	na	na	
na	na	-0.475656	7.00998	5.15372	
na	na	-0.475656	4.05492	5.15372	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-0.475656	na	na	na	
na	na	-0.475656	na	na	
na	-0.475656	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.475656	na	na	
na	na	-0.475656	-0.475656	-0.475656	
na	na	-0.475656	na	na	
na	na	na	na	na	
na	na	5.15372	0.431832	5.15372	
na	na	3.11332	4.19742	1.74014	
na	na	na	na	-0.475656	
na	na	na	na	na	
1.05373	1.55876	na	-0.475656	na	
na	na	na	5.65424	3.93515	
na	na	-2.12373	na	na	
na	na	-0.475656	na	na	
na	na	na	na	na	
na	na	na	na	-0.475656	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	-1.32484	na	
na	na	na	-0.475656	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.475656	na	na	
na	na	na	1.05373	3.44157	
na	na	na	na	na	
na	na	na	na	1.05373	
na	na	-0.475656	na	na	
na	na	5.49802	3.07544	7.14299	
na	na	na	na	na	
na	na	1.99917	4.62261	6.12842	
na	na	-0.475656	-1.32484	na	
0.431832	-0.475656	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1.05373	3.75472	1.99917	
na	0.73482	na	na	2.3979	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.475656	na	na	
na	na	na	-0.475656	1.55876	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-0.475656	
na	na	-0.475656	na	na	
na	na	na	3.11332	1.55876	
na	1.55876	4.62261	4.46767	5.65424	
na	na	na	na	na	
na	na	-0.475656	na	na	
na	na	-0.475656	3.75472	7.21818	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.475656	7.42198	4.34381	
na	na	na	na	na	
1.05373	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.475656	na	na	
na	na	na	na	na	
na	na	na	-0.475656	na	
na	na	na	na	na	
na	na	na	6.57948	4.62261	
na	na	na	na	-0.475656	
na	na	na	na	na	
na	-0.475656	6.79716	4.05492	na	
na	na	na	-0.475656	na	
na	na	-0.475656	na	3.44157	
na	na	na	na	na	
na	na	-1.32484	na	1.30138	
0.431832	-0.475656	na	na	na	
na	na	8.00904	4.05492	8.38183	
na	na	na	na	na	
2.3979	na	-0.475656	na	-1.25599	
na	na	na	na	na	
na	na	-0.475656	4.74511	4.54751	
na	na	na	na	na	
na	-0.475656	-0.475656	na	na	
na	na	-0.475656	na	na	
na	-0.475656	8.19719	1.05373	1.55876	
na	na	na	na	-0.475656	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.475656	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.32484	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-0.475656	
na	na	na	na	na	
-0.475656	na	na	na	-0.724551	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	1.55876	2.07662	8.00904	2.76693	
na	na	na	-0.475656	na	
na	na	na	na	na	
na	na	na	na	-1.32484	
na	na	-0.475656	na	-0.475656	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.61396	5.15372	3.44157	
na	na	na	na	na	
na	na	na	na	-0.475656	
na	na	na	na	na	
na	na	4.05492	1.55876	2.76693	
na	na	8.91611	na	-0.475656	
na	na	na	0.431832	0.431832	
na	na	na	na	na	
na	-0.475656	-0.475656	na	na	
na	na	-0.475656	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0.431832	
na	na	-0.475656	-0.475656	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0.297358	
na	na	na	na	-0.475656	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.475656	-0.475656	-0.475656	
na	na	na	na	-0.475656	
0.431832	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-0.475656	na	na	1.15205	
3.75472	4.05492	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-0.475656	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-0.475656	na	na	-0.475656	
na	na	na	na	na	
na	-0.475656	na	na	na	
na	na	-0.475656	na	na	
na	na	2.3979	1.99917	3.11332	
na	na	na	na	na	
na	na	1.55876	1.99917	2.76693	
na	-0.475656	na	7.14299	1.38437	
na	na	na	na	na	
na	-0.475656	na	1.05373	0.431832	
na	na	na	na	na	
-0.475656	na	na	11.6278	5.38474	
na	na	na	na	na	
na	na	-0.475656	na	na	
na	na	na	6.35667	8.21411	
na	na	na	-0.475656	-0.475656	
-0.475656	na	na	na	na	
na	na	na	2.76693	3.44157	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
3.11332	na	na	na	na	
na	na	na	na	na	
na	na	0.180455	na	1.05373	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.475656	-0.475656	3.11332	
na	-0.475656	na	na	na	
-0.475656	3.75472	-0.475656	na	na	
na	na	na	na	na	
na	na	na	-0.475656	na	
na	na	na	na	na	
na	na	na	-0.475656	na	
na	na	-0.475656	-0.475656	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
-0.475656	na	na	-0.475656	na	
na	na	na	1.15205	na	
na	na	na	na	na	
3.35366	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-0.475656	-1.32484	na	na	
na	-0.475656	na	na	-0.475656	
na	na	na	-0.475656	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	2.3979	6.35667	1.8321	
na	na	na	na	na	
3.44157	-0.475656	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	-0.475656	na	
na	na	na	-0.475656	na	
na	-0.475656	na	na	na	
na	-0.475656	-0.475656	-0.475656	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.475656	-0.475656	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	4.4208	1.9611	
na	na	-0.475656	-0.475656	na	
na	na	-0.475656	na	na	
na	na	na	na	na	
na	na	-0.475656	na	na	
na	-0.475656	na	na	1.55876	
na	-0.475656	8.00904	1.74014	1.8321	
na	na	na	na	na	
na	na	na	na	na	
0.431832	1.05373	na	na	na	
na	na	na	na	na	
na	-0.475656	na	-0.475656	na	
na	na	na	-0.475656	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.475656	0.297358	7.86991	
