H[0]	H[1]	H[2]	H[3]	H[4]	
0	0	0.151515	-2.72727	1.06061	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0.30303	
0	0	0.151515	0	0	
0	0	0	0.393939	-1.51515	
0	0	0	0	0	
0	0	0	0	-18.7879	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0	-10	0.151515	
0	0	0	0	0.151515	
0	0	-20.1515	-31.9697	-11.2121	
0	0	0	0	0	
0	0	0	0.151515	0	
0.151515	0	0	0	0	
0	0	0.151515	-9.24242	-10.4545	
0	0	0.151515	-11.0606	-10.4545	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0.151515	0	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0.151515	0.151515	0.151515	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	-10.4545	-1.51515	-12.2727	
0	0	-4.24242	-15.7576	-3.33333	
0	0	0	0	0.151515	
0	0	0	0	0	
-5	-1.21212	0	0.151515	0	
0	0	0	-13.7879	-15.1515	
0	0	0.454545	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.30303	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	-5	-5.90909	
0	0	0	0	0	
0	0	0	0	0.454545	
0	0	0.151515	0	0	
0	0	-0.727273	-6.63636	-2.66667	
0	0	0	0	0	
0	0	-6.51515	-10.7576	-9.84848	
0	0	0.151515	0.30303	0	
0.30303	-1.66667	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	-3.18182	-7.57576	-6.51515	
0	0.272727	0	0	-2.72727	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0.151515	-6.66667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0.151515	0	0	
0	0	0	-2.42424	-4.84848	
0	-1.21212	-10.7576	-16.5152	-13.7879	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0.151515	-5.75758	-16.3636	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	-14.3939	-12.7273	
0	0	0	0	0	
0.454545	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	-15	-7.12121	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0.151515	-16.6667	-5.60606	0	
0	0	0	0.151515	0	
0	0	0.151515	0	-9.54545	
0	0	0	0	0	
0	0	0.30303	0	-6.06061	
0.30303	0.151515	0	0	0	
0	0	-13.9394	-1.9697	-28.1818	
0	0	0	0	0	
-4.54545	0	0.151515	0	0.575758	
0	0	0	0	0	
0	0	0.151515	-3.9697	-2.66667	
0	0	0	0	0	
0	0.151515	0.151515	0	0	
0	0	0.151515	0	0	
0	0.151515	-28.3333	-3.18182	-1.21212	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.30303	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0	
0.151515	0	0	0	0.393939	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	-4.84848	-12.8788	-24.8485	-2.57576	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0.30303	
0	0	0.151515	0	0.151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.454545	-10.4545	-7.72727	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	-11.0606	-3.0303	-4.39394	
0	0	-18.6364	0	0.151515	
0	0	0	-1.51515	0.30303	
0	0	0	0	0	
0	0.151515	0.151515	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	-3.33333	
0	0	0.151515	0.151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.242424	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0.151515	0.151515	
0	0	0	0	0.151515	
-1.51515	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	0.151515	
-11.2121	-11.0606	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	0.151515	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0.151515	0	0	
0	0	-6.36364	-6.51515	-6.06061	
0	0	0	0	0	
0	0	-3.0303	-2.87879	-2.57576	
0	0.151515	0	-5.57576	0.484848	
0	0	0	0	0	
0	0.151515	0	-1.36364	-1.51515	
