H_norm[0]	H_norm[1]	H_norm[2]	H_norm[3]	H_norm[4]	
na	na	0.338215	-1.92495	0.666891	
na	0.338215	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.338215	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.338215	na	na	
na	na	na	na	na	
na	na	na	0.338215	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.338215	na	na	
na	na	na	na	0.449278	
na	na	0.338215	na	na	
na	na	na	0.584062	-2.24639	
na	na	na	na	na	
na	na	na	na	-4.98799	
na	na	na	na	na	
na	na	na	na	na	
na	0.338215	na	na	na	
na	na	na	-2.91051	0.338215	
na	na	na	na	0.338215	
na	na	-4.72841	-4.14512	-3.61184	
na	na	na	na	na	
na	na	na	0.338215	na	
0.338215	na	na	na	na	
na	na	0.338215	-2.16867	-3.55823	
na	na	0.338215	-4.87266	-3.55823	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	0.338215	na	na	na	
na	na	0.338215	na	na	
na	0.338215	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.338215	na	na	
na	na	0.338215	0.338215	0.338215	
na	na	0.338215	na	na	
na	na	na	na	na	
na	na	-3.55823	-2.24639	-4.17705	
na	na	-2.40767	-4.37552	-1.89174	
na	na	na	na	0.338215	
na	na	na	na	na	
-5.7252	-1.14329	na	0.338215	na	
na	na	na	-4.21628	-4.02258	
na	na	0.520473	na	na	
na	na	0.338215	na	na	
na	na	na	na	na	
na	na	na	na	0.338215	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	0.449278	na	
na	na	na	0.338215	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.338215	na	na	
na	na	na	-5.7252	-3.05803	
na	na	na	na	na	
na	na	na	na	0.520473	
na	na	0.338215	na	na	
na	na	-0.376373	-3.43441	-1.02371	
na	na	na	na	na	
na	na	-5.25192	-4.12974	-2.7347	
na	na	0.338215	0.449278	na	
0.449278	-3.72036	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-3.64331	-3.60487	-5.25192	
na	0.608787	na	na	-1.92495	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.338215	na	na	
na	na	na	0.338215	-6.28809	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0.338215	
na	na	0.338215	na	na	
na	na	na	-1.37581	-4.57316	
na	-1.14329	-4.12974	-3.87517	-4.21628	
na	na	na	na	na	
na	na	0.338215	na	na	
na	na	0.338215	-2.7397	-3.69663	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.338215	-3.13498	-5.22106	
na	na	na	na	na	
0.520473	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.338215	na	na	
na	na	na	na	na	
na	na	na	0.338215	na	
na	na	na	na	na	
na	na	na	-3.81505	-2.73377	
na	na	na	na	0.338215	
na	na	na	na	na	
na	0.338215	-4.06817	-2.4697	na	
na	na	na	0.338215	na	
na	na	0.338215	na	-4.9399	
na	na	na	na	na	
na	na	0.449278	na	-3.43953	
0.449278	0.338215	na	na	na	
na	na	-2.74116	-0.867734	-5.20522	
na	na	na	na	na	
-3.20825	na	0.338215	na	0.659266	
na	na	na	na	na	
na	na	0.338215	-1.43223	-1.67676	
na	na	na	na	na	
na	0.338215	0.338215	na	na	
na	na	0.338215	na	na	
na	0.338215	-5.39712	-3.64331	-1.14329	
na	na	na	na	0.338215	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.338215	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	0.449278	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
