Hw[0]	Hw[1]	Hw[2]	Hw[3]	Hw[4]	
0	0	0.166667	0.166667	0.166667	
0	0.166667	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	0	0.166667	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0	0.318182	
0	0	0.166667	0	0	
0	0	0	0.590909	0.166667	
0	0	0	0	0	
0	0	0	0	0.166667	
0	0	0	0	0	
0	0	0	0	0	
0	0.166667	0	0	0	
0	0	0	0.166667	0.166667	
0	0	0	0	0.166667	
0	0	0.166667	0.318182	0.318182	
0	0	0	0	0	
0	0	0	0.166667	0	
0.166667	0	0	0	0	
0	0	0.166667	0.166667	0.166667	
0	0	0.166667	0.166667	0.166667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.166667	0	0	0	
0	0	0.166667	0	0	
0	0.166667	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0.166667	0.166667	0.166667	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	0.166667	0.166667	0.166667	
0	0	0.166667	0.318182	0.318182	
0	0	0	0	0.166667	
0	0	0	0	0	
0.166667	0.166667	0	0.166667	0	
0	0	0	0.166667	0.318182	
0	0	0.454545	0	0	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	0	0	0.166667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.318182	0	
0	0	0	0.166667	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0.166667	0.166667	
0	0	0	0	0	
0	0	0	0	0.166667	
0	0	0.166667	0	0	
0	0	0.30303	0.439394	0.30303	
0	0	0	0	0	
0	0	0.166667	0.166667	0.166667	
0	0	0.166667	0.318182	0	
0.166667	0.166667	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0.166667	0.166667	
0	0.409091	0	0	0.166667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0.166667	0.166667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.166667	
0	0	0.166667	0	0	
0	0	0	0.166667	0.166667	
0	0.166667	0.166667	0.318182	0.166667	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0.166667	0.166667	0.166667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0.166667	0.166667	
0	0	0	0	0	
0.166667	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	0	0.166667	0	
0	0	0	0	0	
0	0	0	0.166667	0.166667	
0	0	0	0	0.166667	
0	0	0	0	0	
0	0.166667	0.166667	0.166667	0	
0	0	0	0.166667	0	
0	0	0.166667	0	0.166667	
0	0	0	0	0	
0	0	0.318182	0	0.318182	
0.166667	0.166667	0	0	0	
0	0	0.166667	0.166667	0.166667	
0	0	0	0	0	
0.166667	0	0.166667	0	0.636364	
0	0	0	0	0	
