Pwh[0]	Pwh[1]	Pwh[2]	Pwh[3]	Pwh[4]	
na	na	6	6	6	
na	6	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	na	na	
na	na	na	na	na	
na	na	na	6	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	na	na	
na	na	na	na	3	
na	na	6	na	na	
na	na	na	1.53488	6	
na	na	na	na	na	
na	na	na	na	6	
na	na	na	na	na	
na	na	na	na	na	
na	6	na	na	na	
na	na	na	6	6	
na	na	na	na	6	
na	na	6	2.45401	2.58261	
na	na	na	na	na	
na	na	na	6	na	
6	na	na	na	na	
na	na	6	6	6	
na	na	6	6	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	6	na	na	na	
na	na	6	na	na	
na	6	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	na	na	
na	na	6	6	6	
na	na	6	na	na	
na	na	na	na	na	
na	na	6	6	6	
na	na	6	1.11864	2.49057	
na	na	na	na	6	
na	na	na	na	na	
6	6	na	6	na	
na	na	na	6	5.4	
na	na	2	na	na	
na	na	6	na	na	
na	na	na	na	na	
na	na	na	na	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	3	na	
na	na	na	6	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	na	na	
na	na	na	6	6	
na	na	na	na	na	
na	na	na	na	6	
na	na	6	na	na	
na	na	3.3	2.70175	3.3	
na	na	na	na	na	
na	na	6	6	6	
na	na	6	3	na	
6	6	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	6	6	
na	2.44444	na	na	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	na	na	
na	na	na	6	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	6	
na	na	6	na	na	
na	na	na	6	6	
na	6	6	5.47826	6	
na	na	na	na	na	
na	na	6	na	na	
na	na	6	6	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	6	6	
na	na	na	na	na	
6	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	na	na	
na	na	na	na	na	
na	na	na	6	na	
na	na	na	na	na	
na	na	na	6	6	
na	na	na	na	6	
na	na	na	na	na	
na	6	6	6	na	
na	na	na	6	na	
na	na	6	na	6	
na	na	na	na	na	
na	na	3	na	4.5	
6	6	na	na	na	
na	na	6	6	6	
na	na	na	na	na	
6	na	6	na	1.34694	
na	na	na	na	na	
na	na	6	2.92251	3.3	
na	na	na	na	na	
na	6	6	na	na	
na	na	6	na	na	
na	6	6	6	6	
na	na	na	na	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	3	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	6	
na	na	na	na	na	
6	na	na	na	2.12903	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	6	4.90909	6	6	
na	na	na	6	na	
na	na	na	na	na	
na	na	na	na	3	
na	na	6	na	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	2	6	6	
na	na	na	na	na	
na	na	na	na	6	
na	na	na	na	na	
na	na	6	6	6	
na	na	6	na	6	
na	na	na	6	6	
na	na	na	na	na	
na	6	6	na	na	
na	na	6	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	6	
na	na	6	6	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	3.3	
na	na	na	na	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	6	6	
na	na	na	na	6	
6	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	6	na	na	1.88571	
6	6	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	6	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	6	na	na	6	
na	na	na	na	na	
na	6	na	na	na	
na	na	6	na	na	
na	na	6	6	6	
na	na	na	na	na	
na	na	6	6	6	
na	6	na	3.3	3.3	
na	na	na	na	na	
na	6	na	6	6	
na	na	na	na	na	
6	na	na	1.88571	1.88571	
na	na	na	na	na	
na	na	6	na	na	
na	na	na	3.3	3.3	
na	na	na	6	6	
6	na	na	na	na	
na	na	na	6	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
6	na	na	na	na	
na	na	na	na	na	
na	na	1.29412	na	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	6	6	
na	6	na	na	na	
6	6	6	na	na	
na	na	na	na	na	
na	na	na	6	na	
na	na	na	na	na	
na	na	na	6	na	
na	na	6	6	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
6	na	na	6	na	
na	na	na	1.88571	na	
na	na	na	na	na	
2.0625	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	6	3	na	na	
na	6	na	na	6	
na	na	na	6	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	6	4.8	
na	na	na	na	na	
6	6	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	6	na	
na	na	na	6	na	
na	6	na	na	na	
na	6	6	6	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	6	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	2.44444	2.44444	
na	na	6	6	na	
na	na	6	na	na	
na	na	na	na	na	
na	na	6	na	na	
na	6	na	na	6	
na	6	6	1.24528	2.4	
na	na	na	na	na	
na	na	na	na	na	
6	6	na	na	na	
na	na	na	na	na	
na	6	na	6	na	
na	na	na	6	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	3.3	3.3	
6	na	na	na	na	
6	na	na	na	6	
na	na	na	6	6	
na	na	na	na	na	
na	na	3	na	na	
na	na	na	na	na	
6	na	na	na	na	
na	na	na	na	na	
na	na	na	6	na	
3.3	3.3	na	na	na	
na	na	3.3	3.3	2.85714	
na	na	na	na	na	
na	na	na	na	6	
na	na	na	na	na	
na	na	na	6	6	
na	na	na	6	na	
6	6	6	6	6	
na	na	na	na	na	
na	na	na	3.3	3.3	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	6	na	na	na	
na	6	na	na	na	
na	6	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	6	6	3	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	3	1.90492	2.86957	
6	na	6	6	na	
na	na	6	na	na	
na	na	na	na	na	
na	na	6	na	6	
na	na	na	na	na	
6	na	na	na	na	
na	na	na	na	na	
na	na	na	na	6	
na	na	na	na	6	
na	na	na	6	6	
6	na	na	na	na	
na	6	na	na	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	6	na	na	na	
na	6	na	na	na	
na	na	na	na	na	
na	na	na	na	6	
na	na	na	na	6	
na	na	na	6	na	
na	na	na	na	na	
na	na	na	na	6	
na	na	na	na	na	
na	na	na	na	na	
6	4	6	6	6	
na	6	na	6	6	
6	6	na	na	na	
na	na	na	na	6	
na	na	6	na	na	
6	na	na	na	na	
na	na	na	2.0625	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	6	
na	na	na	na	na	
na	na	6	6	6	
na	na	na	6	na	
na	na	na	na	na	
na	na	na	6	6	
na	na	na	na	na	
na	na	6	na	na	
na	na	na	na	na	
6	6	na	6	na	
na	6	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	6	3	na	na	
na	na	na	na	6	
na	6	2.0625	2.0625	2.0625	
na	na	na	na	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	6	na	
na	na	6	na	na	
na	na	na	na	2.44444	
na	na	1.88571	na	na	
na	na	6	6	5.07692	
na	na	6	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
6	na	na	na	na	
na	na	6	na	na	
na	na	6	4.5	6	
na	na	0.703625	0.741573	1.13793	
na	na	6	6	6	
na	na	na	6	6	
6	6	6	6	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	6	na	
na	na	na	na	6	
na	na	na	na	6	
6	6	na	na	na	
na	na	na	6	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	6	na	na	
na	na	na	4.28571	2.4973	
na	na	na	na	na	
na	na	na	na	6	
na	na	6	na	na	
na	na	6	6	6	
na	na	na	na	3.3	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	6	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	6	6	
6	na	na	na	na	
na	na	na	6	na	
na	na	na	na	na	
6	na	na	na	na	
na	na	6	na	na	
na	6	6	6	6	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	6	na	na	na	
