Q[0]	Q[1]	Q[2]	Q[3]	Q[4]	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0	
na	na	na	na	na	
na	na	na	0	1	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	na	
na	na	na	na	na	
na	na	1	0.659091	0.5	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	1	
na	na	1	0.842105	0.625	
na	na	na	na	na	
na	na	na	na	na	
1	1	na	na	na	
na	na	na	1	0.9	
na	na	0	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	0	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	1	0.888889	1	
na	na	na	na	na	
na	na	1	1	1	
na	na	na	0	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	1	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	1	1	0.913043	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	0	na	0.875	
1	na	na	na	na	
na	na	1	1	1	
na	na	na	na	na	
1	na	na	na	0	
na	na	na	na	na	
na	na	na	0.857143	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	0	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	1	0.909091	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.666667	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	1	
na	na	1	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	1	
na	na	na	na	na	
na	na	1	1	1	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	0.666667	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	0.8	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	1	0.25	0.9	
na	na	na	na	na	
na	na	na	na	na	
1	1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	0	na	na	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	1	na	na	na	
na	na	1	1	0.833333	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	na	
na	na	na	na	na	
na	1	1	1	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	0.75	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0	0.842105	0.692308	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	0.833333	1	1	1	
na	na	na	1	1	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	1	0	na	na	
na	na	na	na	1	
na	na	1	1	1	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	1	1	0.846154	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	0.75	1	
na	na	0.464286	0.407407	0.294118	
na	na	na	1	1	
na	na	na	1	1	
1	1	1	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	0.857143	0.6875	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	1	1	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	1	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	1	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	na	na	na	1	
1	0	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
1	na	na	na	na	
