R2[0]	R2[1]	R2[2]	R2[3]	R2[4]	
na	na	0.276385	0.276385	0.276385	
na	0.276385	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.276385	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.276385	na	na	
na	na	na	na	na	
na	na	na	0.276385	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.276385	na	na	
na	na	na	na	0.186339	
na	na	0.276385	na	na	
na	na	na	0.183819	0.276385	
na	na	na	na	na	
na	na	na	na	0.276385	
na	na	na	na	na	
na	na	na	na	na	
na	0.276385	na	na	na	
na	na	na	0.276385	0.276385	
na	na	na	na	0.276385	
na	na	0.276385	0.195	0.129583	
na	na	na	na	na	
na	na	na	0.276385	na	
0.276385	na	na	na	na	
na	na	0.276385	0.276385	0.276385	
na	na	0.276385	0.276385	0.276385	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	0.276385	na	na	na	
na	na	0.276385	na	na	
na	0.276385	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.276385	na	na	
na	na	0.276385	0.276385	0.276385	
na	na	0.276385	na	na	
na	na	na	na	na	
na	na	0.276385	0.276385	0.276385	
na	na	0.276385	0.164445	0.210722	
na	na	na	na	0.276385	
na	na	na	na	na	
0.276385	0.276385	na	0.276385	na	
na	na	na	0.276385	0.261672	
na	na	0.144338	na	na	
na	na	0.276385	na	na	
na	na	na	na	na	
na	na	na	na	0.276385	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	0.186339	na	
na	na	na	0.276385	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.276385	na	na	
na	na	na	0.276385	0.276385	
na	na	na	na	na	
na	na	na	na	0.276385	
na	na	0.276385	na	na	
na	na	0.151515	0.138137	0.151515	
na	na	na	na	na	
na	na	0.276385	0.276385	0.276385	
na	na	0.276385	0.186339	na	
0.276385	0.276385	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.276385	0.276385	0.276385	
na	0.204545	na	na	0.276385	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.276385	na	na	
na	na	na	0.276385	0.276385	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0.276385	
na	na	0.276385	na	na	
na	na	na	0.276385	0.276385	
na	0.276385	0.276385	0.263548	0.276385	
na	na	na	na	na	
na	na	0.276385	na	na	
na	na	0.276385	0.276385	0.276385	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.276385	0.276385	0.276385	
na	na	na	na	na	
0.276385	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.276385	na	na	
na	na	na	na	na	
na	na	na	0.276385	na	
na	na	na	na	na	
na	na	na	0.276385	0.276385	
na	na	na	na	0.276385	
na	na	na	na	na	
na	0.276385	0.276385	0.276385	na	
na	na	na	0.276385	na	
na	na	0.276385	na	0.276385	
na	na	na	na	na	
na	na	0.186339	na	0.241163	
0.276385	0.276385	na	na	na	
na	na	0.276385	0.276385	0.276385	
na	na	na	na	na	
0.276385	na	0.276385	na	0.141707	
na	na	na	na	na	
na	na	0.276385	0.142071	0.151515	
na	na	na	na	na	
na	0.276385	0.276385	na	na	
na	na	0.276385	na	na	
na	0.276385	0.276385	0.276385	0.276385	
na	na	na	na	0.276385	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.276385	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	0.186339	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0.276385	
na	na	na	na	na	
0.276385	na	na	na	0.157596	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	0.276385	0.250229	0.276385	0.276385	
na	na	na	0.276385	na	
na	na	na	na	na	
na	na	na	na	0.186339	
na	na	0.276385	na	0.276385	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.198373	0.276385	0.276385	
na	na	na	na	na	
na	na	na	na	0.276385	
na	na	na	na	na	
na	na	0.276385	0.276385	0.276385	
na	na	0.276385	na	0.276385	
na	na	na	0.276385	0.276385	
na	na	na	na	na	
na	0.276385	0.276385	na	na	
na	na	0.276385	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0.276385	
na	na	0.276385	0.276385	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	0.151515	
na	na	na	na	0.276385	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	0.276385	0.276385	0.276385	
na	na	na	na	0.276385	
0.276385	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	0.276385	na	na	0.265152	
0.276385	0.276385	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	0.276385	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	0.276385	na	na	0.276385	
na	na	na	na	na	
na	0.276385	na	na	na	
na	na	0.276385	na	na	
na	na	0.276385	0.276385	0.276385	
na	na	na	na	na	
na	na	0.276385	0.276385	0.276385	
na	0.276385	na	0.151515	0.151515	
