S[0]	S[1]	S[2]	S[3]	S[4]	
0	0	1	6	7	
0	1	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	1	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	1	0	0	
0	0	0	0	0	
0	0	0	1	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	1	0	0	
0	0	0	0	2	
0	0	1	0	0	
0	0	0	2	2	
0	0	0	0	0	
0	0	0	0	20	
0	0	0	0	0	
0	0	0	0	0	
0	1	0	0	0	
0	0	0	18	1	
0	0	0	0	1	
0	0	23	44	16	
0	0	0	0	0	
0	0	0	1	0	
1	0	0	0	0	
0	0	1	23	15	
0	0	1	11	15	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	1	0	0	0	
0	0	1	0	0	
0	1	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	1	0	0	
0	0	1	1	1	
0	0	1	0	0	
0	0	0	0	0	
0	0	15	2	15	
0	0	8	19	8	
0	0	0	0	1	
0	0	0	0	0	
3	4	0	1	0	
0	0	0	17	20	
0	0	3	0	0	
0	0	1	0	0	
0	0	0	0	0	
0	0	0	0	1	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	2	0	
0	0	0	1	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	1	0	0	
0	0	0	3	9	
0	0	0	0	0	
0	0	0	0	3	
0	0	1	0	0	
0	0	9	9	13	
0	0	0	0	0	
0	0	5	13	19	
0	0	1	2	0	
2	1	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	3	10	5	
0	1	0	0	6	
0	0	0	0	0	
0	0	0	0	0	
0	0	1	0	0	
0	0	0	1	4	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	1	
0	0	1	0	0	
0	0	0	8	4	
0	4	13	23	17	
0	0	0	0	0	
0	0	1	0	0	
0	0	1	10	24	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	1	25	12	
0	0	0	0	0	
3	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	1	0	0	
0	0	0	0	0	
0	0	0	1	0	
0	0	0	0	0	
0	0	0	21	13	
0	0	0	0	1	
0	0	0	0	0	
0	1	22	11	0	
0	0	0	1	0	
0	0	1	0	9	
0	0	0	0	0	
0	0	2	0	8	
2	1	0	0	0	
0	0	28	11	30	
0	0	0	0	0	
6	0	1	0	3	
0	0	0	0	0	
0	0	1	14	7	
0	0	0	0	0	
0	1	1	0	0	
0	0	1	0	0	
0	1	29	3	4	
0	0	0	0	1	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	1	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	2	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	1	
0	0	0	0	0	
1	0	0	0	2	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	4	11	28	7	
0	0	0	1	0	
0	0	0	0	0	
0	0	0	0	2	
0	0	1	0	1	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	3	15	9	
0	0	0	0	0	
0	0	0	0	1	
