TD[0]	TD[1]	TD[2]	TD[3]	TD[4]	
na	na	-1.14053	-1.89423	-1.94368	
na	-1.14053	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.14053	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.14053	na	na	
na	na	na	na	na	
na	na	na	-1.14053	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.14053	na	na	
na	na	na	na	-1.45138	
na	na	-1.14053	na	na	
na	na	na	-0.0474906	-1.45138	
na	na	na	na	na	
na	na	na	na	-2.18171	
na	na	na	na	na	
na	na	na	na	na	
na	-1.14053	na	na	na	
na	na	na	-2.16494	-1.14053	
na	na	na	na	-1.14053	
na	na	-2.2019	-2.14175	-1.47776	
na	na	na	na	na	
na	na	na	-1.14053	na	
-1.14053	na	na	na	na	
na	na	-1.14053	-2.2019	-2.13253	
na	na	-1.14053	-2.06659	-2.13253	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.14053	na	na	na	
na	na	-1.14053	na	na	
na	-1.14053	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.14053	na	na	
na	na	-1.14053	-1.14053	-1.14053	
na	na	-1.14053	na	na	
na	na	na	na	na	
na	na	-2.13253	-1.45138	-2.13253	
na	na	-1.98343	-1.88915	-1.57231	
na	na	na	na	-1.14053	
na	na	na	na	na	
-1.62929	-1.74687	na	-1.14053	na	
na	na	na	-2.15525	-2.18171	
na	na	-1.62929	na	na	
na	na	-1.14053	na	na	
na	na	na	na	na	
na	na	na	na	-1.14053	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	-1.45138	na	
na	na	na	-1.14053	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.14053	na	na	
na	na	na	-1.62929	-2.01608	
na	na	na	na	na	
na	na	na	na	-1.62929	
na	na	-1.14053	na	na	
na	na	-0.344555	-0.53028	-0.359559	
na	na	na	na	na	
na	na	-1.83094	-2.10387	-2.17371	
na	na	-1.14053	-1.45138	na	
-1.45138	-1.14053	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.62929	-2.0434	-1.83094	
na	0.540555	na	na	-1.89423	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.14053	na	na	
na	na	na	-1.14053	-1.74687	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1.14053	
na	na	-1.14053	na	na	
na	na	na	-1.98343	-1.74687	
na	-1.74687	-2.10387	-2.2019	-2.15525	
na	na	na	na	na	
na	na	-1.14053	na	na	
na	na	-1.14053	-2.0434	-2.2076	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.14053	-2.2129	-2.08654	
na	na	na	na	na	
-1.62929	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.14053	na	na	
na	na	na	na	na	
na	na	na	-1.14053	na	
na	na	na	na	na	
na	na	na	-2.18901	-2.10387	
na	na	na	na	-1.14053	
na	na	na	na	na	
na	-1.14053	-2.19572	-2.06659	na	
na	na	na	-1.14053	na	
na	na	-1.14053	na	-2.01608	
na	na	na	na	na	
na	na	-1.45138	na	-1.98343	
-1.45138	-1.14053	na	na	na	
na	na	-2.22668	-2.06659	-2.23445	
na	na	na	na	na	
-1.89423	na	-1.14053	na	-0.828791	
na	na	na	na	na	
na	na	-1.14053	-0.487653	-0.332183	
na	na	na	na	na	
na	-1.14053	-1.14053	na	na	
na	na	-1.14053	na	na	
na	-1.14053	-2.23069	-1.62929	-1.74687	
na	na	na	na	-1.14053	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.14053	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.45138	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1.14053	
na	na	na	na	na	
-1.14053	na	na	na	-0.849715	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.74687	-2.06659	-2.22668	-1.94368	
na	na	na	-1.14053	na	
na	na	na	na	na	
na	na	na	na	-1.45138	
na	na	-1.14053	na	-1.14053	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.62929	-2.13253	-2.01608	
na	na	na	na	na	
na	na	na	na	-1.14053	
na	na	na	na	na	
na	na	-2.06659	-1.74687	-1.94368	
na	na	-2.24445	na	-1.14053	
na	na	na	-1.45138	-1.45138	
na	na	na	na	na	
na	-1.14053	-1.14053	na	na	
na	na	-1.14053	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-1.45138	
