ThetaFW[0]	ThetaFW[1]	ThetaFW[2]	ThetaFW[3]	ThetaFW[4]	
0	0	0.0151515	3.72727	0.106061	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0.030303	
0	0	0.0151515	0	0	
0	0	0	0.257576	1.84848	
0	0	0	0	0	
0	0	0	0	22.1212	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0	13	0.0151515	
0	0	0	0	0.0151515	
0	0	23.9848	39.7121	14.697	
0	0	0	0	0	
0	0	0	0.0151515	0	
0.0151515	0	0	0	0	
0	0	0.0151515	13.0758	12.9545	
0	0	0.0151515	12.8939	12.9545	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0.0151515	0	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0.0151515	0.0151515	0.0151515	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	12.9545	1.84848	14.7727	
0	0	5.57576	19.3333	4.93939	
0	0	0	0	0.0151515	
0	0	0	0	0	
5.5	1.87879	0	0.0151515	0	
0	0	0	16.6212	18.4848	
0	0	0.0454545	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.030303	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	5.5	7.40909	
0	0	0	0	0	
0	0	0	0	0.0454545	
0	0	0.0151515	0	0	
0	0	3.45455	9.22727	6.60606	
0	0	0	0	0	
0	0	7.34848	12.9242	13.0152	
0	0	0.0151515	0.030303	0	
0.030303	1.83333	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	3.68182	9.24242	7.34848	
0	0.136364	0	0	3.72727	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	0.0151515	7.33333	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.0151515	
0	0	0.0151515	0	0	
0	0	0	3.75758	5.51515	
0	1.87879	12.9242	20.3485	16.6212	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0.0151515	7.42424	20.3636	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	18.5606	14.7273	
0	0	0	0	0	
0.0454545	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	18.5	9.28788	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0.0151515	20.3333	7.43939	0	
0	0	0	0.0151515	0	
0	0	0.0151515	0	11.0455	
0	0	0	0	0	
0	0	0.030303	0	7.39394	
0.030303	0.0151515	0	0	0	
0	0	18.6061	3.80303	33.1818	
0	0	0	0	0	
5.54545	0	0.0151515	0	0.166667	
0	0	0	0	0	
0	0	0.0151515	8.07576	4.78788	
0	0	0	0	0	
0	0.0151515	0.0151515	0	0	
0	0	0.0151515	0	0	
0	0.0151515	33.1667	3.68182	1.87879	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.030303	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.0151515	
0	0	0	0	0	
0.0151515	0	0	0	0.0757576	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	5.51515	14.7121	29.5152	3.74242	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0.030303	
0	0	0.0151515	0	0.0151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0454545	12.9545	9.22727	
0	0	0	0	0	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0	12.8939	3.69697	5.56061	
0	0	24.1364	0	0.0151515	
0	0	0	1.84848	0.030303	
0	0	0	0	0	
0	0.0151515	0.0151515	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	3.66667	
0	0	0.0151515	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.0606061	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0.0151515	0.0151515	
0	0	0	0	0.0151515	
1.84848	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0.378788	
12.8788	12.8939	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0.0151515	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0.0151515	0	0	
0	0	7.36364	7.34848	7.39394	
0	0	0	0	0	
0	0	3.69697	3.71212	3.74242	
0	0.0151515	0	9.51515	0.121212	
0	0	0	0	0	
0	0.0151515	0	1.86364	1.84848	
0	0	0	0	0	
0.0151515	0	0	8.9697	2.62121	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	7.93939	8.24242	
0	0	0	0.0151515	0.0151515	
0.0151515	0	0	0	0	
0	0	0	7.37879	12.8636	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
3.75758	0	0	0	0	
0	0	0	0	0	
0	0	1.59091	0	1.86364	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	1.83333	5.57576	
0	0.0151515	0	0	0	
0.0151515	12.8788	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0.0151515	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0.0151515	0	0	0.0151515	0	
0	0	0	0.742424	0	
0	0	0	0	0	
2.18182	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0.030303	0	0	
0	0.0151515	0	0	0.0151515	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	7.36364	14.8485	7.42424	
0	0	0	0	0	
5.59091	1.83333	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0.0151515	0	
0	0.0151515	0	0	0	
0	0.0151515	0.0151515	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	1.83333	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	3.95455	1.36364	
0	0	0.0151515	0.0151515	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0.0151515	0	0	3.69697	
0	0.0151515	27.697	8.57576	7.42424	
0	0	0	0	0	
0	0	0	0	0	
3.66667	3.68182	0	0	0	
0	0	0	0	0	
