ThetaTaj[0]	ThetaTaj[1]	ThetaTaj[2]	ThetaTaj[3]	ThetaTaj[4]	
0	0	0.166667	1	1.16667	
0	0.166667	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	0	0.166667	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0	0.333333	
0	0	0.166667	0	0	
0	0	0	0.651515	0.333333	
0	0	0	0	0	
0	0	0	0	3.33333	
0	0	0	0	0	
0	0	0	0	0	
0	0.166667	0	0	0	
0	0	0	3	0.166667	
0	0	0	0	0.166667	
0	0	3.83333	7.74242	3.48485	
0	0	0	0	0	
0	0	0	0.166667	0	
0.166667	0	0	0	0	
0	0	0.166667	3.83333	2.5	
0	0	0.166667	1.83333	2.5	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.166667	0	0	0	
0	0	0.166667	0	0	
0	0.166667	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0.166667	0.166667	0.166667	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	2.5	0.333333	2.5	
0	0	1.33333	3.57576	1.60606	
0	0	0	0	0.166667	
0	0	0	0	0	
0.5	0.666667	0	0.166667	0	
0	0	0	2.83333	3.33333	
0	0	0.5	0	0	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	0	0	0.166667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.333333	0	
0	0	0	0.166667	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0.5	1.5	
0	0	0	0	0	
0	0	0	0	0.5	
0	0	0.166667	0	0	
0	0	2.72727	2.59091	3.93939	
0	0	0	0	0	
0	0	0.833333	2.16667	3.16667	
0	0	0.166667	0.333333	0	
0.333333	0.166667	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.5	1.66667	0.833333	
0	0.409091	0	0	1	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0.166667	0.666667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.166667	
0	0	0.166667	0	0	
0	0	0	1.33333	0.666667	
0	0.666667	2.16667	3.83333	2.83333	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0.166667	1.66667	4	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	4.16667	2	
0	0	0	0	0	
0.5	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	0	0.166667	0	
0	0	0	0	0	
0	0	0	3.5	2.16667	
0	0	0	0	0.166667	
0	0	0	0	0	
0	0.166667	3.66667	1.83333	0	
0	0	0	0.166667	0	
0	0	0.166667	0	1.5	
0	0	0	0	0	
0	0	0.333333	0	1.33333	
0.333333	0.166667	0	0	0	
0	0	4.66667	1.83333	5	
0	0	0	0	0	
1	0	0.166667	0	0.742424	
0	0	0	0	0	
0	0	0.166667	4.10606	2.12121	
0	0	0	0	0	
0	0.166667	0.166667	0	0	
0	0	0.166667	0	0	
0	0.166667	4.83333	0.5	0.666667	
0	0	0	0	0.166667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.333333	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.166667	
0	0	0	0	0	
0.166667	0	0	0	0.469697	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.666667	1.83333	4.66667	1.16667	
0	0	0	0.166667	0	
0	0	0	0	0	
0	0	0	0	0.333333	
0	0	0.166667	0	0.166667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.5	2.5	1.5	
0	0	0	0	0	
0	0	0	0	0.166667	
0	0	0	0	0	
0	0	1.83333	0.666667	1.16667	
0	0	5.5	0	0.166667	
0	0	0	0.333333	0.333333	
0	0	0	0	0	
0	0.166667	0.166667	0	0	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.333333	
0	0	0.166667	0.166667	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.30303	
0	0	0	0	0.166667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0.166667	0.166667	
0	0	0	0	0.166667	
0.333333	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.166667	0	0	0.530303	
1.66667	1.83333	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.166667	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.166667	0	0	0.166667	
0	0	0	0	0	
0	0.166667	0	0	0	
0	0	0.166667	0	0	
0	0	1	0.833333	1.33333	
0	0	0	0	0	
0	0	0.666667	0.833333	1.16667	
0	0.166667	0	3.93939	0.606061	
0	0	0	0	0	
0	0.166667	0	0.5	0.333333	
0	0	0	0	0	
0.166667	0	0	8.48485	2.65152	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	3.33333	4.84848	
0	0	0	0.166667	0.166667	
0.166667	0	0	0	0	
0	0	0	1.16667	1.5	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
1.33333	0	0	0	0	
0	0	0	0	0	
0	0	0.772727	0	0.5	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0.166667	1.33333	
0	0.166667	0	0	0	
0.166667	1.66667	0.166667	0	0	
0	0	0	0	0	
0	0	0	0.166667	0	
0	0	0	0	0	
0	0	0	0.166667	0	
0	0	0.166667	0.166667	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0.166667	0	0	0.166667	0	
0	0	0	0.530303	0	
0	0	0	0	0	
1.45455	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.166667	0.333333	0	0	
0	0.166667	0	0	0.166667	
0	0	0	0.166667	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	1	3.33333	1.66667	
0	0	0	0	0	
1.5	0.166667	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.166667	0	
0	0	0	0.166667	0	
0	0.166667	0	0	0	
0	0.166667	0.166667	0.166667	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0.166667	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	2.04545	0.818182	
0	0	0.166667	0.166667	0	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0.166667	0	0	0.666667	
0	0.166667	4.66667	1.60606	1.66667	
0	0	0	0	0	
0	0	0	0	0	
0.333333	0.5	0	0	0	
0	0	0	0	0	
0	0.166667	0	0.166667	0	
0	0	0	0.166667	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0.30303	4.54545	
0.166667	0	0	0	0	
0.333333	0	0	0	0.166667	
0	0	0	1.66667	2.66667	
0	0	0	0	0	
0	0	0.333333	0	0	
0	0	0	0	0	
0.333333	0	0	0	0	
0	0	0	0	0	
0	0	0	0.166667	0	
2.12121	2.72727	0	0	0	
0	0	3.33333	1.21212	3.5	
0	0	0	0	0	
0	0	0	0	0.166667	
0	0	0	0	0	
0	0	0	1.66667	0.166667	
0	0	0	0.166667	0	
0.166667	1.5	5.66667	0.666667	0.166667	
0	0	0	0	0	
0	0	0	0.30303	4.84848	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.166667	0	0	0	
0	0.166667	0	0	0	
0	0.166667	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.166667	4.33333	0.666667	0.166667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.333333	8.92424	2.43939	
0.333333	0	0.166667	0.166667	0	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	0.166667	0	0.166667	
0	0	0	0	0	
0.166667	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.166667	
0	0	0	0	0.166667	
0	0	0	2	2.16667	
0.166667	0	0	0	0	
0	0.166667	0	0	1.16667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.166667	0	0	0	
0	0.166667	0	0	0	
0	0	0	0	0	
0	0	0	0	0.166667	
0	0	0	0	0.166667	
0	0	0	0.166667	0	
0	0	0	0	0	
0	0	0	0	0.166667	
0	0	0	0	0	
0	0	0	0	0	
0.666667	1	2	0.5	3.33333	
0	0.166667	0	4.33333	1	
1	0.166667	0	0	0	
0	0	0	0	0.166667	
0	0	0.166667	0	0	
0.333333	0	0	0	0	
0	0	0	0.484848	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.166667	
0	0	0	0	0	
0	0	1	3	2.33333	
0	0	0	0.166667	0	
0	0	0	0	0	
0	0	0	3.33333	6	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0	0	
0.166667	0.166667	0	0.166667	0	
0	0.166667	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.166667	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	1	0.333333	0	0	
0	0	0	0	0.833333	
0	0.166667	11.1515	1.93939	10.6667	
