ZengE[0]	ZengE[1]	ZengE[2]	ZengE[3]	ZengE[4]	
na	na	-0.90177	0.498002	-2.00688	
na	-0.90177	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.90177	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.90177	na	na	
na	na	na	na	na	
na	na	na	-0.90177	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.90177	na	na	
na	na	na	na	-1.23351	
na	na	-0.90177	na	na	
na	na	na	-0.533325	1.10045	
na	na	na	na	na	
na	na	na	na	3.37208	
na	na	na	na	na	
na	na	na	na	na	
na	-0.90177	na	na	na	
na	na	na	1.22465	-0.90177	
na	na	na	na	-0.90177	
na	na	3.10552	2.60333	2.49602	
na	na	na	na	na	
na	na	na	-0.90177	na	
-0.90177	na	na	na	na	
na	na	-0.90177	0.413719	1.9087	
na	na	-0.90177	3.24072	1.9087	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-0.90177	na	na	na	
na	na	-0.90177	na	na	
na	-0.90177	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.90177	na	na	
na	na	-0.90177	-0.90177	-0.90177	
na	na	-0.90177	na	na	
na	na	na	na	na	
na	na	1.9087	1.10045	2.53735	
na	na	0.877997	2.9707	0.679798	
na	na	na	na	-0.90177	
na	na	na	na	na	
4.07695	-0.0885571	na	-0.90177	na	
na	na	na	2.57314	2.36773	
na	na	-1.46429	na	na	
na	na	-0.90177	na	na	
na	na	na	na	na	
na	na	na	na	-0.90177	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	-1.23351	na	
na	na	na	-0.90177	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.90177	na	na	
na	na	na	4.07695	1.48118	
na	na	na	na	na	
na	na	na	na	-1.46429	
na	na	-0.90177	na	na	
na	na	0.111172	2.94252	0.745594	
na	na	na	na	na	
na	na	3.61967	2.49629	1.03528	
na	na	-0.90177	-1.23351	na	
-1.23351	2.51075	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	2.22987	1.99877	3.61967	
na	-0.219265	na	na	0.498002	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.90177	na	na	
na	na	na	-0.90177	4.5713	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-0.90177	
na	na	-0.90177	na	na	
na	na	na	-0.112999	3.01801	
na	-0.0885571	2.49629	2.20825	2.57314	
na	na	na	na	na	
na	na	-0.90177	na	na	
na	na	-0.90177	1.15092	2.01825	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.90177	1.42192	3.58802	
na	na	na	na	na	
-1.46429	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.90177	na	na	
na	na	na	na	na	
na	na	na	-0.90177	na	
na	na	na	na	na	
na	na	na	2.14933	1.09573	
na	na	na	na	-0.90177	
na	na	na	na	na	
na	-0.90177	2.41236	0.86553	na	
na	na	na	-0.90177	na	
na	na	-0.90177	na	3.30785	
na	na	na	na	na	
na	na	-1.23351	na	1.86899	
-1.23351	-0.90177	na	na	na	
na	na	0.991826	-0.717928	3.62447	
na	na	na	na	na	
1.69951	na	-0.90177	na	-1.09487	
na	na	na	na	na	
na	na	-0.90177	1.06019	1.35641	
na	na	na	na	na	
na	-0.90177	-0.90177	na	na	
na	na	-0.90177	na	na	
na	-0.90177	3.82738	2.22987	-0.0885571	
na	na	na	na	-0.90177	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.90177	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.23351	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-0.90177	
na	na	na	na	na	
-0.90177	na	na	na	-1.00012	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	3.01801	4.03244	3.27985	0.162987	
na	na	na	-0.90177	na	
na	na	na	na	na	
na	na	na	na	-1.23351	
na	na	-0.90177	na	-0.90177	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.46429	1.9087	2.39451	
na	na	na	na	na	
na	na	na	na	-0.90177	
na	na	na	na	na	
na	na	3.24072	1.46473	1.24792	
na	na	1.42019	na	-0.90177	
na	na	na	1.10045	-1.23351	
na	na	na	na	na	
na	-0.90177	-0.90177	na	na	
na	na	-0.90177	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	3.43441	
na	na	-0.90177	-0.90177	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	-0.560518	
na	na	na	na	-0.90177	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.90177	-0.90177	-0.90177	
na	na	na	na	-0.90177	
1.10045	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-0.90177	na	na	0.463239	
3.69445	3.24072	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-0.90177	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-0.90177	na	na	-0.90177	
na	na	na	na	na	
na	-0.90177	na	na	na	
na	na	-0.90177	na	na	
na	na	2.90102	3.61967	1.86899	
na	na	na	na	na	
na	na	1.46473	0.917148	0.162987	
na	-0.90177	na	1.86604	-0.766722	
na	na	na	na	na	
na	-0.90177	na	0.382789	1.10045	
na	na	na	na	na	
-0.90177	na	na	2.2567	1.45765	
na	na	na	na	na	
na	na	-0.90177	na	na	
