thetaL[0]	thetaL[1]	thetaL[2]	thetaL[3]	thetaL[4]	
0	0	0.0909091	2.36364	0.636364	
0.636364	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.181818	
0.181818	0.181818	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.454545	1.09091	
1.09091	1.09091	1.09091	1.09091	1.09091	
1.09091	1.09091	1.09091	1.09091	12.7273	
12.7273	12.7273	12.7273	12.7273	12.7273	
12.7273	12.7273	12.7273	12.7273	12.7273	
12.7273	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	8	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	13.9091	23.7273	9.09091	
9.09091	9.09091	9.09091	9.09091	9.09091	
9.09091	9.09091	9.09091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	8.45455	7.72727	
7.72727	7.72727	0.0909091	7.36364	7.72727	
7.72727	7.72727	7.72727	7.72727	7.72727	
7.72727	7.72727	7.72727	7.72727	7.72727	
7.72727	7.72727	7.72727	7.72727	7.72727	
7.72727	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	7.72727	1.09091	8.63636	
8.63636	8.63636	3.45455	11.4545	3.27273	
3.27273	3.27273	3.27273	3.27273	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
3	1.27273	1.27273	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	9.72727	10.9091	
10.9091	10.9091	0.272727	0.272727	0.272727	
0.272727	0.272727	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.181818	0.181818	
0.181818	0.181818	0.181818	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	3	4.45455	
4.45455	4.45455	4.45455	4.45455	4.45455	
4.45455	4.45455	4.45455	4.45455	0.272727	
0.272727	0.272727	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	3.09091	5.90909	5.27273	
5.27273	5.27273	5.27273	5.27273	5.27273	
5.27273	5.27273	4.09091	7.54545	8.09091	
8.09091	8.09091	0.0909091	0.181818	0.181818	
0.181818	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	2.09091	5.45455	4.09091	
4.09091	0.272727	0.272727	0.272727	2.36364	
2.36364	2.36364	2.36364	2.36364	2.36364	
2.36364	2.36364	2.36364	2.36364	2.36364	
2.36364	2.36364	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	4	
4	4	4	4	4	
4	4	4	4	4	
4	4	4	4	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	2.54545	3.09091	
3.09091	1.27273	7.54545	12.0909	9.72727	
9.72727	9.72727	9.72727	9.72727	9.72727	
9.72727	9.72727	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	4.54545	12.1818	
12.1818	12.1818	12.1818	12.1818	12.1818	
12.1818	12.1818	12.1818	12.1818	12.1818	
12.1818	12.1818	12.1818	12.1818	12.1818	
12.1818	12.1818	12.1818	12.1818	12.1818	
12.1818	12.1818	0.0909091	11.3636	8.36364	
8.36364	8.36364	8.36364	8.36364	8.36364	
0.272727	0.272727	0.272727	0.272727	0.272727	
0.272727	0.272727	0.272727	0.272727	0.272727	
0.272727	0.272727	0.272727	0.272727	0.272727	
0.272727	0.272727	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	11	5.72727	
5.72727	5.72727	5.72727	5.72727	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	12	4.63636	4.63636	
4.63636	4.63636	4.63636	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	6.27273	
6.27273	6.27273	6.27273	6.27273	6.27273	
6.27273	6.27273	0.181818	0.181818	4.36364	
0.181818	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	11.6364	2.81818	19.0909	
