thetaWatt[0]	thetaWatt[1]	thetaWatt[2]	thetaWatt[3]	thetaWatt[4]	
0	0	0.331139	1.98684	2.31797	
0	0.331139	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.331139	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.331139	0	0	
0	0	0	0	0	
0	0	0	0.331139	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.331139	0	0	
0	0	0	0	0.662279	
0	0	0.331139	0	0	
0	0	0	0.662279	0.662279	
0	0	0	0	0	
0	0	0	0	6.62279	
0	0	0	0	0	
0	0	0	0	0	
0	0.331139	0	0	0	
0	0	0	5.96051	0.331139	
0	0	0	0	0.331139	
0	0	7.6162	14.5701	5.29823	
0	0	0	0	0	
0	0	0	0.331139	0	
0.331139	0	0	0	0	
0	0	0.331139	7.6162	4.96709	
0	0	0.331139	3.64253	4.96709	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.331139	0	0	0	
0	0	0.331139	0	0	
0	0.331139	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.331139	0	0	
0	0	0.331139	0.331139	0.331139	
0	0	0.331139	0	0	
0	0	0	0	0	
0	0	4.96709	0.662279	4.96709	
0	0	2.64911	6.29165	2.64911	
0	0	0	0	0.331139	
0	0	0	0	0	
0.993418	1.32456	0	0.331139	0	
0	0	0	5.62937	6.62279	
0	0	0.993418	0	0	
0	0	0.331139	0	0	
0	0	0	0	0	
0	0	0	0	0.331139	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.662279	0	
0	0	0	0.331139	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.331139	0	0	
0	0	0	0.993418	2.98025	
0	0	0	0	0	
0	0	0	0	0.993418	
0	0	0.331139	0	0	
0	0	2.98025	2.98025	4.30481	
0	0	0	0	0	
0	0	1.6557	4.30481	6.29165	
0	0	0.331139	0.662279	0	
0.662279	0.331139	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.993418	3.31139	1.6557	
0	0.331139	0	0	1.98684	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.331139	0	0	
0	0	0	0.331139	1.32456	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.331139	
0	0	0.331139	0	0	
0	0	0	2.64911	1.32456	
0	1.32456	4.30481	7.6162	5.62937	
0	0	0	0	0	
0	0	0.331139	0	0	
0	0	0.331139	3.31139	7.94734	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.331139	8.27848	3.97367	
0	0	0	0	0	
0.993418	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.331139	0	0	
0	0	0	0	0	
0	0	0	0.331139	0	
0	0	0	0	0	
0	0	0	6.95392	4.30481	
0	0	0	0	0.331139	
0	0	0	0	0	
0	0.331139	7.28506	3.64253	0	
0	0	0	0.331139	0	
0	0	0.331139	0	2.98025	
0	0	0	0	0	
0	0	0.662279	0	2.64911	
0.662279	0.331139	0	0	0	
0	0	9.2719	3.64253	9.93418	
0	0	0	0	0	
1.98684	0	0.331139	0	0.993418	
0	0	0	0	0	
0	0	0.331139	4.63595	2.31797	
0	0	0	0	0	
0	0.331139	0.331139	0	0	
0	0	0.331139	0	0	
0	0.331139	9.60304	0.993418	1.32456	
0	0	0	0	0.331139	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.331139	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.662279	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.331139	
0	0	0	0	0	
0.331139	0	0	0	0.662279	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	1.32456	3.64253	9.2719	2.31797	
0	0	0	0.331139	0	
0	0	0	0	0	
0	0	0	0	0.662279	
0	0	0.331139	0	0.331139	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.993418	4.96709	2.98025	
0	0	0	0	0	
0	0	0	0	0.331139	
0	0	0	0	0	
0	0	3.64253	1.32456	2.31797	
0	0	10.9276	0	0.331139	
0	0	0	0.662279	0.662279	
0	0	0	0	0	
0	0.331139	0.331139	0	0	
0	0	0.331139	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.662279	
0	0	0.331139	0.331139	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.331139	
0	0	0	0	0.331139	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.331139	0.331139	0.331139	
0	0	0	0	0.331139	
0.662279	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.331139	0	0	0.331139	
3.31139	3.64253	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.331139	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.331139	0	0	0.331139	
0	0	0	0	0	
0	0.331139	0	0	0	
0	0	0.331139	0	0	
0	0	1.98684	1.6557	2.64911	
0	0	0	0	0	
0	0	1.32456	1.6557	2.31797	
0	0.331139	0	4.30481	0.662279	
0	0	0	0	0	
0	0.331139	0	0.993418	0.662279	
0	0	0	0	0	
0.331139	0	0	5.29823	1.6557	
0	0	0	0	0	
0	0	0.331139	0	0	
0	0	0	3.64253	5.29823	
0	0	0	0.331139	0.331139	
0.331139	0	0	0	0	
0	0	0	2.31797	2.98025	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
2.64911	0	0	0	0	
0	0	0	0	0	
0	0	0.993418	0	0.993418	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.331139	0.331139	2.64911	
0	0.331139	0	0	0	
0.331139	3.31139	0.331139	0	0	
0	0	0	0	0	
0	0	0	0.331139	0	
0	0	0	0	0	
0	0	0	0.331139	0	
0	0	0.331139	0.331139	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0.331139	0	0	0.331139	0	
0	0	0	0.331139	0	
0	0	0	0	0	
0.993418	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.331139	0.662279	0	0	
0	0.331139	0	0	0.331139	
0	0	0	0.331139	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	1.98684	6.62279	3.31139	
0	0	0	0	0	
2.98025	0.331139	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.331139	0	
0	0	0	0.331139	0	
0	0.331139	0	0	0	
0	0.331139	0.331139	0.331139	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.331139	0.331139	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	1.6557	0.662279	
0	0	0.331139	0.331139	0	
0	0	0.331139	0	0	
0	0	0	0	0	
0	0	0.331139	0	0	
0	0.331139	0	0	1.32456	
0	0.331139	9.2719	2.64911	3.31139	
0	0	0	0	0	
0	0	0	0	0	
0.662279	0.993418	0	0	0	
0	0	0	0	0	
0	0.331139	0	0.331139	0	
0	0	0	0.331139	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.331139	0.331139	4.96709	
0.331139	0	0	0	0	
0.662279	0	0	0	0.331139	
0	0	0	3.31139	5.29823	
0	0	0	0	0	
0	0	0.662279	0	0	
0	0	0	0	0	
0.662279	0	0	0	0	
0	0	0	0	0	
0	0	0	0.331139	0	
2.31797	2.98025	0	0	0	
0	0	3.64253	1.32456	3.97367	
0	0	0	0	0	
0	0	0	0	0.331139	
0	0	0	0	0	
0	0	0	3.31139	0.331139	
0	0	0	0.331139	0	
0.331139	2.98025	11.2587	1.32456	0.331139	
0	0	0	0	0	
0	0	0	0.331139	5.29823	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.331139	0	0	0	
0	0.331139	0	0	0	
0	0.331139	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.331139	8.60962	1.32456	0.331139	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.662279	12.5833	4.30481	
0.662279	0	0.331139	0.331139	0	
0	0	0.331139	0	0	
0	0	0	0	0	
0	0	0.331139	0	0.331139	
0	0	0	0	0	
0.331139	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.331139	
0	0	0	0	0.331139	
0	0	0	3.97367	4.30481	
0.331139	0	0	0	0	
0	0.331139	0	0	2.31797	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.331139	0	0	0	
0	0.331139	0	0	0	
0	0	0	0	0	
0	0	0	0	0.331139	
0	0	0	0	0.331139	
0	0	0	0.331139	0	
0	0	0	0	0	
0	0	0	0	0.331139	
0	0	0	0	0	
0	0	0	0	0	
1.32456	1.98684	3.97367	0.993418	6.62279	
0	0.331139	0	8.60962	1.98684	
1.98684	0.331139	0	0	0	
0	0	0	0	0.331139	
0	0	0.331139	0	0	
0.662279	0	0	0	0	
0	0	0	0.331139	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.331139	
0	0	0	0	0	
0	0	1.98684	5.96051	4.63595	
0	0	0	0.331139	0	
0	0	0	0	0	
0	0	0	6.62279	11.921	
0	0	0	0	0	
0	0	0.331139	0	0	
0	0	0	0	0	
0.331139	0.331139	0	0.331139	0	
0	0.331139	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.331139	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	1.98684	0.662279	0	0	
0	0	0	0	1.6557	
0	0.331139	7.6162	1.32456	7.28506	
0	0	0	0	7.6162	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.331139	0	
0	0	0.331139	0	0	
0	0	0	0	3.97367	
0	0	0.331139	0	0	
0	0	8.27848	8.94076	4.30481	
0	0	0.331139	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0.331139	0	0	0	0	
