B[0]	B[1]	
0.777778	0.5	
0.333333	0	
0.222222	0.25	
0.111111	1	
0.111111	0.5	
0.111111	0	
0.555556	0.75	
0.222222	0	
0.222222	0	
0.444444	0.75	
0.444444	0.25	
0.111111	0.75	
0.666667	0.25	
0.111111	0.25	
0.222222	0	
0.222222	0	
0.333333	0	
0	0.25	
0.222222	0.25	
0.111111	0.25	
0.111111	0.5	
0.111111	0	
0.111111	0	
0.333333	0.25	
1	0.5	
0.111111	0	
0.111111	0.75	
0.222222	0	
0.111111	0	
0.444444	0.5	
0.111111	0.25	
0.555556	0.25	
0.333333	0.25	
0.555556	0.25	
0.222222	0	
0.111111	0	
0	0	
0.333333	0	
0.111111	0.25	
0.333333	0.25	
0.111111	0.25	
0.222222	0	
0.111111	0.5	
0.222222	0.75	
0.111111	0	
0.222222	0.25	
0.222222	0	
0.111111	0.25	
0.222222	0.25	
0.222222	0	
0	0	
0.111111	0	
0.111111	0.25	
0	0.25	
0.111111	0.25	
0	0.5	
0	0.25	
0	0.5	
0	0	
0.111111	0	
0.444444	0	
0	0	
0.444444	0.75	
0.222222	0	
0	0	
0.444444	0.25	
0	0	
0.111111	0.5	
0.111111	0	
0.222222	0.25	
0.333333	0.5	
0	0	
0	0	
0.555556	0.25	
0.444444	1	
0.222222	0	
0.222222	0	
0.333333	0.25	
0.111111	0	
0	0.25	
0.111111	1	
0	0.25	
0	0	
0.111111	0.75	
0	0	
0.222222	0	
0.111111	0	
0	0	
0.222222	0	
0.333333	0.25	
0.333333	0	
0.111111	0.25	
0.111111	0.5	
0.111111	0.25	
0.111111	0	
0.444444	0.25	
0.111111	0	
0	0.25	
0.666667	0.25	
0.111111	0	
