D_Dmin[0]	D_Dmin[1]	
1.13723	0.639768	
0.114674	-0.263025	
0.206796	0.381827	
-0.391996	-1	
-0.318299	0.0870374	
0.068613	-0.336723	
-0.115631	-0.115631	
0.0501887	0.344978	
-0.769695	-0.834181	
0.0225521	-0.336723	
0.197584	0.418676	
-0.318299	-0.613088	
0.741102	0.068613	
-0.520967	-0.834181	
0.216008	0.179159	
-0.0787819	-0.373572	
0.123886	0.105462	
-0.207752	0.326554	
0.169947	0.547646	
0.326554	0.0501887	
-0.180116	0.713466	
-0.0695697	-0.447269	
-0.28145	0.0501887	
0.206796	-0.502542	
-1	-0.834181	
0.114674	-0.207752	
-0.474906	1.22935	
-0.032721	-0.539391	
-0.622301	-0.41042	
-0.91709	-0.668361	
0.00412777	-0.336723	
0.133098	1.24777	
0.750314	0.0501887	
-0.336723	-0.207752	
-0.834181	-0.834181	
0.105462	-0.244601	
0.0225521	0.400252	
-0.364359	0.271281	
0.0501887	0.179159	
0.60292	0.676617	
0.123886	-0.244601	
0.0501887	-0.336723	
0.289705	0.160735	
-0.0972062	0.0870374	
0.243644	0.14231	
0.409464	0.234432	
0.0501887	-0.244601	
0.160735	0.381827	
-0.769695	-0.834181	
-0.419633	0.123886	
-0.115631	-0.557815	
0.0317643	-0.318299	
-0.686786	-0.0603575	
0.344978	0.326554	
0.01334	-0.226177	
-0.309086	0.621344	
-0.161691	-0.502542	
-0.253813	0.179159	
-0.686786	-0.00508441	
0.575283	-0.557815	
0.068613	0.216008	
0.0962496	-0.207752	
0.704254	1.06353	
-0.355147	-0.502542	
-0.530179	-0.0787819	
0.381827	0.216008	
-0.474906	-0.170904	
0.179159	0.179159	
0.188371	-0.263025	
0.22522	1.08195	
-0.28145	-0.70521	
-0.161691	-0.41042	
0.464737	-0.207752	
0.354191	0.621344	
-0.115631	0.473949	
0.630556	0.216008	
-0.032721	0.105462	
0.851648	0.381827	
0.64898	-0.373572	
-0.087994	-0.70521	
0.676617	1.30305	
-0.0695697	0.326554	
-0.751271	-1	
0.160735	-0.557815	
0.169947	-0.447269	
-0.364359	0.14231	
-0.327511	0.0870374	
-0.511754	-0.834181	
-0.0603575	-0.0787819	
-0.28145	0.529222	
0.381827	0.068613	
-0.336723	-0.373572	
0.344978	0.934558	
-0.263025	-1	
-0.91709	-0.226177	
-0.834181	-0.28145	
0.0870374	0.01334	
0.0409765	-0.539391	
0.114674	0.179159	
-0.19854	0.344978	
