EW[0]	EW[1]	
0.347222	0.263889	
0.25	0.333333	
0.208333	0.375	
0.194444	0.847222	
0.263889	0.430556	
0.194444	0.402778	
0.319444	0.597222	
0.194444	0.222222	
0.263889	0.472222	
0.277778	0.597222	
0.333333	0.333333	
0.222222	0.458333	
0.291667	0.277778	
0.152778	0.486111	
0.152778	0.263889	
0.194444	0.25	
0.194444	0.208333	
0.152778	0.291667	
0.305556	0.347222	
0.222222	0.402778	
0.263889	0.347222	
0.305556	0.263889	
0.180556	0.347222	
0.277778	0.263889	
0.847222	0.597222	
0.180556	0.194444	
0.388889	0.430556	
0.166667	0.305556	
0.152778	0.222222	
0.472222	0.708333	
0.194444	0.319444	
0.430556	0.430556	
0.291667	0.305556	
0.486111	0.347222	
0.375	0.472222	
0.152778	0.222222	
0.194444	0.208333	
0.222222	0.25	
0.25	0.263889	
0.222222	0.263889	
0.194444	0.277778	
0.222222	0.263889	
0.333333	0.416667	
0.263889	0.597222	
0.194444	0.236111	
0.180556	0.319444	
0.25	0.319444	
0.25	0.430556	
0.180556	0.583333	
0.25	0.208333	
0.166667	0.263889	
0.388889	0.416667	
0.125	0.388889	
0.25	0.347222	
0.25	0.416667	
0.208333	0.347222	
0.236111	0.319444	
0.236111	0.513889	
0.263889	0.388889	
0.263889	0.263889	
0.222222	0.263889	
0.277778	0.263889	
0.194444	0.347222	
0.152778	0.486111	
0.152778	0.222222	
0.375	0.236111	
0.291667	0.416667	
0.166667	0.597222	
0.222222	0.263889	
0.319444	0.388889	
0.388889	0.513889	
0.152778	0.333333	
0.25	0.194444	
0.375	0.375	
0.388889	0.625	
0.319444	0.25	
0.263889	0.236111	
0.277778	0.291667	
0.180556	0.319444	
0.166667	0.333333	
0.180556	0.5	
0.166667	0.305556	
0.236111	0.375	
0.180556	0.430556	
0.180556	0.277778	
0.222222	0.194444	
0.236111	0.263889	
0.138889	0.388889	
0.305556	0.305556	
0.208333	0.319444	
0.305556	0.319444	
0.166667	0.319444	
0.166667	0.430556	
0.166667	0.472222	
0.305556	0.208333	
0.486111	0.375	
0.236111	0.277778	
0.138889	0.375	
0.388889	0.263889	
0.180556	0.222222	
