FD[0]	FD[1]	
1.59608	1.32064	
-0.331905	-1.07226	
0.15009	-0.274629	
-0.813901	-1.07226	
-0.813901	1.32064	
0.632085	0.523007	
1.11408	-0.274629	
0.15009	1.32064	
-2.74188	-1.8699	
1.11408	0.523007	
1.59608	1.32064	
-1.2959	-1.8699	
1.11408	-0.274629	
-0.813901	-1.8699	
-0.331905	-0.274629	
0.632085	-1.07226	
0.15009	0.523007	
-0.813901	0.523007	
0.15009	0.523007	
1.11408	0.523007	
-0.331905	1.32064	
-0.331905	-1.07226	
-0.331905	0.523007	
0.15009	0.523007	
-1.77789	-0.274629	
1.11408	0.523007	
-0.331905	1.32064	
0.15009	-1.8699	
-1.77789	-1.07226	
-1.77789	-1.07226	
-0.331905	0.523007	
-0.813901	1.32064	
1.11408	-0.274629	
0.632085	0.523007	
-2.25989	-1.8699	
0.632085	-0.274629	
0.15009	0.523007	
-1.77789	-0.274629	
-0.813901	-0.274629	
0.632085	1.32064	
0.632085	-1.07226	
1.59608	0.523007	
0.15009	-0.274629	
0.15009	1.32064	
0.15009	0.523007	
1.59608	0.523007	
0.15009	-0.274629	
-0.331905	-0.274629	
-1.77789	-1.07226	
-1.77789	-0.274629	
-0.331905	-1.8699	
-0.331905	-1.07226	
-2.25989	-0.274629	
0.632085	0.523007	
0.15009	-1.07226	
-0.331905	1.32064	
-0.331905	-0.274629	
-0.813901	0.523007	
-1.77789	-0.274629	
0.632085	-1.8699	
0.632085	0.523007	
1.11408	0.523007	
1.11408	1.32064	
-0.331905	-0.274629	
-1.2959	0.523007	
1.59608	0.523007	
-1.77789	-1.07226	
-0.331905	0.523007	
0.15009	-1.07226	
1.11408	1.32064	
-0.331905	-1.07226	
-0.813901	-1.07226	
0.632085	-0.274629	
0.15009	0.523007	
-0.331905	1.32064	
0.632085	-0.274629	
1.11408	0.523007	
1.11408	1.32064	
1.11408	-1.07226	
-0.813901	-1.8699	
1.11408	1.32064	
0.632085	0.523007	
-1.2959	-1.8699	
1.11408	-0.274629	
0.15009	-1.07226	
-1.2959	0.523007	
-0.813901	-0.274629	
-1.77789	-1.8699	
-0.813901	-1.07226	
-1.2959	0.523007	
0.15009	-0.274629	
-0.813901	-0.274629	
0.632085	1.32064	
-0.331905	-2.66754	
-1.2959	-1.07226	
-2.25989	-0.274629	
0.15009	0.523007	
0.15009	-1.8699	
0.632085	0.523007	
0.15009	1.32064	
