FDn[0]	FDn[1]	
1.43309	1.2606	
-0.153754	-0.833171	
0.242957	-0.135248	
-0.947175	-2.22902	
-0.550464	1.2606	
0.639667	0.562676	
1.03638	-0.135248	
0.242957	1.2606	
-2.13731	-1.53109	
1.03638	0.562676	
1.43309	1.2606	
-0.947175	-1.53109	
1.03638	-0.135248	
-0.550464	-1.53109	
-0.153754	-0.135248	
0.639667	-0.833171	
0.242957	0.562676	
-0.550464	0.562676	
0.242957	0.562676	
1.03638	0.562676	
-0.153754	1.2606	
-0.153754	-0.833171	
-0.153754	0.562676	
0.242957	-0.135248	
-2.53402	-1.53109	
1.03638	0.562676	
-0.947175	1.2606	
0.242957	-1.53109	
-1.34389	-0.833171	
-2.13731	-0.833171	
-0.153754	0.562676	
-0.550464	1.2606	
1.03638	-0.135248	
0.639667	0.562676	
-1.7406	-1.53109	
0.639667	-0.135248	
0.242957	0.562676	
-1.34389	-0.135248	
-0.550464	-0.135248	
0.639667	1.2606	
0.639667	-0.833171	
1.43309	0.562676	
0.242957	-0.135248	
0.242957	1.2606	
0.242957	0.562676	
1.43309	0.562676	
0.242957	-0.135248	
-0.153754	-0.135248	
-1.7406	-1.53109	
-1.34389	-0.135248	
-0.153754	-1.53109	
-0.153754	-0.833171	
-1.7406	-0.135248	
0.639667	0.562676	
0.242957	-0.833171	
-0.153754	1.2606	
-0.153754	-0.135248	
-0.550464	0.562676	
-1.34389	-0.135248	
0.639667	-1.53109	
0.639667	0.562676	
1.03638	0.562676	
1.03638	1.2606	
-0.153754	-0.135248	
-0.947175	0.562676	
1.43309	0.562676	
-1.34389	-0.833171	
-0.153754	0.562676	
0.242957	-0.833171	
1.03638	1.2606	
-0.550464	-1.53109	
-0.550464	-0.833171	
0.639667	-0.135248	
0.242957	0.562676	
-0.153754	1.2606	
0.639667	-0.135248	
1.03638	0.562676	
1.03638	1.2606	
1.03638	-0.833171	
-0.550464	-1.53109	
1.03638	1.2606	
0.639667	0.562676	
-1.34389	-2.22902	
1.03638	-1.53109	
0.242957	-0.833171	
-0.947175	0.562676	
-0.550464	-0.135248	
-1.34389	-1.53109	
-0.550464	-0.833171	
-0.947175	0.562676	
0.242957	-0.135248	
-0.550464	-0.135248	
0.639667	1.2606	
-0.153754	-2.22902	
-2.13731	-0.833171	
-1.7406	-0.135248	
0.242957	0.562676	
0.242957	-1.53109	
0.639667	0.562676	
0.242957	1.2606	
